開票区名,候補者１,候補者１確計,候補者２,候補者２確計,候補者３,候補者３確計,候補者４,候補者４確計,候補者５,候補者５確計,候補者６,候補者６確計,定数,合計,残票数,開票率,確定時刻,法定得票数,供託物没収点
☆１区計,＊渡辺　徹／次世代の党,18128.000,冨田　なおき／日本共産党,32830.000,マタヨシ　光雄／本人届出,1416.000,＊海江田　万里／民主党,89232.000,＊山田　みき／自由民主党,107015.000,野?　たかのぶ／本人届出,2209.000,1,250830.000,0,100.0,-,41805.000,25083.000
千代田区,＊渡辺　徹／次世代の党,1625.000,冨田　なおき／日本共産党,2901.000,マタヨシ　光雄／本人届出,163.000,＊海江田　万里／民主党,8912.000,＊山田　みき／自由民主党,12644.000,野?　たかのぶ／本人届出,176.000,-,26421.000,0,100.0,23:36,-,-
港区,＊渡辺　徹／次世代の党,7972.000,冨田　なおき／日本共産党,10693.000,マタヨシ　光雄／本人届出,458.000,＊海江田　万里／民主党,32673.000,＊山田　みき／自由民主党,41315.000,野?　たかのぶ／本人届出,821.000,-,93932.000,0,100.0,01:20,-,-
新宿区,＊渡辺　徹／次世代の党,8531.000,冨田　なおき／日本共産党,19236.000,マタヨシ　光雄／本人届出,795.000,＊海江田　万里／民主党,47647.000,＊山田　みき／自由民主党,53056.000,野?　たかのぶ／本人届出,1212.000,-,130477.000,0,100.0,00:36,-,-
☆２区計,＊辻　清人／自由民主党,103954.000,石沢　のりゆき／日本共産党,32296.000,＊おおくま　利昭／維新の党,44550.000,＊中山　よしかつ／民主党,58407.000,犬丸　勝子／本人届出,4668.000,,,1,243875.000,0,100.0,-,40645.833,24387.500
中央区,＊辻　清人／自由民主党,28720.000,石沢　のりゆき／日本共産党,6521.000,＊おおくま　利昭／維新の党,12083.000,＊中山　よしかつ／民主党,11971.000,犬丸　勝子／本人届出,1302.000,,,-,60597.000,0,100.0,23:52,-,-
文京区,＊辻　清人／自由民主党,40106.000,石沢　のりゆき／日本共産党,15221.000,＊おおくま　利昭／維新の党,18770.000,＊中山　よしかつ／民主党,24493.000,犬丸　勝子／本人届出,1945.000,,,-,100535.000,0,100.0,01:20,-,-
台東区,＊辻　清人／自由民主党,35128.000,石沢　のりゆき／日本共産党,10554.000,＊おおくま　利昭／維新の党,13697.000,＊中山　よしかつ／民主党,21943.000,犬丸　勝子／本人届出,1421.000,,,-,82743.000,0,100.0,23:44,-,-
☆３区計,＊まつばら　仁／民主党,111353.000,＊石原　ひろたか／自由民主党,115623.000,香西　かつ介／日本共産党,34295.000,,,,,,,1,261271.000,0,100.0,-,43545.166,26127.100
☆区部計,＊まつばら　仁／民主党,107305.000,＊石原　ひろたか／自由民主党,107648.000,香西　かつ介／日本共産党,32746.000,,,,,,,-,247699.000,0,100.0,-,-,-
