番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,千代田区（票）,港区（票）,新宿区（票）
1,＊,渡辺　徹,次世代の党,18128,1625,7972,8531
2,,冨田　なおき,日本共産党,32830,2901,10693,19236
3,,マタヨシ　光雄,本人届出,1416,163,458,795
4,＊,海江田　万里,民主党,89232,8912,32673,47647
5,＊,山田　みき,自由民主党,107015,12644,41315,53056
6,,野?　たかのぶ,本人届出,2209,176,821,1212
合計,,,,250830,26421,93932,130477
