令和3年10月31日  執行,,,,,,,,,,
衆議院（小選挙区選出）議員選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和3年 11月1日 9時 56分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思われる票数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　★都計,6366477.996,0.004,0 ,6366478 ,204815 ,6571293 ,232 ,16 ,6571541 ,3.12
　☆区部計,4341411.996,0.004,0 ,4341412 ,151407 ,4492819 ,201 ,8 ,4493028 ,3.37
　☆市部計,1987363.000,0.000,0 ,1987363 ,52321 ,2039684 ,30 ,8 ,2039722 ,2.57
　☆郡部計,24997.000,0.000,0 ,24997 ,559 ,25556 ,0 ,0 ,25556 ,2.19
　☆島部計,12706.000,0.000,0 ,12706 ,528 ,13234 ,1 ,0 ,13235 ,3.99
　　☆１区,254121.000,0.000,0 ,254121 ,6183 ,260304 ,4 ,2 ,260310 ,2.38
　　　千代田区,32575.000,0.000,0 ,32575 ,694 ,33269 ,2 ,0 ,33271 ,2.09
　　　港区１区,91911.000,0.000,0 ,91911 ,2038 ,93949 ,1 ,0 ,93950 ,2.17
　　　新宿区１区,129635.000,0.000,0 ,129635 ,3451 ,133086 ,1 ,2 ,133089 ,2.59
　　☆２区,274603.000,0.000,0 ,274603 ,7101 ,281704 ,16 ,0 ,281720 ,2.52
　　　中央区,78793.000,0.000,0 ,78793 ,2192 ,80985 ,3 ,0 ,80988 ,2.71
　　　港区２区,16337.000,0.000,0 ,16337 ,484 ,16821 ,0 ,0 ,16821 ,2.88
　　　文京区,117474.000,0.000,0 ,117474 ,2758 ,120232 ,7 ,0 ,120239 ,2.29
　　　台東区２区,61999.000,0.000,0 ,61999 ,1667 ,63666 ,6 ,0 ,63672 ,2.62
　　☆３区,272362.000,0.000,0 ,272362 ,9006 ,281368 ,70 ,0 ,281438 ,3.20
　　　☆区部計,259656.000,0.000,0 ,259656 ,8478 ,268134 ,69 ,0 ,268203 ,3.16
　　　　品川区３区,174200.000,0.000,0 ,174200 ,5643 ,179843 ,2 ,0 ,179845 ,3.14
　　　　大田区３区,85456.000,0.000,0 ,85456 ,2835 ,88291 ,67 ,0 ,88358 ,3.21
　　　☆島部計,12706.000,0.000,0 ,12706 ,528 ,13234 ,1 ,0 ,13235 ,3.99
