開票区名,全党派計得票総数,全党派計政党等の得票総数,全党派計名簿登載者の得票総数,（１）社会民主党得票総数,（１）社会民主党政党等の得票総数,（１）社会民主党名簿登載者の得票総数,（２）国民怒りの声得票総数,（２）国民怒りの声政党等の得票総数,（２）国民怒りの声名簿登載者の得票総数,（３）おおさか維新の会得票総数,（３）おおさか維新の会政党等の得票総数,（３）おおさか維新の会名簿登載者の得票総数,（４）公明党得票総数,（４）公明党政党等の得票総数,（４）公明党名簿登載者の得票総数,（５）日本共産党得票総数,（５）日本共産党政党等の得票総数,（５）日本共産党名簿登載者の得票総数,（６）幸福実現党得票総数,（６）幸福実現党政党等の得票総数,（６）幸福実現党名簿登載者の得票総数,（７）自由民主党得票総数,（７）自由民主党政党等の得票総数,（７）自由民主党名簿登載者の得票総数,（８）新党改革得票総数,（８）新党改革政党等の得票総数,（８）新党改革名簿登載者の得票総数,（９）日本のこころを大切にする党得票総数,（９）日本のこころを大切にする党政党等の得票総数,（９）日本のこころを大切にする党名簿登載者の得票総数,（１０）生活の党と山本太郎となかまたち得票総数,（１０）生活の党と山本太郎となかまたち政党等の得票総数,（１０）生活の党と山本太郎となかまたち名簿登載者の得票総数,（１１）民進党得票総数,（１１）民進党政党等の得票総数,（１１）民進党名簿登載者の得票総数,（１２）支持政党なし得票総数,（１２）支持政党なし政党等の得票総数,（１２）支持政党なし名簿登載者の得票総数
★都計,6211536.392,4780418.000,1431118.392,175458.740,125768.000,49690.740,100412.180,72423.000,27989.180,455849.651,399562.000,56287.651,710528.036,345281.000,365247.036,882538.876,833463.000,49075.876,22779.996,17859.000,4920.996,2134931.112,1630380.000,504551.112,107833.921,37785.000,70048.921,102676.085,85457.000,17219.085,197844.000,168671.000,29173.000,1227608.172,975719.000,251889.172,93075.623,88050.000,5025.623
☆区部計,4221488.652,3235925.000,985563.652,113834.126,80202.000,33632.126,70397.503,50382.000,20015.503,322146.761,280776.000,41370.761,472993.316,226374.000,246619.316,596150.928,562718.000,33432.928,15689.996,12249.000,3440.996,1486334.626,1124801.000,361533.626,76607.197,26549.000,50058.197,72284.577,59614.000,12670.577,142939.000,120466.000,22473.000,787157.999,630397.000,156760.999,64952.623,61397.000,3555.623
千代田区,29295.996,22859.000,6436.996,774.000,524.000,250.000,687.000,473.000,214.000,2372.158,1989.000,383.158,1453.155,818.000,635.155,3254.000,3131.000,123.000,72.000,58.000,14.000,12983.418,9820.000,3163.418,678.265,218.000,460.265,618.000,484.000,134.000,847.000,745.000,102.000,5085.000,4139.000,946.000,472.000,460.000,12.000
中央区,68422.995,56036.000,12386.995,1451.000,1084.000,367.000,1083.000,818.000,265.000,6589.141,5752.000,837.141,4594.520,2530.000,2064.520,7799.000,7535.000,264.000,189.000,151.000,38.000,28751.334,23283.000,5468.334,1027.060,462.000,565.060,1439.000,1171.000,268.000,2319.000,2040.000,279.000,11971.940,10046.000,1925.940,1209.000,1164.000,45.000
港区,100036.994,80233.000,19803.994,2338.000,1633.000,705.000,1787.755,1189.000,598.755,8654.422,7588.000,1066.422,6982.924,3490.000,3492.924,11310.500,10801.000,509.500,515.000,419.000,96.000,40424.543,31688.000,8736.543,1448.617,577.000,871.617,2095.000,1655.000,440.000,4016.000,3544.000,472.000,18859.233,16118.000,2741.233,1605.000,1531.000,74.000
新宿区,143541.991,113935.000,29606.991,4478.909,3051.000,1427.909,2301.053,1635.000,666.053,10212.163,9111.000,1101.163,15199.326,7368.000,7831.326,21578.208,20623.000,955.208,514.000,417.000,97.000,49842.281,39217.000,10625.281,2521.123,851.000,1670.123,2782.795,2214.000,568.795,4846.000,4287.000,559.000,27175.133,23152.000,4023.133,2091.000,2009.000,82.000
文京区,109443.994,85754.000,23689.994,3550.875,2408.000,1142.875,2360.026,1671.000,689.026,8709.383,7364.000,1345.383,7133.728,3727.000,3406.728,17357.670,16446.000,911.670,321.000,252.000,69.000,39114.601,29361.000,9753.601,2250.711,748.000,1502.711,2147.000,1691.000,456.000,3212.000,2754.000,458.000,21584.000,17717.000,3867.000,1703.000,1615.000,88.000
台東区,87065.985,68537.000,18528.985,1943.035,1420.000,523.035,1209.483,862.000,347.483,7249.501,6048.000,1201.501,8238.931,4269.000,3969.931,12062.103,11498.000,564.103,310.000,241.000,69.000,32510.870,25502.000,7008.870,1886.602,571.000,1315.602,1698.000,1402.000,296.000,2914.000,2560.000,354.000,15636.460,12819.000,2817.460,1407.000,1345.000,62.000
墨田区,119774.985,93219.000,26555.985,2600.841,1940.000,660.841,1611.982,1212.000,399.982,10102.788,8767.000,1335.788,15330.234,7945.000,7385.234,16039.504,15166.000,873.504,413.000,323.000,90.000,44300.035,34530.000,9770.035,2157.764,808.000,1349.764,2030.000,1708.000,322.000,3398.000,2953.000,445.000,19844.837,16002.000,3842.837,1946.000,1865.000,81.000
江東区,231847.977,175647.000,56200.977,5300.915,3715.000,1585.915,3455.126,2526.000,929.126,19472.312,16900.000,2572.312,28018.039,13795.000,14223.039,32181.422,30026.000,2155.422,881.999,628.000,253.999,82947.254,62344.000,20603.254,3953.072,1423.000,2530.072,3763.003,3123.000,640.003,6398.000,5393.000,1005.000,41786.835,32322.000,9464.835,3690.000,3452.000,238.000
品川区,179250.984,142692.000,36558.984,4214.883,3136.000,1078.883,2886.161,2162.000,724.161,14900.901,13369.000,1531.901,17684.296,8934.000,8750.296,25087.213,23881.000,1206.213,894.000,739.000,155.000,64701.027,51208.000,13493.027,3143.636,1145.000,1998.636,3025.934,2536.000,489.934,5603.000,4956.000,647.000,34074.933,27686.000,6388.933,3035.000,2940.000,95.000
目黒区,127952.991,103212.000,24740.991,3411.000,2509.000,902.000,2648.172,1908.000,740.172,10632.076,9202.000,1430.076,9714.801,5451.000,4263.801,16646.003,15986.000,660.003,458.000,374.000,84.000,45680.108,35120.000,10560.108,2137.978,930.000,1207.978,2285.436,1936.000,349.436,6226.000,5619.000,607.000,25734.417,21881.000,3853.417,2379.000,2296.000,83.000
大田区,327884.978,252204.000,75680.978,7889.006,5751.000,2138.006,4797.638,3424.000,1373.638,24651.610,21874.000,2777.610,41304.373,20020.000,21284.373,45778.720,43123.000,2655.720,1264.000,981.000,283.000,116420.042,89354.000,27066.042,5613.845,1880.000,3733.845,5809.000,4824.000,985.000,9190.000,7963.000,1227.000,60122.935,48289.000,11833.935,5043.809,4721.000,322.809
世田谷区,431404.979,326592.000,104812.979,14726.898,9924.000,4802.898,9174.171,6462.000,2712.171,35528.100,30332.000,5196.100,32790.887,16112.000,16678.887,54749.611,51456.000,3293.611,1418.000,1036.000,382.000,149684.060,107947.000,41737.060,7907.640,3211.000,4696.640,8053.847,6562.000,1491.847,19954.000,16848.000,3106.000,91078.765,70853.000,20225.765,6339.000,5849.000,490.000
渋谷区,102897.994,82160.000,20737.994,2791.013,1935.000,856.013,2099.384,1504.000,595.384,8439.431,7369.000,1070.431,7445.000,3737.000,3708.000,13968.017,13331.000,637.017,343.000,281.000,62.000,36458.125,28146.000,8312.125,1851.421,708.000,1143.421,1923.000,1573.000,350.000,5302.000,4721.000,581.000,20571.603,17226.000,3345.603,1706.000,1629.000,77.000
