届出番号,政党等の名称,整理番号,名簿登録者名,得票数
1,社会民主党,1,吉田　ただとも,4237.011
1,社会民主党,2,福島　みずほ,44103.000
1,社会民主党,3,ますぐち　敏行,176.039
1,社会民主党,4,田山　英次,212.000
1,社会民主党,5,かつら川　悟,108.000
1,社会民主党,6,伊藤　よしき,393.631
1,社会民主党,7,しいの　隆,461.059
1,社会民主党,,合計,49690.740
2,国民怒りの声,1,小林　節,20027.856
2,国民怒りの声,2,円　より子,5134.000
2,国民怒りの声,3,橋本　べん,253.000
2,国民怒りの声,4,渡辺　良弘,254.719
2,国民怒りの声,5,杉本　志乃,299.000
2,国民怒りの声,6,吉田　あき子,390.605
2,国民怒りの声,7,あらき　大樹,444.000
2,国民怒りの声,8,大西　サチエ,404.000
2,国民怒りの声,9,立川　みつあき,248.000
2,国民怒りの声,10,平野　道子,534.000
2,国民怒りの声,,合計,27989.180
3,おおさか維新の会,1,片山　とらのすけ,13818.093
3,おおさか維新の会,2,あらと　英夫,1288.000
3,おおさか維新の会,3,石井　あきら,2911.621
3,おおさか維新の会,4,いしい　みつこ,8461.354
3,おおさか維新の会,5,うさみ　孝二,412.000
3,おおさか維新の会,6,梅村　さとし,1191.548
3,おおさか維新の会,7,ギブ　剛,1998.000
3,おおさか維新の会,8,串田　誠一,338.000
3,おおさか維新の会,9,さかい　良和,301.000
3,おおさか維新の会,10,島　さとし,873.419
3,おおさか維新の会,11,鈴木　こうじ,838.839
3,おおさか維新の会,12,鈴木　のぞむ,532.147
3,おおさか維新の会,13,高橋　英明,489.568
3,おおさか維新の会,14,中谷　ひろゆき,948.582
3,おおさか維新の会,15,ヒグチ　俊一,563.181
3,おおさか維新の会,16,三宅　博,1970.038
3,おおさか維新の会,17,矢野　よしあき,606.000
3,おおさか維新の会,18,渡辺　よしみ,18746.261
3,おおさか維新の会,,合計,56287.651
4,公明党,1,よこやま　信一,14858.868
4,公明党,2,長沢　ひろあき,330212.000
4,公明党,3,浜田　まさよし,4566.608
4,公明党,4,熊野　せいし,1964.000
4,公明党,5,谷あい　正明,3108.000
4,公明党,6,あきの　公造,3668.958
4,公明党,7,飯塚　栄治,298.000
4,公明党,8,栗岡　哲平,113.000
4,公明党,9,坂本　道応,329.000
4,公明党,10,佐藤　史成,342.581
4,公明党,11,高田　清久,344.000
4,公明党,12,高橋　秀明,594.290
4,公明党,13,竹内　真二,1549.176
4,公明党,14,竹内　秀伸,903.555
4,公明党,15,千葉　宣男,250.000
4,公明党,16,星　英一郎,542.000
4,公明党,17,宮崎　勝,1603.000
4,公明党,,合計,365247.036
5,日本共産党,1,市田　忠義,8266.000
5,日本共産党,2,田村　智子,24408.960
5,日本共産党,3,大門　みきし,1895.000
5,日本共産党,4,春名　なおあき,304.000
5,日本共産党,5,いせだ　良子,1300.000
5,日本共産党,6,いわぶち　友,1544.787
5,日本共産党,7,おくだ　智子,1263.038
5,日本共産党,8,椎葉　かずゆき,245.000
5,日本共産党,9,たけだ　良介,422.000
5,日本共産党,10,石山　ひろゆき,580.629
5,日本共産党,11,和泉　信丈,108.000
5,日本共産党,12,伊藤　たつや,536.293
5,日本共産党,13,いわぶち　彩子,885.188
5,日本共産党,14,植本　かんじ,52.000
5,日本共産党,15,遠藤　ひでかず,88.000
5,日本共産党,16,岡田　正和,345.000
5,日本共産党,17,かまい　敏行,87.028
5,日本共産党,18,かみむら　泰稔,59.000
5,日本共産党,19,亀田　りょうすけ,128.000
5,日本共産党,20,唐沢　ちあき,188.000
5,日本共産党,21,熊谷　智,124.000
5,日本共産党,22,小池　一徳,1070.000
5,日本共産党,23,小路　貴之,39.000
5,日本共産党,24,坂口　多美子,274.000
5,日本共産党,25,佐藤　こうへい,405.406
5,日本共産党,26,高木　みつひろ,158.000
5,日本共産党,27,高橋　わたる,106.118
5,日本共産党,28,にしざわ　博,233.121
5,日本共産党,29,原口　敏彦,143.000
5,日本共産党,30,藤本　ゆり,293.000
5,日本共産党,31,ふるた　みちよ,754.000
5,日本共産党,32,まえさと　保,100.000
5,日本共産党,33,益田　牧子,130.000
5,日本共産党,34,松田　一志,115.000
5,日本共産党,35,松本　隆,258.032
5,日本共産党,36,松山　きょうこ,162.555
5,日本共産党,37,みかじり　亮子,95.000
5,日本共産党,38,宮内　げん,140.000
5,日本共産党,39,山下　かい,199.000
5,日本共産党,40,山田　かずお,230.550
5,日本共産党,41,吉田　恭子,531.171
5,日本共産党,42,よしまた　洋,809.000
5,日本共産党,,合計,49075.876
6,幸福実現党,1,釈　量子,2979.309
6,幸福実現党,2,七海　ひろこ,1941.687
6,幸福実現党,,合計,4920.996
7,自由民主党,1,中西　さとし,34366.013
7,自由民主党,2,竹内　いさお,6691.190
7,自由民主党,3,青山　繁晴,77589.000
7,自由民主党,4,あぜもと　将吾,4203.000
7,自由民主党,5,あだち　まさし,16447.503
7,自由民主党,6,足立　としゆき,11911.397
