開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
★都計,5325129,5525471,10850600,2922579,2975300,5897879,2402550,2550171,4952721,54.88,53.85,54.36,-,62.24,62.17,62.20
☆区部計,3644192,3796057,7440249,1976744,2023479,4000223,1667448,1772578,3440026,54.24,53.30,53.76,-,61.61,61.61,61.61
千代田区,22606,23143,45749,13736,13685,27421,8870,9458,18328,60.76,59.13,59.94,11,68.70,66.28,67.47
中央区,53178,60029,113207,30270,32451,62721,22908,27578,50486,56.92,54.06,55.40,34,64.39,62.91,63.60
港区,86618,101923,188541,46458,51189,97647,40160,50734,90894,53.64,50.22,51.79,58,61.27,58.70,59.88
新宿区,128166,129569,257735,67398,68500,135898,60768,61069,121837,52.59,52.87,52.73,56,60.27,61.76,61.02
文京区,79973,89890,169863,49988,53719,103707,29985,36171,66156,62.51,59.76,61.05,9,69.20,67.32,68.20
台東区,79379,75141,154520,43933,41611,85544,35446,33530,68976,55.35,55.38,55.36,37,61.82,62.87,62.33
墨田区,106727,106252,212979,57132,55928,113060,49595,50324,99919,53.53,52.64,53.09,52,61.25,60.99,61.12
江東区,195720,199754,395474,110596,110923,221519,85124,88831,173955,56.51,55.53,56.01,27,63.88,64.20,64.04
品川区,151611,159545,311156,82499,84768,167267,69112,74777,143889,54.41,53.13,53.76,45,62.30,62.26,62.28
目黒区,105082,121762,226844,58949,64602,123551,46133,57160,103293,56.10,53.06,54.47,44,63.24,60.97,62.02
大田区計,292121,293351,585472,158048,156459,314507,134073,136892,270965,54.10,53.34,53.72,-,61.30,61.57,61.43
大田３区,72367,80321,152688,42846,45509,88355,29521,34812,64333,59.21,56.66,57.87,18,66.37,64.88,65.59
大田４区,219754,213030,432784,115202,110950,226152,104552,102080,206632,52.42,52.08,52.26,57,59.64,60.33,59.98
世田谷区計,340727,386577,727304,194115,209649,403764,146612,176928,323540,56.97,54.23,55.52,-,64.65,62.86,63.70
世田谷５区,118158,137613,255771,68277,74324,142601,49881,63289,113170,57.78,54.01,55.75,31,65.98,63.10,64.44
世田谷６区,222569,248964,471533,125838,135325,261163,96731,113639,210370,56.54,54.36,55.39,35,64.03,62.73,63.35
