開票区名,有効投票数,無効投票数,投票総数,持ち帰りと思われる票数,不受理と決定した票数,投票者数,無効投票率
★都計,5613251,164444,5777695,6585,9,5784289,2.85
☆区部計,3825411,107367,3932778,5089,8,3937875,2.73
千代田区,26400,397,26797,12,0,26809,1.48
中央区,60489,1222,61711,22,0,61733,1.98
港区,93221,2252,95473,39,0,95512,2.36
新宿区,130785,2605,133390,176,8,133574,1.95
文京区,98749,1976,100725,133,0,100858,1.96
台東区,81384,2335,83719,73,0,83792,2.79
墨田区,106933,3367,110300,114,0,110414,3.05
江東区,211020,7145,218165,535,0,218700,3.28
品川区,161285,3908,165193,132,0,165325,2.37
目黒区,118584,2684,121268,89,0,121357,2.21
大田区計,302065,8126,310191,431,0,310622,2.62
大田３区,85549,1791,87340,215,0,87555,2.05
大田４区,216516,6335,222851,216,0,223067,2.84
世田谷区計,390803,10199,401002,252,0,401254,2.54
世田谷５区,138056,3618,141674,81,0,141755,2.55
世田谷６区,252747,6581,259328,171,0,259499,2.54
渋谷区,93272,2113,95385,88,0,95473,2.22
中野区,137012,3196,140208,154,0,140362,2.28
杉並区,245247,5219,250466,84,0,250550,2.08
豊島区,113793,3174,116967,76,0,117043,2.71
北区,158216,262,158478,110,0,158588,0.17
荒川区,83675,2402,86077,28,0,86105,2.79
板橋区,229137,7065,236202,553,0,236755,2.99
練馬区計,300894,8893,309787,1012,0,310799,2.87
練馬９区,233129,6843,239972,845,0,240817,2.85
練馬１０区,67765,2050,69815,167,0,69982,2.94
足立区計,256367,11545,267912,80,0,267992,4.31
足立１２区,57074,2851,59925,30,0,59955,4.76
足立１３区,199293,8694,207987,50,0,208037,4.18
葛飾区,176612,7546,184158,256,0,184414,4.10
江戸川区計,249468,9736,259204,640,0,259844,3.76
江戸川１６区,211954,8353,220307,565,0,220872,3.79
江戸川１７区,37514,1383,38897,75,0,38972,3.56
☆市部計,1751474,55578,1807052,1492,1,1808545,3.08
八王子市,239098,7445,246543,317,0,246860,3.02
立川市,72750,2505,75255,59,0,75314,3.33
武蔵野市,67955,1642,69597,36,0,69633,2.36
三鷹市,80319,2247,82566,101,0,82667,2.72
青梅市,55429,2366,57795,42,0,57837,4.09
府中市,108441,2807,111248,9,0,111257,2.52
昭島市,45331,1800,47131,28,0,47159,3.82
調布市,96420,2628,99048,213,0,99261,2.65
町田市,182103,6275,188378,53,0,188431,3.33
小金井市,52759,1202,53961,74,0,54035,2.23
小平市,79237,2566,81803,60,0,81863,3.14
日野市,76800,2449,79249,75,0,79324,3.09
東村山市,63639,1993,65632,79,0,65711,3.04
国分寺市,55131,1401,56532,39,0,56571,2.48
国立市,33816,1100,34916,30,0,34946,3.15
福生市,22386,939,23325,37,0,23362,4.03
狛江市,35162,1055,36217,40,0,36257,2.91
東大和市,34539,1458,35997,31,0,36028,4.05
清瀬市,32253,844,33097,12,0,33109,2.55
東久留米市,48605,1843,50448,33,0,50481,3.65
武蔵村山市,25631,1126,26757,13,1,26771,4.21
多摩市,66683,2135,68818,58,0,68876,3.10
稲城市,36311,818,37129,19,0,37148,2.20
羽村市,21576,912,22488,22,0,22510,4.06
あきる野市,32395,1523,33918,12,0,33930,4.49
西東京市,86705,2499,89204,0,0,89204,2.80
☆西多摩郡計,23745,1061,24806,2,0,24808,4.28
瑞穂町,12332,575,12907,2,0,12909,4.45
日の出町,7337,355,7692,0,0,7692,4.62
檜原村,1274,39,1313,0,0,1313,2.97
奥多摩町,2802,92,2894,0,0,2894,3.18
☆島部計,12621,438,13059,2,0,13061,3.35
大島支庁,5970,161,6131,0,0,6131,2.63
大島町,3936,118,4054,0,0,4054,2.91
利島村,180,3,183,0,0,183,1.64
新島村,1483,30,1513,0,0,1513,1.98
神津島村,371,10,381,0,0,381,2.62
三宅支庁,1518,45,1563,2,0,1565,2.88
三宅村,1332,44,1376,2,0,1378,3.20
御蔵島村,186,1,187,0,0,187,0.53
八丈支庁,3955,187,4142,0,0,4142,4.51
八丈町,3859,181,4040,0,0,4040,4.48
青ヶ島村,96,6,102,0,0,102,5.88
小笠原支庁,1178,45,1223,0,0,1223,3.68
小笠原村,1178,45,1223,0,0,1223,3.68
