番号,重複立候補者,候補者名,候補者届出政党,得票数（票）
1,＊,渡辺　徹,次世代の党,18128
2,,冨田　なおき,日本共産党,32830
3,,マタヨシ　光雄,本人届出,1416
4,＊,海江田　万里,民主党,89232
5,＊,山田　みき,自由民主党,107015
6,,野?　たかのぶ,本人届出,2209
