年月,区分,２０歳（％）,２１～２４歳（％）,２５～２９歳（％）,３０～３４歳（％）,３５～３９歳（％）,４０～４４歳（％）,４５～４９歳（％）,５０～５４歳（％）,５５～５９歳（％）,６０～６４歳（％）,６５～６９歳（％）,７０代以上（％）
H25.6,今回,30.07,23.12,23.13,29.27,34.63,38.72,41.60,46.73,50.11,54.99,60.96,57.60
H21.7,前回,37.34,30.12,30.84,39.87,45.80,51.00,57.08,60.58,64.76,70.61,74.83,66.51
H17.7,前々回,33.48,23.21,23.77,29.67,35.23,40.45,45.89,49.39,52.75,59.69,65.71,59.81
