令和3年10月31日  執行,,,,,,,
最高裁判所裁判官国民審査　開票結果内訳,,,,,,,
東京都選挙管理委員会,,,,,,,
令和3年 11月1日 10時 43分 確定,,,,,,,
開  票  区  名,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思 わ れ る 票 数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　　東久留米市,54623 ,1493 ,56116 ,64 ,32 ,56212 ,2.66
　　武蔵村山市,29327 ,477 ,29804 ,8 ,0 ,29812 ,1.60
　　多摩市計,73644 ,1059 ,74703 ,25 ,0 ,74728 ,1.42
　　多摩市２１区,15542 ,208 ,15750 ,6 ,0 ,15756 ,1.32
　　多摩市２３区,58102 ,851 ,58953 ,19 ,0 ,58972 ,1.44
　　稲城市計,44354 ,469 ,44823 ,11 ,0 ,44834 ,1.05
　　稲城市２１区,15647 ,166 ,15813 ,3 ,0 ,15816 ,1.05
　　稲城市２２区,28707 ,303 ,29010 ,8 ,0 ,29018 ,1.04
　　羽村市,24591 ,472 ,25063 ,5 ,0 ,25068 ,1.88
　　あきる野市,36028 ,950 ,36978 ,2 ,0 ,36980 ,2.57
　　西東京市,99116 ,1414 ,100530 ,5 ,0 ,100535 ,1.41
　☆西多摩郡計,24709 ,713 ,25422 ,[sanitize]1 ,0 ,25421 ,2.80
　　瑞穂町,13129 ,445 ,13574 ,0 ,0 ,13574 ,3.28
　　日の出町,7600 ,205 ,7805 ,[sanitize]1 ,0 ,7804 ,2.63
　　檜原村,1254 ,14 ,1268 ,0 ,0 ,1268 ,1.10
　　奥多摩町,2726 ,49 ,2775 ,0 ,0 ,2775 ,1.77
　☆島部計,13024 ,180 ,13204 ,0 ,0 ,13204 ,1.36
　　大島支庁,6492 ,88 ,6580 ,0 ,0 ,6580 ,1.34
　　　大島町,3840 ,60 ,3900 ,0 ,0 ,3900 ,1.54
　　　利島村,221 ,0 ,221 ,0 ,0 ,221 ,0.00
　　　新島村,1403 ,23 ,1426 ,0 ,0 ,1426 ,1.61
　　　神津島村,1028 ,5 ,1033 ,0 ,0 ,1033 ,0.48
　　三宅支庁,1513 ,12 ,1525 ,0 ,0 ,1525 ,0.79
　　　三宅村,1311 ,12 ,1323 ,0 ,0 ,1323 ,0.91
　　　御蔵島村,202 ,0 ,202 ,0 ,0 ,202 ,0.00
　　八丈支庁,3801 ,60 ,3861 ,0 ,0 ,3861 ,1.55
　　　八丈町,3678 ,57 ,3735 ,0 ,0 ,3735 ,1.53
　　　青ヶ島村,123 ,3 ,126 ,0 ,0 ,126 ,2.38
　　小笠原支庁,1218 ,20 ,1238 ,0 ,0 ,1238 ,1.62
　　　小笠原村,1218 ,20 ,1238 ,0 ,0 ,1238 ,1.62
