開票区名,区分,１／高橋　しょうご／無所属,２／谷山　ゆうじろう／無所属,３／桜井　誠／無所属,４／鳥越　俊太郎／無所属,５／増田　ひろや／無所属,６／マック赤坂／無所属,７／山口　敏夫／国民主権の会,８／やまなか　まさあき／未来（みらい）創造経営実践党,９／後藤　輝樹／無所属,１０／岸本　雅吉／無所属,１１／小池　ゆりこ／無所属,１２／上杉　隆／無所属,１３／七海　ひろこ／幸福実現党,１４／中川　ちょうぞう／無所属,１５／せきくち　安弘／無所属,１６／立花　孝志／ＮＨＫから国民を守る党,１７／宮崎　正弘／無所属,１８／今尾　貞夫／無所属,１９／望月　義彦／無所属,２０／武井　直子／無所属,２１／ないとう　ひさお／無所属,定数１人合計,定数１人残票数,定数１人開票率,定数１人受信時刻,法定得票数,供託物没収点
★都計,確,16664.000,6759.000,114171.000,1346103.000,1793453.000,51056.000,15986.000,3116.000,7031.000,8056.000,2912628.000,179631.018,28809.000,16584.000,1326.000,27241.975,4010.000,3105.000,3332.000,4605.000,2695.000,6546361.993,0,100.00,,1636590.500,654636.200
☆区部計,確,11328.000,4952.000,81374.000,870513.000,1197915.000,37233.000,10770.000,2220.000,4810.000,6292.000,2037286.000,130415.318,19488.000,11604.000,848.000,18416.677,2620.000,2248.000,2218.000,3076.000,1712.000,4457338.995,0,100.00,,-,-
千代田区,確,82.000,46.000,632.000,4928.000,8200.000,370.000,83.000,12.000,54.000,52.000,14731.000,861.000,69.000,89.000,9.000,115.000,14.000,13.000,49.000,3.000,8.000,30420.000,0,100.00,22:47,-,-
中央区,確,123.000,106.000,1346.000,11219.000,19109.000,822.000,158.000,26.000,79.000,110.000,37675.000,2646.000,252.000,203.000,37.000,237.000,63.000,20.000,17.000,60.000,15.000,74320.000,0,100.00,23:33,-,-
港区,確,147.000,216.000,1861.000,18587.000,28526.000,1171.000,228.000,46.000,100.000,159.000,53860.000,3402.000,532.000,300.000,32.000,279.000,36.000,26.000,45.000,61.000,39.000,109653.000,0,100.00,00:05,-,-
新宿区,確,350.000,210.000,3125.000,29614.000,38848.000,1463.000,414.000,58.000,157.000,202.000,68912.000,5008.000,624.000,368.000,16.000,502.000,197.000,101.000,78.000,115.000,29.000,150391.000,0,100.00,23:51,-,-
文京区,確,309.000,160.000,1929.000,23354.000,28997.000,1071.000,257.000,51.000,105.000,207.000,52193.000,3678.000,358.000,342.000,10.000,423.000,82.000,70.000,67.000,73.000,29.000,113765.000,0,100.00,23:02,-,-
台東区,確,219.000,89.000,2145.000,18245.000,24480.000,820.000,216.000,47.000,90.000,144.000,43852.000,3075.000,462.000,280.000,11.000,321.000,92.000,18.000,35.000,120.000,32.000,94793.000,0,100.00,23:40,-,-
墨田区,確,302.000,109.000,2488.000,22100.000,35765.000,1024.000,301.000,67.000,142.000,141.000,59987.000,3841.000,565.000,311.000,20.000,582.000,61.000,99.000,48.000,105.000,61.000,128119.000,0,100.00,00:10,-,-
江東区,確,545.000,278.000,4315.000,44678.000,68609.000,1997.000,553.000,147.000,333.000,339.000,113926.000,6771.000,1068.000,623.000,48.000,1302.000,181.000,207.000,73.000,121.000,77.000,246191.000,0,100.00,23:40,-,-
