開　票　区　名,,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
,全党派計,全党派計,全党派計,幸福実現党,幸福実現党,幸福実現党,日本維新の会,日本維新の会,日本維新の会,れいわ新選組,れいわ新選組,れいわ新選組,公明党,公明党,公明党,ごぼうの党,ごぼうの党,ごぼうの党,立憲民主党,立憲民主党,立憲民主党,国民民主党,国民民主党,国民民主党,参政党,参政党,参政党,日本第一党,日本第一党,日本第一党,日本共産党,日本共産党,日本共産党,新党くにもり,新党くにもり,新党くにもり,自由民主党,自由民主党,自由民主党,社会民主党,社会民主党,社会民主党,ＮＨＫ党,ＮＨＫ党,ＮＨＫ党,維新政党・新風,維新政党・新風,維新政党・新風
,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数
　　台東区,95048.990,78674.999,16373.991,202.000,178.000,24.000,14586.298,12721.000,1865.298,6293.280,5672.000,621.280,7003.000,6583.000,420.000,472.000,455.000,17.000,10533.723,8399.686,2134.037,6823.313,5963.313,860.000,3588.000,2762.000,826.000,403.090,321.000,82.090,8143.143,7637.000,506.143,175.000,146.000,29.000,31399.212,24140.000,7259.212,2280.000,1728.000,552.000,3101.931,1929.000,1172.931,45.000,40.000,5.000
　　墨田区,127277.990,107249.999,20027.991,240.000,207.000,33.000,18767.631,16975.000,1792.631,7753.884,7040.000,713.884,14365.038,13526.000,839.038,514.000,493.000,21.000,12771.587,9936.660,2834.927,9236.300,8043.339,1192.961,4268.000,3241.000,1027.000,450.125,357.000,93.125,10912.106,10191.000,721.106,202.000,171.000,31.000,40977.993,32388.000,8589.993,2711.326,2039.000,672.326,4046.000,2588.000,1458.000,62.000,54.000,8.000
　　江東区,239698.984,195628.048,44070.936,552.000,448.000,104.000,38121.480,33812.000,4309.480,13373.460,11588.000,1785.460,25411.795,23301.000,2110.795,951.049,900.049,51.000,25105.874,19306.643,5799.231,16130.192,13571.356,2558.836,7451.000,5496.000,1955.000,947.000,694.000,253.000,20997.642,19138.000,1859.642,331.000,267.000,64.000,76517.828,57949.000,18568.828,5873.027,4158.000,1715.027,7839.637,4922.000,2917.637,96.000,77.000,19.000
　　品川区,192309.987,160817.999,31491.988,702.000,612.000,90.000,29713.717,26979.000,2734.717,10617.000,9590.000,1027.000,16834.705,15874.000,960.705,859.000,830.000,29.000,21940.698,17605.699,4334.999,14443.300,12461.300,1982.000,6566.596,4964.000,1602.596,604.259,477.000,127.259,17597.345,16350.000,1247.345,300.000,258.000,42.000,61212.091,47428.000,13784.091,4754.218,3599.000,1155.218,6082.058,3722.000,2360.058,83.000,68.000,15.000
　　目黒区,134655.986,111813.999,22841.987,285.000,241.000,44.000,20240.956,18075.000,2165.956,8739.000,7900.000,839.000,9531.036,8894.000,637.036,671.000,647.000,24.000,18170.337,14745.295,3425.042,9199.463,8154.704,1044.759,4951.376,3729.000,1222.376,368.368,275.000,93.368,11860.208,11045.000,815.208,207.000,172.000,35.000,42519.977,32969.000,9550.977,3621.386,2621.000,1000.386,4224.879,2297.000,1927.879,66.000,49.000,17.000
　　大田区,334949.982,276898.013,58051.969,904.000,757.000,147.000,52052.339,45820.000,6232.339,18880.867,16873.000,2007.867,37191.723,34833.000,2358.723,1250.014,1183.014,67.000,36776.740,28863.855,7912.885,22738.018,19440.144,3297.874,11181.873,8364.000,2817.873,1093.689,842.000,251.689,30262.583,27729.000,2533.583,559.000,459.000,100.000,104120.440,79529.000,24591.440,8222.615,6052.000,2170.615,9563.081,6031.000,3532.081,153.000,122.000,31.000
　　世田谷区,449179.982,364419.118,84760.864,946.000,785.000,161.000,67332.328,59581.000,7751.328,31801.188,28024.000,3777.188,28947.519,26587.000,2360.519,1889.119,1759.119,130.000,64583.153,50621.166,13961.987,30737.688,26882.833,3854.855,16728.685,12372.000,4356.685,1159.865,886.000,273.865,38090.540,34930.000,3160.540,678.000,544.000,134.000,137564.889,103112.000,34452.889,15067.804,10829.000,4238.804,13361.204,7265.000,6096.204,292.000,241.000,51.000
　　渋谷区,105559.995,85775.999,19783.996,241.000,202.000,39.000,14937.282,13189.000,1748.282,7345.000,6457.000,888.000,6240.000,5814.000,426.000,626.000,595.000,31.000,15018.204,11898.252,3119.952,6758.747,6042.747,716.000,4420.764,3284.000,1136.764,313.000,243.000,70.000,9522.125,8847.000,675.125,161.000,132.000,29.000,32794.873,24813.000,7981.873,3048.000,2110.000,938.000,4080.000,2101.000,1979.000,54.000,48.000,6.000
　　中野区,152132.990,125407.015,26725.975,327.000,282.000,45.000,19125.383,17244.000,1881.383,10627.000,9351.000,1276.000,13426.068,12555.000,871.068,683.016,654.016,29.000,22846.566,17893.469,4953.097,10822.461,9537.530,1284.931,5490.967,4143.000,1347.967,554.615,406.000,148.615,14835.084,13727.000,1108.084,265.000,220.000,45.000,44150.949,33524.000,10626.949,4460.000,3147.000,1313.000,4452.881,2661.000,1791.881,66.000,62.000,4.000
　　杉並区,276998.989,219631.054,57367.935,526.000,449.000,77.000,37133.560,33532.000,3601.560,20906.000,18222.000,2684.000,16897.000,15697.000,1200.000,1015.055,990.055,25.000,40822.125,31154.004,9668.121,19779.995,17339.995,2440.000,9403.248,6879.000,2524.248,839.000,622.000,217.000,28564.437,26464.000,2100.437,479.000,385.000,94.000,83455.102,56674.000,26781.102,10056.871,6918.000,3138.871,7026.596,4226.000,2800.596,95.000,79.000,16.000
