開票区名,鬼丸　かおる／×,鬼丸　かおる／なし,鬼丸　かおる／記載無効,鬼丸　かおる／計,木内　道祥／×,木内　道祥／なし,木内　道祥／記載無効,木内　道祥／計,池上　政幸／×,池上　政幸／なし,池上　政幸／記載無効,池上　政幸／計,山本　庸幸／×,山本　庸幸／なし,山本　庸幸／記載無効,山本　庸幸／計,山?　敏充／×,山?　敏充／なし,山?　敏充／記載無効,山?　敏充／計
★都計,667037,4946214,0,5613251,745264,4867987,0,5613251,749273,4863978,0,5613251,639542,4973709,0,5613251,748470,4864781,0,5613251
☆区部計,455898,3369513,0,3825411,505187,3320224,0,3825411,507460,3317951,0,3825411,437018,3388393,0,3825411,508235,3317176,0,3825411
千代田区,793,25607,0,26400,461,25939,0,26400,845,25555,0,26400,278,26122,0,26400,2481,23919,0,26400
中央区,7387,53102,0,60489,8061,52428,0,60489,8015,52474,0,60489,7063,53426,0,60489,8104,52385,0,60489
港区,11066,82155,0,93221,12674,80547,0,93221,12649,80572,0,93221,10812,82409,0,93221,12787,80434,0,93221
新宿区,16870,113915,0,130785,19020,111765,0,130785,19113,111672,0,130785,16414,114371,0,130785,19319,111466,0,130785
文京区,12494,86255,0,98749,14303,84446,0,98749,14515,84234,0,98749,12291,86458,0,98749,14547,84202,0,98749
台東区,9612,71772,0,81384,10329,71055,0,81384,10277,71107,0,81384,9133,72251,0,81384,10238,71146,0,81384
墨田区,11578,95355,0,106933,12404,94529,0,106933,12384,94549,0,106933,10956,95977,0,106933,12410,94523,0,106933
江東区,26214,184806,0,211020,28648,182372,0,211020,28422,182598,0,211020,25273,185747,0,211020,27912,183108,0,211020
品川区,19091,142194,0,161285,21344,139941,0,161285,21417,139868,0,161285,18484,142801,0,161285,21446,139839,0,161285
目黒区,13700,104884,0,118584,15962,102622,0,118584,16091,102493,0,118584,13545,105039,0,118584,16258,102326,0,118584
大田区計,35174,266891,0,302065,38223,263842,0,302065,38227,263838,0,302065,33425,268640,0,302065,38146,263919,0,302065
大田３区,9625,75924,0,85549,11117,74432,0,85549,11143,74406,0,85549,9373,76176,0,85549,11127,74422,0,85549
大田４区,25549,190967,0,216516,27106,189410,0,216516,27084,189432,0,216516,24052,192464,0,216516,27019,189497,0,216516
世田谷区計,47603,343200,0,390803,55517,335286,0,390803,56551,334252,0,390803,46338,344465,0,390803,56578,334225,0,390803
世田谷５区,16335,121721,0,138056,19088,118968,0,138056,19313,118743,0,138056,15846,122210,0,138056,19482,118574,0,138056
世田谷６区,31268,221479,0,252747,36429,216318,0,252747,37238,215509,0,252747,30492,222255,0,252747,37096,215651,0,252747
渋谷区,12187,81085,0,93272,13855,79417,0,93272,14027,79245,0,93272,11802,81470,0,93272,14076,79196,0,93272
中野区,17698,119314,0,137012,19496,117516,0,137012,19648,117364,0,137012,17036,119976,0,137012,19669,117343,0,137012
杉並区,30594,214653,0,245247,36352,208895,0,245247,36764,208483,0,245247,30288,214959,0,245247,36925,208322,0,245247
豊島区,14313,99480,0,113793,16007,97786,0,113793,16134,97659,0,113793,13848,99945,0,113793,16128,97665,0,113793
北区,22930,135286,0,158216,24104,134112,0,158216,24349,133867,0,158216,21306,136910,0,158216,23757,134459,0,158216
荒川区,9631,74044,0,83675,10026,73649,0,83675,10016,73659,0,83675,8951,74724,0,83675,9907,73768,0,83675
