開票区名,計,（１）中西さとし,（２）竹内いさお,（３）青山繁晴,（４）あぜもと将吾,（５）あだちまさし,（６）足立としゆき,（７）伊藤ようすけ,（８）今井絵理子,（９）うとたかし,（１０）大江やすひろ,（１１）小川かつみ,（１２）片山さつき,（１３）進藤かねひこ,（１４）自見はなこ,（１５）そのだ修光,（１６）たかがい恵美子,（１７）とくしげ雅之,（１８）藤井もとゆき,（１９）藤木しんや,（２０）堀内恒夫,（２１）増山としかず,（２２）水おち敏栄,（２３）宮島よしふみ,（２４）山谷えり子,（２５）山田宏
★都計,504551.112,34366.013,6691.190,77589.000,4203.000,16447.503,11911.397,6624.656,51474.586,12923.456,2841.000,9645.051,83411.862,3057.000,21449.000,1891.000,6471.000,15659.000,11605.000,6506.000,19347.000,4196.817,3757.000,10707.000,40221.337,41555.244
☆区部計,361533.626,24720.243,4660.433,56777.000,3098.000,11490.817,8850.097,4140.247,36325.333,8614.456,2185.000,6164.608,60646.705,2271.000,15404.000,1215.000,4882.000,9927.000,8184.000,3038.000,13977.000,3366.921,2289.000,7043.000,29114.043,33149.723
千代田区,3163.418,107.000,27.843,592.000,79.000,90.000,96.000,47.000,221.000,76.000,19.000,15.000,468.841,21.000,269.000,13.000,74.000,161.000,74.000,19.000,88.000,44.000,34.000,18.000,266.000,243.734
中央区,5468.334,281.000,59.478,1094.000,96.000,170.000,134.000,83.000,530.000,99.000,31.000,64.155,972.857,30.000,259.000,20.000,105.000,253.000,155.000,32.000,175.000,60.000,34.000,62.000,348.844,320.000
港区,8736.543,422.000,86.574,1703.000,55.000,356.000,203.000,232.000,704.000,164.000,64.000,90.000,1595.576,60.000,741.000,41.000,89.000,234.000,183.000,34.000,209.000,159.000,52.000,70.000,713.000,476.393
新宿区,10625.281,524.000,114.506,2133.000,64.000,379.000,270.000,108.000,774.000,370.000,104.000,112.128,1645.835,93.000,666.000,41.000,221.000,499.000,276.000,61.000,325.000,126.000,83.000,206.000,760.871,668.941
文京区,9753.601,608.000,114.699,1553.000,70.000,243.000,254.000,110.000,796.000,217.000,45.000,124.000,1931.616,78.000,884.000,31.000,135.000,369.000,296.000,66.000,390.000,127.000,66.000,112.000,600.000,533.286
台東区,7008.870,564.960,113.067,1281.000,38.000,144.476,158.523,70.833,631.000,118.000,30.000,108.563,1290.476,33.000,281.000,30.000,70.000,408.000,193.000,47.000,223.000,54.000,85.000,89.000,662.436,284.536
墨田区,9770.035,759.000,144.491,1581.000,64.000,247.107,221.892,86.761,1189.000,201.000,42.000,194.000,1859.209,49.000,356.000,42.000,142.000,245.000,216.000,70.000,481.000,146.000,42.000,157.000,746.000,488.575
江東区,20603.254,1769.893,356.407,3280.000,223.000,801.555,543.444,227.385,2453.000,530.459,130.000,302.359,3762.405,157.000,636.000,65.000,242.000,510.000,383.000,160.000,863.000,174.000,96.000,326.000,1476.640,1134.707
品川区,13493.027,800.764,159.703,2663.000,83.000,504.917,285.082,214.760,1477.565,250.000,90.000,203.000,2279.316,63.000,624.000,40.000,259.000,443.000,311.000,80.000,453.000,148.000,136.000,217.000,1135.434,572.486
目黒区,10560.108,445.000,93.198,1912.000,158.000,447.000,248.000,177.000,1074.000,431.000,86.000,131.000,1703.894,107.000,540.000,34.000,161.000,200.000,230.000,61.000,297.000,258.000,79.000,145.000,1015.000,527.016
大田区,27066.042,2511.932,316.790,4103.000,141.000,1288.549,527.415,323.386,3002.000,594.000,276.000,568.327,4667.017,122.000,1280.000,90.000,477.000,580.000,611.000,227.000,811.000,180.000,221.000,487.000,2605.672,1054.954
世田谷区,41737.060,2732.930,489.272,6332.000,207.000,1384.724,960.275,766.770,4329.000,887.000,246.000,510.000,7863.429,270.000,1734.000,169.000,526.000,782.000,767.000,465.000,1532.000,518.921,261.000,759.000,4864.000,2380.739
渋谷区,8312.125,441.000,93.000,1653.000,54.000,326.893,191.106,210.917,796.000,164.000,68.000,89.000,1384.568,66.000,484.000,35.000,84.000,227.000,203.000,34.000,246.000,127.000,46.000,103.000,723.000,462.641
中野区,10842.556,524.000,106.008,2196.000,86.000,403.858,248.141,124.000,1058.000,279.000,66.000,195.000,1547.834,79.000,438.000,41.000,181.000,278.000,256.000,110.000,404.000,90.000,51.000,218.000,763.000,1099.715
杉並区,31813.791,649.000,160.621,3529.000,127.000,566.623,480.376,197.000,1692.000,395.000,107.000,348.616,2466.807,149.000,1116.000,62.000,257.000,417.000,486.000,242.000,825.000,195.000,118.000,562.000,1347.383,15318.365
豊島区,10496.452,468.000,147.891,1849.000,60.000,299.000,269.000,97.000,931.000,206.000,66.000,159.490,1689.336,55.000,460.000,37.000,126.000,249.000,234.000,105.000,1280.000,91.000,45.000,261.000,815.509,496.226
北区,12131.869,962.948,212.298,1863.000,78.000,354.500,354.500,94.758,1294.000,362.000,68.000,253.169,2046.448,99.000,387.000,42.000,146.000,463.000,306.000,113.000,554.000,112.000,104.000,285.000,1045.830,531.418
荒川区,6292.528,340.947,92.061,1043.000,56.000,143.378,168.621,57.863,730.000,100.000,29.000,147.000,959.638,29.000,440.000,13.000,124.000,253.000,133.000,34.000,360.000,60.000,37.000,152.000,457.000,333.020
板橋区,20016.692,1206.000,280.000,3124.000,665.000,610.209,399.763,176.822,2257.000,513.000,99.000,485.844,3171.385,133.000,929.000,76.000,515.000,610.000,419.000,172.000,896.000,135.000,124.000,411.000,1621.155,987.514
練馬区,28479.400,1865.000,408.534,4258.000,194.000,982.769,683.230,256.797,2917.145,1452.690,147.000,695.174,5011.732,143.000,837.000,94.000,335.000,605.000,1275.000,411.000,1015.000,188.000,187.000,769.000,2182.679,1565.650
足立区,20590.429,1716.957,336.146,2961.000,193.000,688.616,1154.374,154.709,2352.000,413.307,90.000,489.715,3696.492,112.000,532.000,72.000,229.000,862.000,338.000,185.000,825.000,109.000,137.000,672.000,1564.284,706.829
葛飾区,16589.671,1313.937,266.971,2417.000,147.000,419.169,353.830,116.419,1722.000,314.000,89.000,375.872,3300.005,85.000,856.000,65.000,169.000,505.000,368.000,125.000,757.000,122.000,99.000,454.000,1348.127,801.341
江戸川区,27982.540,3705.975,480.875,3657.000,160.000,639.474,645.525,207.067,3395.623,478.000,193.000,503.196,5331.989,238.000,655.000,62.000,215.000,774.000,471.000,185.000,968.000,143.000,152.000,508.000,2052.179,2161.637
☆市部計,140319.219,9430.770,1991.091,20546.000,1095.000,4786.686,2922.300,2460.409,14898.543,4234.000,642.000,3416.080,22462.280,767.000,5996.000,638.000,1566.000,5388.000,3379.000,3316.000,5263.000,821.896,1417.000,3634.000,10929.369,8318.795
八王子市,18416.130,1157.933,264.247,2604.000,117.000,618.657,322.342,408.306,1805.000,473.000,72.000,488.470,2876.327,96.000,741.000,70.000,324.000,1055.000,540.000,342.000,789.000,83.000,208.000,517.000,1588.529,855.319
立川市,6183.434,522.973,87.040,815.000,31.000,179.285,99.714,59.000,777.000,303.000,27.000,157.000,1009.620,37.000,113.000,29.000,64.000,361.000,242.000,9.000,220.000,26.896,38.000,166.000,490.000,319.906
武蔵野市,5947.736,388.000,102.683,968.000,37.000,208.589,145.410,67.000,599.000,130.000,33.000,94.000,1007.324,22.000,288.000,28.000,54.000,155.000,113.000,79.000,211.000,49.000,30.000,154.000,465.000,519.730
三鷹市,6993.449,480.000,111.970,1154.000,47.000,260.658,135.341,127.000,652.000,152.000,37.000,156.000,1027.836,35.000,317.000,24.000,67.000,156.000,133.000,321.000,226.000,40.000,89.000,280.000,505.000,459.644
