令和4年7月10日  執行,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　投票結果（国内＋在外）,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,
20時  00分  現在  確定,,,,,,,,,,,,,,,,
開　票　区　名,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,投  票  者  数,投  票  者  数,投  票  者  数,棄  権  者  数,棄  権  者  数,棄  権  者  数,投   票   率,投   票   率,投   票   率,投   票   率,前 回 投 票 率,前 回 投 票 率,前 回 投 票 率
,男,女,計,男,女,計,男,女,計,男,女,平均,順位,男,女,平均
　★都計,5585555,5869267,11454822,3135858,3340811,6476669,2449697,2528456,4978153,56.14,56.92,56.54,-,52.02,51.51,51.76
　☆区部計,3836960,4045929,7882889,2147909,2307837,4455746,1689051,1738092,3427143,55.98,57.04,56.52,-,51.31,50.89,51.09
　　千代田区,27004,27356,54360,16148,16739,32887,10856,10617,21473,59.80,61.19,60.50,11,55.84,55.35,55.60
　　中央区,65085,73781,138866,38397,43660,82057,26688,30121,56809,59.00,59.18,59.09,14,52.22,49.98,51.03
　　港区,93739,110464,204203,51450,60031,111481,42289,50433,92722,54.89,54.34,54.59,50,49.47,47.01,48.14
　　新宿区,136596,137653,274249,74910,78732,153642,61686,58921,120607,54.84,57.20,56.02,40,49.80,50.70,50.25
　　文京区,86652,98144,184796,56271,64014,120285,30381,34130,64511,64.94,65.22,65.09,4,59.72,58.28,58.96
　　台東区,86760,83286,170046,48937,48789,97726,37823,34497,72320,56.41,58.58,57.47,28,52.37,53.17,52.76
　　墨田区,114589,117599,232188,63929,67123,131052,50660,50476,101136,55.79,57.08,56.44,35,50.72,50.31,50.51
　　江東区,207041,216400,423441,119228,127144,246372,87813,89256,177069,57.59,58.75,58.18,22,52.62,52.23,52.42
　　品川区,164178,173510,337688,95116,101808,196924,69062,71702,140764,57.93,58.68,58.32,20,51.80,51.07,51.42
　　目黒区,108483,125929,234412,64061,74187,138248,44422,51742,96164,59.05,58.91,58.98,17,53.48,51.33,52.33
　　大田区,304185,310379,614564,169081,175210,344291,135104,135169,270273,55.58,56.45,56.02,40,50.81,50.20,50.50
　　世田谷区,358740,411783,770523,215919,247215,463134,142821,164568,307389,60.19,60.04,60.11,13,54.54,52.41,53.41
　　渋谷区,90907,101578,192485,51059,58130,109189,39848,43448,83296,56.17,57.23,56.73,31,50.62,49.59,50.08
　　中野区,141591,140606,282197,77120,78939,156059,64471,61667,126138,54.47,56.14,55.30,46,50.40,51.11,50.75
　　杉並区,230360,255079,485439,133669,148532,282201,96691,106547,203238,58.03,58.23,58.13,24,53.38,51.95,52.63
　　豊島区,115170,115360,230530,63764,67013,130777,51406,48347,99753,55.37,58.09,56.73,31,49.89,51.24,50.56
　　北区,142500,146058,288558,83497,86909,170406,59003,59149,118152,58.59,59.50,59.05,15,55.26,55.62,55.44
　　荒川区,84665,86167,170832,46999,48841,95840,37666,37326,74992,55.51,56.68,56.10,39,51.01,50.75,50.88
　　板橋区,229412,242084,471496,125516,135049,260565,103896,107035,210931,54.71,55.79,55.26,47,50.56,50.43,50.49
　　練馬区,296327,321063,617390,166560,180128,346688,129767,140935,270702,56.21,56.10,56.15,38,52.28,51.05,51.64
　　足立区,283969,283474,567443,144156,149647,293803,139813,133827,273640,50.76,52.79,51.78,60,46.01,46.68,46.35
　　葛飾区,189141,191537,380678,98677,101500,200177,90464,90037,180501,52.17,52.99,52.58,57,51.04,51.35,51.20
　　江戸川区,279866,276639,556505,143445,148497,291942,136421,128142,264563,51.25,53.68,52.46,58,46.52,47.42,46.96
　☆市部計,1714409,1789734,3504143,969613,1014898,1984511,744796,774836,1519632,56.56,56.71,56.63,-,53.61,52.91,53.25
　　八王子市,234937,237421,472358,128824,131971,260795,106113,105450,211563,54.83,55.59,55.21,48,51.87,51.46,51.66
　　立川市,76362,78170,154532,40453,41587,82040,35909,36583,72492,52.98,53.20,53.09,55,52.25,51.87,52.06
　　武蔵野市,58854,65874,124728,36603,40870,77473,22251,25004,47255,62.19,62.04,62.11,6,57.43,55.84,56.59
　　三鷹市,76691,82113,158804,46401,49711,96112,30290,32402,62692,60.50,60.54,60.52,9,55.60,54.45,55.01
　　青梅市,56402,55856,112258,29809,29363,59172,26593,26493,53086,52.85,52.57,52.71,56,50.14,49.12,49.63
　　府中市,107611,108014,215625,61962,62918,124880,45649,45096,90745,57.58,58.25,57.92,26,53.06,53.25,53.15
　　昭島市,46976,47726,94702,25285,26106,51391,21691,21620,43311,53.83,54.70,54.27,52,50.25,49.91,50.08
　　調布市,95986,103174,199160,54825,58804,113629,41161,44370,85531,57.12,56.99,57.05,30,53.61,52.30,52.93
　　町田市,174777,185957,360734,96455,101404,197859,78322,84553,162875,55.19,54.53,54.85,49,54.32,53.26,53.78
　　小金井市,50665,53155,103820,30479,32225,62704,20186,20930,41116,60.16,60.62,60.40,12,56.93,56.40,56.66
　　小平市,78043,82731,160774,45548,48205,93753,32495,34526,67021,58.36,58.27,58.31,21,54.23,53.59,53.90
　　日野市,77767,78598,156365,43865,44108,87973,33902,34490,68392,56.41,56.12,56.26,37,55.83,55.18,55.50
　　東村山市,61439,65927,127366,34683,37389,72072,26756,28538,55294,56.45,56.71,56.59,34,53.46,52.93,53.19
　　国分寺市,51996,54687,106683,32061,33968,66029,19935,20719,40654,61.66,62.11,61.89,7,56.99,56.01,56.49
　　国立市,30977,33460,64437,18831,20158,38989,12146,13302,25448,60.79,60.25,60.51,10,57.37,55.93,56.63
　　福生市,23098,23138,46236,12464,12136,24600,10634,11002,21636,53.96,52.45,53.21,53,50.88,49.49,50.18
　　狛江市,33572,36633,70205,19513,21301,40814,14059,15332,29391,58.12,58.15,58.14,23,56.11,54.72,55.39
　　東大和市,34769,36398,71167,19224,20268,39492,15545,16130,31675,55.29,55.68,55.49,45,52.33,52.61,52.47
　　清瀬市,29962,32837,62799,16806,18338,35144,13156,14499,27655,56.09,55.85,55.96,42,53.76,53.47,53.61
　　東久留米市,47246,50799,98045,26218,28556,54774,21028,22243,43271,55.49,56.21,55.87,43,52.39,51.88,52.13
　　武蔵村山市,29088,29454,58542,14225,14909,29134,14863,14545,29408,48.90,50.62,49.77,61,46.28,47.16,46.72
　　多摩市,60814,64261,125075,34908,36838,71746,25906,27423,53329,57.40,57.33,57.36,29,54.91,54.23,54.56
　　稲城市,37875,38041,75916,22290,22395,44685,15585,15646,31231,58.85,58.87,58.86,18,54.63,53.46,54.04
　　羽村市,22892,22501,45393,12127,12011,24138,10765,10490,21255,52.97,53.38,53.18,54,50.26,49.48,49.88
　　あきる野市,33282,33898,67180,17432,17730,35162,15850,16168,32018,52.38,52.30,52.34,59,52.17,51.28,51.72
　　西東京市,82328,88911,171239,48322,51629,99951,34006,37282,71288,58.69,58.07,58.37,19,54.40,52.94,53.64
　☆西多摩郡計,23510,23560,47070,12152,12143,24295,11358,11417,22775,51.69,51.54,51.61,-,49.89,48.96,49.43
　　瑞穂町,13750,13426,27176,6572,6590,13162,7178,6836,14014,47.80,49.08,48.43,62,44.17,45.17,44.66
　　日の出町,6670,7022,13692,3683,3774,7457,2987,3248,6235,55.22,53.75,54.46,51,55.88,52.76,54.29
　　檜原村,930,935,1865,601,559,1160,329,376,705,64.62,59.79,62.20,5,69.21,59.78,64.42
　　奥多摩町,2160,2177,4337,1296,1220,2516,864,957,1821,60.00,56.04,58.01,25,58.68,54.76,56.71
　☆島部計,10676,10044,20720,6184,5933,12117,4492,4111,8603,57.92,59.07,58.48,-,59.18,59.12,59.15
　　大島支庁小計,5099,5024,10123,2998,2983,5981,2101,2041,4142,58.80,59.38,59.08,-,58.35,57.27,57.81
　　　大島町,3076,3025,6101,1778,1822,3600,1298,1203,2501,57.80,60.23,59.01,16,56.53,56.88,56.70
　　　利島村,149,116,265,120,86,206,29,30,59,80.54,74.14,77.74,1,86.01,80.73,83.73
　　　新島村,1093,1134,2227,621,622,1243,472,512,984,56.82,54.85,55.81,44,59.41,55.76,57.54
　　　神津島村,781,749,1530,479,453,932,302,296,598,61.33,60.48,60.92,8,59.29,57.94,58.63
　　三宅支庁小計,1266,1005,2271,737,597,1334,529,408,937,58.21,59.40,58.74,-,60.19,60.44,60.30
　　　三宅村,1144,893,2037,645,509,1154,499,384,883,56.38,57.00,56.65,33,58.70,57.78,58.29
　　　御蔵島村,122,112,234,92,88,180,30,24,54,75.41,78.57,76.92,2,74.05,81.82,77.78
　　八丈支庁小計,3129,3090,6219,1785,1830,3615,1344,1260,2604,57.05,59.22,58.13,-,56.06,58.58,57.31
　　　八丈町,3041,3026,6067,1726,1786,3512,1315,1240,2555,56.76,59.02,57.89,27,55.50,58.34,56.92
　　　青ヶ島村,88,64,152,59,44,103,29,20,49,67.05,68.75,67.76,3,76.14,71.19,74.15
　　小笠原支庁小計,1182,925,2107,664,523,1187,518,402,920,56.18,56.54,56.34,-,70.06,69.67,69.89
　　　小笠原村,1182,925,2107,664,523,1187,518,402,920,56.18,56.54,56.34,36,70.06,69.67,69.89
