令和3年7月4日  執行,,,,,,,,,,,,,,,,
東京都議会議員選挙　投票結果,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,
20時  00分  現在  確定,,,,,,,,,,,,,,,,
開　票　区　名,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,投  票  者  数,投  票  者  数,投  票  者  数,棄  権  者  数,棄  権  者  数,棄  権  者  数,投   票   率,投   票   率,投   票   率,投   票   率,前 回 投 票 率,前 回 投 票 率,前 回 投 票 率
,男,女,計,男,女,計,男,女,計,男,女,平均,順位,男,女,平均
　　　瑞穂町,13697,13427,27124,4324,4147,8471,9373,9280,18653,31.57,30.89,31.23,-,42.56,42.47,42.52
　　　日の出町,6640,6988,13628,2773,2826,5599,3867,4162,8029,41.76,40.44,41.08,-,55.07,52.50,53.75
　　　檜原村,952,961,1913,570,516,1086,382,445,827,59.87,53.69,56.77,-,63.14,59.50,61.32
　　　奥多摩町,2198,2229,4427,1207,1135,2342,991,1094,2085,54.91,50.92,52.90,-,57.75,54.14,55.92
　☆南多摩,97585,101303,198888,43064,44373,87437,54521,56930,111451,44.13,43.80,43.96,-,54.36,54.04,54.20
　　多摩市,60402,64004,124406,26537,27864,54401,33865,36140,70005,43.93,43.53,43.73,-,54.37,53.83,54.10
　　稲城市,37183,37299,74482,16527,16509,33036,20656,20790,41446,44.45,44.26,44.35,-,54.35,54.42,54.38
　☆北多摩第一,124259,130652,254911,51422,55563,106985,72837,75089,147926,41.38,42.53,41.97,-,51.68,53.12,52.42
　　東村山市,60784,65240,126024,25993,28430,54423,34791,36810,71601,42.76,43.58,43.18,-,53.01,53.95,53.50
　　東大和市,34524,36167,70691,14730,15641,30371,19794,20526,40320,42.67,43.25,42.96,-,53.06,54.44,53.76
　　武蔵村山市,28951,29245,58196,10699,11492,22191,18252,17753,36005,36.96,39.30,38.13,-,47.24,49.65,48.44
　☆北多摩第二,81746,87060,168806,36672,39031,75703,45074,48029,93103,44.86,44.83,44.85,-,53.94,53.73,53.84
　　国分寺市,51139,53948,105087,24171,25687,49858,26968,28261,55229,47.27,47.61,47.44,-,54.90,55.14,55.03
　　国立市,30607,33112,63719,12501,13344,25845,18106,19768,37874,40.84,40.30,40.56,-,52.39,51.50,51.93
　☆北多摩第三,128031,138170,266201,57807,63002,120809,70224,75168,145392,45.15,45.60,45.38,-,53.17,53.77,53.48
　　調布市,94754,101881,196635,42144,45706,87850,52610,56175,108785,44.48,44.86,44.68,-,52.55,53.43,53.00
　　狛江市,33277,36289,69566,15663,17296,32959,17614,18993,36607,47.07,47.66,47.38,-,54.94,54.71,54.82
　☆北多摩第四,76590,82881,159471,30905,33350,64255,45685,49531,95216,40.35,40.24,40.29,-,51.76,51.57,51.66
　　清瀬市,29724,32502,62226,12752,13977,26729,16972,18525,35497,42.90,43.00,42.95,-,52.66,52.20,52.42
　　東久留米市,46866,50379,97245,18153,19373,37526,28713,31006,59719,38.73,38.45,38.59,-,51.19,51.16,51.18
　☆島部計,10661,10030,20691,5746,5517,11263,4915,4513,9428,53.90,55.00,54.43,-,66.26,65.89,66.08
　　大島支庁小計,5107,5058,10165,3020,3041,6061,2087,2017,4104,59.13,60.12,59.63,-,69.93,69.63,69.78
　　　大島町,3100,3047,6147,1826,1879,3705,1274,1168,2442,58.90,61.67,60.27,-,69.99,71.93,70.96
　　　利島村,144,104,248,113,77,190,31,27,58,78.47,74.04,76.61,-,90.44,78.07,84.80
　　　新島村,1088,1152,2240,645,654,1299,443,498,941,59.28,56.77,57.99,-,70.54,65.68,68.04
　　　神津島村,775,755,1530,436,431,867,339,324,663,56.26,57.09,56.67,-,65.23,64.64,64.95
　　三宅支庁小計,1275,1007,2282,706,562,1268,569,445,1014,55.37,55.81,55.57,-,66.12,63.68,65.00
　　　三宅村,1147,898,2045,617,477,1094,530,421,951,53.79,53.12,53.50,-,64.58,61.91,63.36
　　　御蔵島村,128,109,237,89,85,174,39,24,63,69.53,77.98,73.42,-,80.95,79.65,80.33
　　八丈支庁小計,3125,3062,6187,1471,1474,2945,1654,1588,3242,47.07,48.14,47.60,-,63.63,63.78,63.70
　　　八丈町,3041,2999,6040,1408,1431,2839,1633,1568,3201,46.30,47.72,47.00,-,63.47,63.78,63.62
　　　青ヶ島村,84,63,147,63,43,106,21,20,41,75.00,68.25,72.11,-,69.88,63.79,67.38
　　小笠原支庁小計,1154,903,2057,549,440,989,605,463,1068,47.57,48.73,48.08,-,56.67,53.83,55.42
　　　小笠原村,1154,903,2057,549,440,989,605,463,1068,47.57,48.73,48.08,-,56.67,53.83,55.42
