番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,練馬９区（票）
1,＊,すがわら　一秀,自由民主党,123368,123368
2,,原　純子,日本共産党,50861,50861
3,＊,木内　たかたね,維新の党,65809,65809
合計,,,,240038,240038
