参院,,18歳,19歳,10歳代,20歳,"21～
24歳","25～
29歳",20歳代,"30～
34歳","35～
39歳",30歳代,"40～
44歳","45～
49歳",40歳代,"50～
54歳","55～
59歳",50歳代,"60～
64歳","65～
69歳",60歳代,"70代
以上","70～
74歳","75～
79歳",70歳代,"80歳
以上",※全体
,,,,,,,,,,,,,,,,,,,,,,,,,,
H4.7,今回,54.58,45.11,49.67,43.14,38.36,41.85,40.66,49.01,52.76,50.96,56.07,58.77,57.5,60.77,63.64,62.07,66.38,69.18,67.7,59.83,69.26,67.23,68.37,48.72,56.55
R1.7,前回,46.41,38.52,42.34,35.42,31.54,33.97,33.16,40.29,44.63,42.54,48.29,51.23,49.82,55.34,59.64,57.26,64,67.16,65.65,60.86,69.32,68.02,68.71,49.59,51.77
H28.7,前々回,62.23,53.8,57.84,46.91,37.65,39.03,39.13,47.01,52.04,49.61,54.36,58.04,56.13,62.24,65.8,63.83,68.97,72.38,70.85,64.69,73.72,71.81,72.84,52.81,57.5
