開票区名,確定,１自由民主党,２新党改革,３次世代の党,４民主党,５公明党,６社会民主党,７維新の党,８幸福実現党,９生活の党,１０日本共産党,合計,残票数,開票率,受信時刻
★都計,確,1847986.000,16597.000,253107.000,939795.000,700127.000,129992.000,816047.000,17648.000,156170.000,885927.000,5763396.000,0,100.00,
☆区部計,確,1277482.000,11836.000,179122.000,588646.000,464944.000,84860.000,578686.000,12214.000,112055.000,596652.000,3906497.000,0,100.00,
千代田区,確,11227.000,62.000,1656.000,4579.000,1358.000,491.000,3608.000,56.000,690.000,3188.000,26915.000,0,100.00,0:48
中央区,確,23652.000,189.000,2929.000,8251.000,4450.000,980.000,11735.000,136.000,1665.000,7502.000,61489.000,0,100.00,0:34
港区,確,37188.000,280.000,5504.000,16302.000,6694.000,1754.000,14409.000,405.000,2405.000,11064.000,96005.000,0,100.00,4:51
新宿区,確,42444.000,326.000,7106.000,23959.000,14692.000,3284.000,16536.000,390.000,3308.000,21004.000,133049.000,0,100.00,0:57
文京区,確,33585.000,327.000,4447.000,17327.000,6907.000,2364.000,16032.000,253.000,2754.000,17507.000,101503.000,0,100.00,1:24
台東区,確,28188.000,293.000,3500.000,12778.000,8202.000,1567.000,13790.000,231.000,2375.000,12229.000,83153.000,0,100.00,0:14
墨田区,確,36913.000,390.000,4364.000,16009.000,15272.000,1982.000,16311.000,323.000,2835.000,15714.000,110113.000,0,100.00,1:59
江東区,確,71363.000,683.000,7908.000,24217.000,26938.000,3776.000,43417.000,639.000,5733.000,31012.000,215686.000,0,100.00,0:28
品川区,確,55330.000,473.000,6608.000,28688.000,17076.000,3433.000,23498.000,777.000,3907.000,24069.000,163859.000,0,100.00,1:10
目黒区,確,41350.000,411.000,5005.000,21071.000,10499.000,2709.000,18363.000,364.000,3473.000,17160.000,120405.000,0,100.00,1:29
大田区計,確,100525.000,879.000,16098.000,47364.000,40589.000,5937.000,41547.000,949.000,7112.000,46084.000,307084.000,0,100.00,
大田３区,確,29814.000,264.000,3673.000,16525.000,7498.000,2024.000,12744.000,316.000,2105.000,11462.000,86425.000,0,100.00,0:56
大田４区,確,70711.000,615.000,12425.000,30839.000,33091.000,3913.000,28803.000,633.000,5007.000,34622.000,220659.000,0,100.00,1:53
世田谷区計,確,129764.000,1388.000,16289.000,64304.000,33470.000,11085.000,69319.000,1148.000,12330.000,55977.000,395074.000,0,100.00,
世田谷５区,確,48661.000,551.000,5959.000,24465.000,10912.000,3458.000,22336.000,413.000,4566.000,17935.000,139256.000,0,100.00,1:19
世田谷６区,確,81103.000,837.000,10330.000,39839.000,22558.000,7627.000,46983.000,735.000,7764.000,38042.000,255818.000,0,100.00,1:45
渋谷区,確,31331.000,255.000,5393.000,18072.000,7205.000,2183.000,13344.000,250.000,2590.000,14163.000,94786.000,0,100.00,2:49
中野区,確,42971.000,319.000,8175.000,28637.000,14458.000,2971.000,16522.000,356.000,3529.000,22474.000,140412.000,0,100.00,0:36
杉並区,確,76314.000,901.000,14086.000,44945.000,19550.000,7484.000,34906.000,718.000,7860.000,41462.000,248226.000,0,100.00,2:27
豊島区,確,36707.000,389.000,6077.000,18458.000,12765.000,2914.000,15652.000,342.000,4339.000,18259.000,115902.000,0,100.00,2:14
北区,確,46667.000,406.000,9340.000,18497.000,23898.000,3523.000,18353.000,458.000,8131.000,28616.000,157889.000,0,100.00,1:33
荒川区,確,27188.000,300.000,3423.000,12810.000,12021.000,1493.000,11641.000,280.000,2153.000,14235.000,85544.000,0,100.00,1:51
板橋区,確,75161.000,706.000,8950.000,33202.000,31592.000,5295.000,31211.000,897.000,6623.000,39460.000,233097.000,0,100.00,4:23
練馬区計,確,99517.000,936.000,12568.000,47533.000,37082.000,7871.000,47157.000,991.000,9697.000,48877.000,312229.000,0,100.00,
練馬９区,確,76301.000,705.000,9204.000,35708.000,29377.000,6368.000,37795.000,747.000,7297.000,38570.000,242072.000,0,100.00,2:43
練馬１０区,確,23216.000,231.000,3364.000,11825.000,7705.000,1503.000,9362.000,244.000,2400.000,10307.000,70157.000,0,100.00,0:24
足立区計,確,84398.000,669.000,11748.000,33384.000,46456.000,4287.000,32701.000,735.000,8046.000,42341.000,264765.000,0,100.00,
足立１２区,確,16716.000,124.000,2829.000,5713.000,13924.000,992.000,6532.000,187.000,2913.000,9172.000,59102.000,0,100.00,23:54
足立１３区,確,67682.000,545.000,8919.000,27671.000,32532.000,3295.000,26169.000,548.000,5133.000,33169.000,205663.000,0,100.00,0:26
葛飾区,確,61807.000,484.000,6023.000,20133.000,30022.000,3260.000,27366.000,568.000,4336.000,28678.000,182677.000,0,100.00,3:02
江戸川区計,確,83892.000,770.000,11925.000,28126.000,43748.000,4217.000,41268.000,948.000,6164.000,35577.000,256635.000,0,100.00,
江戸川１６区,確,70537.000,651.000,10428.000,23462.000,38075.000,3499.000,35168.000,797.000,5160.000,29888.000,217665.000,0,100.00,2:07
江戸川１７区,確,13355.000,119.000,1497.000,4664.000,5673.000,718.000,6100.000,151.000,1004.000,5689.000,38970.000,0,100.00,2:11
☆市部計,確,555906.000,4665.000,73116.000,345300.000,228717.000,44473.000,233601.000,5303.000,43387.000,284447.000,1818915.000,0,100.00,
八王子市,確,74131.000,569.000,9917.000,44810.000,42396.000,5674.000,28480.000,679.000,5362.000,35435.000,247453.000,0,100.00,0:36
立川市,確,23338.000,172.000,2285.000,14158.000,11305.000,1534.000,8421.000,189.000,1709.000,12715.000,75826.000,0,100.00,1:52
武蔵野市,確,22379.000,209.000,2763.000,16761.000,4528.000,1908.000,8900.000,188.000,1755.000,10012.000,69403.000,0,100.00,1:01
三鷹市,確,24936.000,218.000,4351.000,17076.000,7494.000,2367.000,10576.000,222.000,2119.000,13278.000,82637.000,0,100.00,0:22
青梅市,確,20133.000,138.000,1564.000,9379.000,8262.000,1207.000,6801.000,223.000,1301.000,8590.000,57598.000,0,100.00,0:34
府中市,確,35404.000,356.000,4462.000,22425.000,12153.000,2715.000,15330.000,384.000,2839.000,15932.000,112000.000,0,100.00,23:00
