番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,葛飾区（票）,江戸川１７区（票）
1,,新井　杉生,日本共産党,39724,32889,6835
2,＊,高橋　みほ,維新の党,46156,37563,8593
3,＊,平沢　勝栄,自由民主党,125351,103238,22113
合計,,,,211231,173690,37541
