番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,武蔵野市（票）,府中市（票）,小金井市（票）
1,＊,土屋　正忠,自由民主党,106143,31250,51660,23233
2,＊,菅　直人,民主党,89877,27599,40166,22112
3,,ゆうき　亮,日本共産党,35699,9530,18005,8164
合計,,,,231719,68379,109831,53509
