開票区名,計,（１）片山とらのすけ,（２）あらと英夫,（３）石井あきら,（４）いしいみつこ,（５）うさみ孝二,（６）梅村さとし,（７）ギブ剛,（８）串田誠一,（９）さかい良和,（１０）島さとし,（１１）鈴木こうじ,（１２）鈴木のぞむ,（１３）高橋英明,（１４）中谷ひろゆき,（１５）ヒグチ俊一,（１６）三宅博,（１７）矢野よしあき,（１８）渡辺よしみ
★都計,56287.651,13818.093,1288.000,2911.621,8461.354,412.000,1191.548,1998.000,338.000,301.000,873.419,838.839,532.147,489.568,948.582,563.181,1970.038,606.000,18746.261
☆区部計,41370.761,9799.272,947.000,2282.411,6493.571,303.000,943.401,1419.000,264.000,218.000,711.342,553.073,381.917,344.766,650.257,420.078,1395.038,396.000,13848.635
千代田区,383.158,88.158,2.000,9.000,77.000,4.000,13.000,10.000,2.000,0.000,5.000,3.000,8.000,5.000,2.000,7.000,7.000,8.000,133.000
中央区,837.141,162.142,11.000,28.104,239.895,6.000,22.000,19.000,4.000,8.000,17.000,9.500,9.500,5.000,5.000,8.000,23.000,7.000,253.000
港区,1066.422,262.423,6.000,39.196,159.803,1.000,45.000,31.000,6.000,4.000,75.000,10.400,15.600,2.000,9.000,20.000,24.000,18.000,338.000
新宿区,1101.163,323.164,55.000,29.169,142.830,6.000,42.000,26.000,5.000,6.000,21.000,11.000,14.000,3.000,12.000,20.000,31.000,8.000,346.000
文京区,1345.383,283.383,29.000,34.000,307.000,10.000,50.000,25.000,8.000,10.000,28.000,15.000,10.000,10.000,16.000,14.000,23.000,6.000,467.000
台東区,1201.501,194.523,7.000,47.172,499.827,3.000,9.015,23.000,0.000,3.000,14.023,18.900,2.100,15.000,24.000,8.000,23.000,7.000,302.941
墨田区,1335.788,236.790,12.000,302.784,206.215,8.000,16.000,40.000,2.000,7.000,14.000,16.947,6.052,0.000,29.000,8.000,38.000,15.000,378.000
江東区,2572.312,633.594,46.000,124.450,427.549,17.000,54.057,101.000,13.000,13.000,45.048,51.739,18.260,32.615,39.000,16.000,87.000,31.000,822.000
品川区,1531.901,360.683,18.000,69.220,244.779,8.000,35.121,54.000,19.000,8.000,33.114,20.000,19.000,12.000,22.000,16.000,54.000,13.000,525.984
目黒区,1430.076,273.105,27.000,32.167,159.832,6.000,34.000,30.000,8.000,7.000,20.000,5.000,16.000,6.000,15.000,10.000,36.000,16.000,728.972
大田区,2777.610,761.982,41.000,188.914,431.085,51.000,141.052,118.000,58.000,17.000,42.015,39.276,29.723,20.583,0.000,27.000,105.000,0.000,705.980
世田谷区,5196.100,1464.570,125.000,203.000,705.000,42.000,110.037,135.000,28.000,18.000,93.031,54.806,36.193,55.421,71.000,44.078,223.000,49.000,1738.964
渋谷区,1070.431,232.431,32.000,39.000,181.000,11.000,32.000,32.000,6.000,2.000,23.000,6.375,10.625,8.000,18.000,14.000,35.000,6.000,382.000
中野区,1201.164,307.165,35.000,50.248,151.751,6.000,24.000,48.000,9.000,14.000,17.000,18.000,9.000,6.000,23.000,49.000,47.000,6.000,381.000
杉並区,2235.690,588.192,63.000,62.170,302.829,18.000,50.000,78.000,12.000,15.000,41.000,21.976,23.023,16.500,38.000,25.000,63.000,20.000,798.000
豊島区,1137.053,258.663,44.000,30.000,150.000,6.000,27.000,31.000,6.000,11.000,16.000,11.594,27.405,7.391,10.000,6.000,46.000,13.000,436.000
北区,1550.653,327.551,85.000,54.630,205.369,10.000,38.037,58.000,4.000,6.000,14.013,28.971,10.028,19.000,32.000,9.000,52.088,16.000,580.966
