開票区名,計,（１）小林節,（２）円より子,（３）橋本べん,（４）渡辺良弘,（５）杉本志乃,（６）吉田あき子,（７）あらき大樹,（８）大西サチエ,（９）立川みつあき,（１０）平野道子
★都計,27989.180,20027.856,5134.000,253.000,254.719,299.000,390.605,444.000,404.000,248.000,534.000
☆区部計,20015.503,14146.323,3858.000,179.000,186.356,209.000,280.824,315.000,303.000,126.000,412.000
千代田区,214.000,178.000,24.000,2.000,0.000,4.000,0.000,4.000,0.000,1.000,1.000
中央区,265.000,210.000,41.000,2.000,1.000,4.000,0.000,2.000,2.000,0.000,3.000
港区,598.755,498.755,73.000,2.000,0.000,3.000,2.000,6.000,5.000,5.000,4.000
新宿区,666.053,509.000,112.000,4.000,4.000,3.000,7.053,10.000,3.000,3.000,11.000
文京区,689.026,548.000,105.000,3.000,2.000,4.000,3.026,3.000,7.000,2.000,12.000
台東区,347.483,267.425,41.000,8.000,9.058,4.000,3.000,2.000,2.000,3.000,8.000
墨田区,399.982,269.910,77.000,3.000,7.000,3.000,6.072,10.000,10.000,4.000,10.000
江東区,929.126,612.018,173.000,22.000,15.000,8.000,25.108,20.000,23.000,4.000,27.000
品川区,724.161,553.084,94.000,2.000,8.015,6.000,8.062,19.000,12.000,5.000,17.000
目黒区,740.172,617.145,86.000,1.000,4.027,7.000,4.000,7.000,6.000,2.000,6.000
大田区,1373.638,948.319,217.000,10.000,14.019,22.000,28.300,60.000,23.000,17.000,34.000
世田谷区,2712.171,2113.080,405.000,29.000,21.035,22.000,25.056,21.000,24.000,11.000,41.000
渋谷区,595.384,476.384,88.000,2.000,1.000,5.000,9.000,2.000,6.000,1.000,5.000
中野区,734.495,556.495,126.000,4.000,5.000,10.000,7.000,5.000,10.000,4.000,7.000
杉並区,2426.737,1363.677,955.000,4.000,8.000,16.000,14.060,24.000,14.000,7.000,21.000
豊島区,680.360,532.360,94.000,4.000,6.000,4.000,5.000,14.000,5.000,3.000,13.000
北区,578.226,415.193,96.000,6.000,10.033,7.000,6.000,1.000,13.000,1.000,23.000
荒川区,276.432,214.356,39.000,3.000,3.000,1.000,4.076,2.000,6.000,3.000,1.000
板橋区,911.680,664.603,137.000,12.000,14.000,13.000,17.077,9.000,12.000,5.000,28.000
練馬区,1756.722,1185.412,402.000,19.000,15.000,18.000,34.310,20.000,17.000,11.000,35.000
