年代別,１８歳,１９歳,２０歳,２１～　２４歳,２５～　２９歳,３０～　３４歳,３５～　３９歳,４０～　４４歳,４５～　４９歳,５０～　５４歳,５５～　５９歳,６０～　６４歳,６５～　６９歳,７０～　７４歳,７５～　７９歳,８０歳　以上
区　部,55.73,45.59,43.44,38.05,42.22,49.49,53.42,56.76,59.48,61.31,63.94,66.35,68.95,68.82,66.65,48.35
市　部,52.84,44.43,42.82,39.14,40.79,47.69,51.09,54.44,57.22,59.68,63.09,66.52,69.74,70.15,68.34,49.52
郡　部,44.05,39.92,32.9,30.75,31.97,37.76,39.83,45.26,48.13,51.03,56.29,62.91,65.62,67.66,66.39,44.74
島　部,26.18,19.49,21.62,37.06,47.48,55.91,59.87,59.57,61.02,63.86,62.48,62.38,65.35,66.81,64.95,46.34
