開票区,当日有権者数（人）,投票者数（人）,棄権者数（人）,投票率（％）,前回投票率（％）
東京都計,10825678,3953735,0,36.52,44.27
区部計,7420986,2679939,0,36.11,43.89
市部計,3334038,1248764,0,37.46,45.15
西多摩町村部計,48075,16195,0,33.69,40.65
島しょ町村部計,22579,8837,0,39.14,46.70
東京第１区,489553,165194,0,33.74,41.09
千代田区,45445,17500,0,38.51,44.76
港区,187403,64444,0,34.39,41.07
新宿区,256705,83250,0,32.43,40.51
東京第２区,436022,166285,0,38.14,45.61
中央区,112709,41420,0,36.75,42.80
文京区,169134,66400,0,39.26,47.42
台東区,154179,58465,0,37.92,45.60
東京第３区,484955,178042,0,36.71,45.48
東京第３区区部計,462376,169205,0,36.59,45.41
品川区,310236,110240,0,35.53,44.46
大田３区,152140,58965,0,38.76,47.37
東京第３区島しょ町村部計,22579,8837,0,39.14,46.70
大島支庁,11143,4091,0,36.71,45.53
大島町,6829,2485,0,36.39,45.11
利島村,255,152,0,59.61,57.03
新島村,2485,1006,0,40.48,48.82
神津島村,1574,448,0,28.46,40.09
三宅支庁,2621,1261,0,48.11,51.64
三宅村,2382,1103,0,46.31,50.20
御蔵島村,239,158,0,66.11,65.60
八丈支庁,6803,2746,0,40.36,48.42
八丈町,6660,2673,0,40.14,48.28
青ヶ島村,143,73,0,51.05,55.17
小笠原支庁,2012,739,0,36.73,40.70
小笠原村,2012,739,0,36.73,40.70
東京第４区,432035,146877,0,34.00,42.71
大田４区,432035,146877,0,34.00,42.71
東京第５区,480448,180780,0,37.63,45.15
目黒区,225802,83200,0,36.85,43.64
世田谷５区,254646,97580,0,38.32,46.59
東京第６区,469925,177008,0,37.67,45.04
世田谷６区,469925,177008,0,37.67,45.04
東京第７区,450399,158044,0,35.09,42.70
渋谷区,182028,65294,0,35.87,42.28
中野区,268371,92750,0,34.56,42.99
東京第８区,463327,165661,0,35.75,43.90
杉並区,463327,165661,0,35.75,43.90
東京第９区,451242,157200,0,34.84,43.99
練馬９区,451242,157200,0,34.84,43.99
東京第１０区,354596,132274,0,37.30,45.18
豊島区,223410,82863,0,37.09,44.44
練馬１０区,131186,49411,0,37.66,46.44
東京第１１区,445875,156851,0,35.18,42.68
板橋区,445875,156851,0,35.18,42.68
東京第１２区,397641,155500,0,39.11,45.52
北区,278565,113250,0,40.65,46.98
足立１２区,119076,42250,0,35.48,42.10
東京第１３区,421592,147680,0,35.03,42.65
足立１３区,421592,147680,0,35.03,42.65
東京第１４区,375458,137430,0,36.60,43.59
墨田区,212642,78800,0,37.06,44.23
荒川区,162816,58630,0,36.01,42.76
東京第１５区,394672,152300,0,38.59,47.13
江東区,394672,152300,0,38.59,47.13
東京第１６区,454607,158550,0,34.88,42.45
江戸川１６区,454607,158550,0,34.88,42.45
東京第１７区,441218,153100,0,34.70,42.12
葛飾区,363629,124300,0,34.18,41.52
江戸川１７区,77589,28800,0,37.12,44.96
東京第１８区,419326,166644,0,39.74,46.83
武蔵野市,118440,48800,0,41.20,48.27
府中市,204601,79130,0,38.68,46.03
小金井市,96285,38714,0,40.21,46.77
東京第１９区,469851,186818,0,39.76,46.65
小平市,149494,56768,0,37.97,45.07
国分寺市,98012,40590,0,41.41,49.15
国立市,60887,24535,0,40.30,48.36
西東京市,161458,64925,0,40.21,45.96
東京第２０区,404425,145749,0,36.04,44.79
東村山市,123307,43871,0,35.58,44.93
東大和市,69352,24997,0,36.04,44.32
清瀬市,60342,22987,0,38.09,46.05
東久留米市,94798,36224,0,38.21,47.02
武蔵村山市,56626,17670,0,31.20,40.01
東京第２１区,383073,145796,0,38.06,45.58
立川市,145552,54077,0,37.15,44.45
昭島市,91332,34311,0,37.57,42.46
日野市,146189,57408,0,39.27,48.69
東京第２２区,465743,187101,0,40.17,48.19
三鷹市,148620,60780,0,40.90,47.96
調布市,183523,74488,0,40.59,49.33
狛江市,65702,25530,0,38.86,46.18
稲城市,67898,26303,0,38.74,47.49
東京第２３区,465615,168651,0,36.22,45.39
町田市,343811,122972,0,35.77,45.04
多摩市,121804,45679,0,37.50,46.38
東京第２４区,455534,156697,0,34.40,41.45
八王子市,455534,156697,0,34.40,41.45
東京第２５区,318546,107503,0,33.75,40.53
東京第２５区市部計,270471,91308,0,33.76,40.51
青梅市,112409,37575,0,33.43,39.55
福生市,47017,16874,0,35.89,42.86
羽村市,45109,15789,0,35.00,43.51
あきる野市,65936,21070,0,31.96,38.41
東京第２５区西多摩町村部計,48075,16195,0,33.69,40.65
瑞穂町,27162,8925,0,32.86,40.33
日の出町,13814,4628,0,33.50,42.17
檜原村,2130,707,0,33.19,40.24
奥多摩町,4969,1935,0,38.94,38.53
