開票区名,計,（１）釈量子,（２）七海ひろこ
★都計,4920.996,2979.309,1941.687
☆区部計,3440.996,2117.309,1323.687
千代田区,14.000,9.000,5.000
中央区,38.000,21.000,17.000
港区,96.000,80.000,16.000
新宿区,97.000,63.000,34.000
文京区,69.000,43.000,26.000
台東区,69.000,37.000,32.000
墨田区,90.000,47.000,43.000
江東区,253.999,141.557,112.442
品川区,155.000,117.000,38.000
目黒区,84.000,52.000,32.000
大田区,283.000,176.000,107.000
世田谷区,382.000,255.000,127.000
渋谷区,62.000,38.000,24.000
中野区,85.000,50.000,35.000
杉並区,129.000,78.000,51.000
豊島区,128.000,82.000,46.000
北区,123.999,75.609,48.390
荒川区,66.000,43.000,23.000
板橋区,175.000,93.000,82.000
練馬区,290.000,175.000,115.000
足立区,212.999,112.528,100.471
葛飾区,160.000,96.000,64.000
江戸川区,377.999,232.615,145.384
☆市部計,1449.000,851.000,598.000
八王子市,176.000,96.000,80.000
立川市,51.000,28.000,23.000
武蔵野市,59.000,34.000,25.000
三鷹市,53.000,36.000,17.000
青梅市,66.000,33.000,33.000
府中市,81.000,47.000,34.000
昭島市,48.000,26.000,22.000
調布市,40.000,25.000,15.000
町田市,200.000,115.000,85.000
小金井市,40.000,24.000,16.000
小平市,93.000,60.000,33.000
日野市,96.000,75.000,21.000
東村山市,49.000,26.000,23.000
国分寺市,34.000,23.000,11.000
国立市,18.000,12.000,6.000
福生市,27.000,11.000,16.000
狛江市,29.000,17.000,12.000
東大和市,17.000,9.000,8.000
清瀬市,43.000,27.000,16.000
東久留米市,48.000,26.000,22.000
武蔵村山市,24.000,13.000,11.000
多摩市,41.000,24.000,17.000
稲城市,27.000,9.000,18.000
羽村市,11.000,5.000,6.000
あきる野市,24.000,15.000,9.000
西東京市,54.000,35.000,19.000
☆西多摩郡計,17.000,8.000,9.000
瑞穂町,11.000,5.000,6.000
日の出町,6.000,3.000,3.000
檜原村,0.000,0.000,0.000
奥多摩町,0.000,0.000,0.000
☆島部計,14.000,3.000,11.000
大島支庁小計,5.000,1.000,4.000
大島町,5.000,1.000,4.000
利島村,0.000,0.000,0.000
新島村,0.000,0.000,0.000
神津島村,0.000,0.000,0.000
三宅支庁小計,0.000,0.000,0.000
三宅村,0.000,0.000,0.000
御蔵島村,0.000,0.000,0.000
八丈支庁小計,5.000,0.000,5.000
八丈町,5.000,0.000,5.000
青ヶ島村,0.000,0.000,0.000
小笠原支庁小計,4.000,2.000,2.000
小笠原村,4.000,2.000,2.000
