番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,三鷹市（票）,調布市（票）,狛江市（票）,稲城市（票）
1,＊,山花　郁夫,民主党,80014,26871,31485,10439,11219
2,＊,伊藤　達也,自由民主党,116757,35836,46243,16599,18079
3,,坂内　淳,日本共産党,36980,12073,13546,6326,5035
4,＊,かの　あきら,次世代の党,20288,7041,7535,2903,2809
合計,,,,254039,81821,98809,36267,37142
