令和3年7月4日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都議会議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,都民ファーストの会,都民ファーストの会,自由民主党,自由民主党,公明党,公明党,日本共産党,日本共産党,日本維新の会,日本維新の会,東京・生活者ネットワーク,東京・生活者ネットワーク,立憲民主党,立憲民主党,国民民主党,国民民主党,れいわ新選組,れいわ新選組,テレビ改革党,テレビ改革党,減税とうきょう,減税とうきょう,その他の党派,その他の党派,無所属,無所属
,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率
　　豊島区,96374.000,100.00,24586.000,25.51,17747.000,18.41,19925.000,20.67,21890.000,22.71,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,1069.000,1.11,11157.000,11.58
　　北区,131491.000,100.00,20755.000,15.78,30417.000,23.13,27580.000,20.97,29416.000,22.37,23323.000,17.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　荒川区,71577.000,100.00,17138.000,23.94,14249.000,19.91,19493.000,27.23,11885.000,16.60,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,3789.000,5.29,0.000,0.00,5023.000,7.02
　　板橋区,191216.000,100.00,29767.000,15.57,49769.000,26.03,33835.000,17.69,25027.000,13.09,13091.000,6.85,0.000,0.00,31201.000,16.32,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,8526.000,4.46
　　練馬区,262153.000,100.00,51524.000,19.65,59017.000,22.51,37209.000,14.19,32963.000,12.57,17119.000,6.53,0.000,0.00,35286.000,13.46,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,4628.000,1.77,24407.000,9.31
　　足立区,226935.000,100.00,49532.000,21.83,58179.000,25.64,56858.000,25.05,28365.000,12.50,0.000,0.00,0.000,0.00,18698.000,8.24,0.000,0.00,7996.000,3.52,3383.000,1.49,0.000,0.00,3924.000,1.73,0.000,0.00
　　葛飾区,147016.000,100.00,23063.000,15.69,38999.000,26.53,30725.000,20.90,24498.000,16.66,0.000,0.00,0.000,0.00,15443.000,10.50,0.000,0.00,0.000,0.00,1862.000,1.27,0.000,0.00,5644.000,3.84,6782.000,4.61
　　江戸川区,215630.999,100.00,40061.000,18.58,49544.000,22.98,43077.000,19.98,24827.000,11.51,10503.552,4.87,0.000,0.00,20109.000,9.33,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,27509.447,12.76
　☆市部計,1360419.999,100.00,345785.100,25.42,375916.000,27.63,123317.000,9.06,177588.000,13.05,8044.000,0.59,25578.000,1.88,199223.899,14.64,7689.000,0.57,0.000,0.00,1229.000,0.09,0.000,0.00,4969.000,0.37,91081.000,6.70
　　八王子市,197580.000,100.00,40928.000,20.71,49136.000,24.87,45053.000,22.80,28490.000,14.42,8044.000,4.07,0.000,0.00,21786.000,11.03,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,4143.000,2.10,0.000,0.00
　　立川市,55722.000,100.00,14619.000,26.24,20470.000,36.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,20633.000,37.03,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　武蔵野市,57564.000,100.00,14751.000,25.63,14706.000,25.55,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,26878.000,46.69,0.000,0.00,0.000,0.00,1229.000,2.14,0.000,0.00,0.000,0.00,0.000,0.00
　　三鷹市,65609.999,100.00,20162.100,30.73,17335.000,26.42,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,28112.899,42.85,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　青梅市,42389.000,100.00,26344.000,62.15,16045.000,37.85,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　府中市,79701.000,100.00,0.000,0.00,23335.000,29.28,0.000,0.00,15329.000,19.23,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,41037.000,51.49
　　昭島市,35056.000,100.00,16078.000,45.86,12158.000,34.68,0.000,0.00,6820.000,19.45,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　町田市,155845.000,100.00,25951.000,16.65,35668.000,22.89,27006.000,17.33,20298.000,13.02,0.000,0.00,0.000,0.00,17000.000,10.91,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,427.000,0.27,29495.000,18.93
　　小金井市,41388.000,100.00,8502.000,20.54,14097.000,34.06,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,18789.000,45.40
　　小平市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,0.00,-,-
　　日野市,60797.000,100.00,21819.000,35.89,18458.000,30.36,0.000,0.00,20520.000,33.75,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　西東京市,67025.000,100.00,18580.000,27.72,21160.000,31.57,0.000,0.00,10534.000,15.72,0.000,0.00,0.000,0.00,16751.000,24.99,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆西多摩,72013.000,100.00,27748.000,38.53,26507.000,36.81,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,15077.000,20.94,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,555.000,0.77,2126.000,2.95
　　福生市,16215.000,100.00,5475.000,33.77,7273.000,44.85,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,2820.000,17.39,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,144.000,0.89,503.000,3.10
　　羽村市,15396.000,100.00,7093.000,46.07,4438.000,28.83,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,3243.000,21.06,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,117.000,0.76,505.000,3.28
　　あきる野市,23199.000,100.00,8565.000,36.92,7951.000,34.27,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,5793.000,24.97,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,138.000,0.59,752.000,3.24
