令和2年7月5日  執行,,,,,,,,,,
東京都知事選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和2年 7月6日 2時 17分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思 わ れ る 票 数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　★都計,6132678.987,0.013,0 ,6132679 ,77134 ,6209813 ,119 ,8 ,6209940 ,1.24
　☆区部計,4212821.994,0.006,0 ,4212822 ,55026 ,4267848 ,112 ,6 ,4267966 ,1.29
　　千代田区,30540.000,0.000,0 ,30540 ,538 ,31078 ,2 ,0 ,31080 ,1.73
　　中央区,76740.000,0.000,0 ,76740 ,1137 ,77877 ,6 ,0 ,77883 ,1.46
　　港区,97582.000,0.000,0 ,97582 ,1334 ,98916 ,1 ,0 ,98917 ,1.35
　　新宿区,144745.000,0.000,0 ,144745 ,1788 ,146533 ,4 ,3 ,146540 ,1.22
　　文京区,112282.000,0.000,0 ,112282 ,1546 ,113828 ,2 ,0 ,113830 ,1.36
　　台東区,92439.000,0.000,0 ,92439 ,1437 ,93876 ,5 ,0 ,93881 ,1.53
　　墨田区,123049.000,0.000,0 ,123049 ,1702 ,124751 ,0 ,0 ,124751 ,1.36
　　江東区,231871.000,0.000,0 ,231871 ,3364 ,235235 ,22 ,0 ,235257 ,1.43
　　品川区,184366.999,0.001,0 ,184367 ,2263 ,186630 ,1 ,0 ,186631 ,1.21
　　目黒区,125907.999,0.001,0 ,125908 ,1496 ,127404 ,1 ,0 ,127405 ,1.17
　　大田区,321861.000,0.000,0 ,321861 ,4719 ,326580 ,11 ,0 ,326591 ,1.44
　　世田谷区,437369.999,0.001,0 ,437370 ,5353 ,442723 ,2 ,0 ,442725 ,1.21
　　渋谷区,105026.000,0.000,0 ,105026 ,1321 ,106347 ,3 ,0 ,106350 ,1.24
　　中野区,153178.000,0.000,0 ,153178 ,2033 ,155211 ,0 ,0 ,155211 ,1.31
　　杉並区,273433.000,0.000,0 ,273433 ,3594 ,277027 ,5 ,0 ,277032 ,1.30
　　豊島区,123616.000,0.000,0 ,123616 ,1552 ,125168 ,0 ,0 ,125168 ,1.24
　　北区,162154.000,0.000,0 ,162154 ,3039 ,165193 ,20 ,1 ,165214 ,1.84
　　荒川区,90688.000,0.000,0 ,90688 ,1193 ,91881 ,1 ,0 ,91882 ,1.30
　　板橋区,246371.000,0.000,0 ,246371 ,2875 ,249246 ,7 ,0 ,249253 ,1.15
　　練馬区,335041.000,0.000,0 ,335041 ,3888 ,338929 ,6 ,0 ,338935 ,1.15
　　足立区,274585.999,0.001,0 ,274586 ,3264 ,277850 ,8 ,1 ,277859 ,1.17
　　葛飾区,192743.000,0.000,0 ,192743 ,2332 ,195075 ,0 ,1 ,195076 ,1.20
　　江戸川区,277231.998,0.002,0 ,277232 ,3258 ,280490 ,5 ,0 ,280495 ,1.16
　☆市部計,1881993.995,0.005,0 ,1881994 ,21535 ,1903529 ,7 ,2 ,1903538 ,1.13
　　八王子市,234134.999,0.001,0 ,234135 ,2713 ,236848 ,0 ,0 ,236848 ,1.15
　　立川市,80394.000,0.000,0 ,80394 ,920 ,81314 ,1 ,0 ,81315 ,1.13
　　武蔵野市,72879.000,0.000,0 ,72879 ,887 ,73766 ,0 ,0 ,73766 ,1.20
　　三鷹市,89876.000,0.000,0 ,89876 ,1102 ,90978 ,0 ,0 ,90978 ,1.21
　　青梅市,58204.000,0.000,0 ,58204 ,640 ,58844 ,0 ,0 ,58844 ,1.09
　　府中市,115263.000,0.000,0 ,115263 ,1324 ,116587 ,0 ,0 ,116587 ,1.14
　　昭島市,48533.000,0.000,0 ,48533 ,557 ,49090 ,0 ,0 ,49090 ,1.13
　　調布市,111314.999,0.001,0 ,111315 ,1402 ,112717 ,1 ,0 ,112718 ,1.24
　　町田市,192962.000,0.000,0 ,192962 ,1995 ,194957 ,0 ,1 ,194958 ,1.02
　　小金井市,57244.999,0.001,0 ,57245 ,664 ,57909 ,0 ,1 ,57910 ,1.15
　　小平市,87063.000,0.000,0 ,87063 ,932 ,87995 ,0 ,0 ,87995 ,1.06
　　日野市,87247.000,0.000,0 ,87247 ,1282 ,88529 ,0 ,0 ,88529 ,1.45
　　東村山市,67020.000,0.000,0 ,67020 ,797 ,67817 ,0 ,0 ,67817 ,1.18
　　国分寺市,61144.000,0.000,0 ,61144 ,776 ,61920 ,0 ,0 ,61920 ,1.25
　　国立市,37191.000,0.000,0 ,37191 ,423 ,37614 ,0 ,0 ,37614 ,1.12
