番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,中央区（票）,文京区（票）,台東区（票）
1,＊,辻　清人,自由民主党,103954,28720,40106,35128
2,＊,石沢　のりゆき,日本共産党,32296,6521,15221,10554
3,,おおくま　利昭,維新の党,44550,12083,18770,13697
4,＊,中山　よしかつ,民主党,58407,11971,24493,21943
5,,犬丸　勝子,本人届出,4668,1302,1945,1421
合計,,,,243875,60597,100535,82743
