開　票　区　名,,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13
,全党派計,全党派計,全党派計,日本共産党,日本共産党,日本共産党,自由民主党,自由民主党,自由民主党,オリーブの木,オリーブの木,オリーブの木,社会民主党,社会民主党,社会民主党,公明党,公明党,公明党,国民民主党,国民民主党,国民民主党,日本維新の会,日本維新の会,日本維新の会,幸福実現党,幸福実現党,幸福実現党,立憲民主党,立憲民主党,立憲民主党,労働の解放をめざす労働者党,労働の解放をめざす労働者党,労働の解放をめざす労働者党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,安楽死制度を考える会,安楽死制度を考える会,安楽死制度を考える会,れいわ新選組,れいわ新選組,れいわ新選組
,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数
　　墨田区,112196.986,90595.002,21601.984,12109.947,10859.000,1250.947,39075.402,29702.000,9373.402,442.980,359.000,83.980,1588.000,1364.000,224.000,14377.861,13343.000,1034.861,5106.804,3651.000,1455.804,10134.561,8490.000,1644.561,313.000,259.000,54.000,16495.510,14334.000,2161.510,117.406,94.406,23.000,3138.000,2722.000,416.000,964.000,868.000,96.000,8333.515,4549.596,3783.919
　　江東区,213294.984,166932.461,46362.523,23509.045,20451.000,3058.045,72086.148,53053.000,19033.148,801.937,630.000,171.937,2994.000,2433.000,561.000,26127.417,23856.000,2271.417,9605.536,6459.000,3146.536,19688.502,15894.000,3794.502,713.000,538.000,175.000,33988.702,28162.000,5826.702,260.000,164.000,96.000,5964.000,5117.000,847.000,2099.000,1847.000,252.000,15457.697,8328.461,7129.236
　　品川区,167963.985,136659.107,31304.878,19452.348,17864.000,1588.348,57420.384,43839.000,13581.384,648.061,530.000,118.061,2534.000,2142.000,392.000,16724.304,15646.000,1078.304,8025.894,5979.000,2046.894,15642.000,13028.000,2614.000,821.000,668.000,153.000,26967.099,23673.000,3294.099,194.000,157.000,37.000,4477.000,4030.000,447.000,1890.000,1765.000,125.000,13167.895,7338.107,5829.788
　　目黒区,121347.988,97242.093,24105.895,11811.758,10943.000,868.758,40608.774,31204.000,9404.774,531.121,454.000,77.121,1839.000,1591.000,248.000,9901.000,8908.000,993.000,5471.024,4383.000,1088.024,11067.417,9014.000,2053.417,333.000,275.000,58.000,22969.316,20399.000,2570.316,115.019,95.000,20.019,2600.466,2340.000,260.466,1229.000,1159.000,70.000,12871.093,6477.093,6394.000
　　大田区,304103.984,235219.837,68884.147,33670.705,30230.000,3440.705,98855.894,72953.000,25902.894,1344.551,1013.000,331.551,4803.000,3942.000,861.000,38632.017,36008.000,2624.017,14445.344,10204.000,4241.344,34089.908,20756.000,13333.908,1035.000,769.000,266.000,45806.125,39925.000,5881.125,386.491,280.491,106.000,6886.000,5852.000,1034.000,3051.000,2765.000,286.000,21097.949,10522.346,10575.603
　　世田谷区,399796.983,301336.000,98460.983,36738.142,32962.000,3776.142,130892.346,93784.000,37108.346,1707.919,1371.000,336.919,8603.000,7051.000,1552.000,30782.294,21048.000,9734.294,18220.412,13543.000,4677.412,35662.000,28942.000,6720.000,1193.307,958.000,235.307,79862.229,69020.000,10842.229,422.000,307.000,115.000,7759.000,6664.000,1095.000,3887.000,3488.000,399.000,44067.334,22198.000,21869.334
　　渋谷区,93914.995,73442.000,20472.995,9169.012,8266.000,903.012,31078.051,23278.000,7800.051,372.000,316.000,56.000,1312.000,1096.000,216.000,6847.069,6339.000,508.069,3819.000,3076.000,743.000,8196.000,6572.000,1624.000,281.000,225.000,56.000,18084.000,15639.000,2445.000,78.000,64.000,14.000,2136.000,1902.000,234.000,932.000,852.000,80.000,11610.863,5817.000,5793.863
　　中野区,139821.990,111585.485,28236.505,15949.700,14647.000,1302.700,43181.947,32041.000,11140.947,502.240,401.000,101.240,2237.000,1858.000,379.000,13935.180,13013.000,922.180,5724.000,4376.000,1348.000,10250.000,8501.000,1749.000,414.000,344.000,70.000,28929.093,25155.000,3774.093,146.333,118.333,28.000,3411.000,3018.000,393.000,1278.000,1184.000,94.000,13863.497,6929.152,6934.345
　　杉並区,251709.986,197548.452,54161.534,27395.062,25181.000,2214.062,79037.239,58098.000,20939.239,998.117,846.000,152.117,4999.000,4096.000,903.000,18445.218,17121.000,1324.218,11854.201,8643.000,3211.201,20749.000,17325.000,3424.000,692.000,570.000,122.000,51138.910,44522.000,6616.910,323.452,277.452,46.000,5441.000,4797.000,644.000,2272.000,2093.000,179.000,28364.787,13979.000,14385.787
　　豊島区,114753.987,89959.189,24794.798,12892.846,11683.000,1209.846,37934.473,27369.000,10565.473,443.105,377.000,66.105,1983.865,1651.000,332.865,11749.119,10912.000,837.119,5106.841,3862.000,1244.841,10001.000,8148.000,1853.000,381.000,300.000,81.000,19755.134,16530.000,3225.134,131.000,107.000,24.000,3124.000,2731.000,393.000,1262.000,1164.000,98.000,9989.604,5125.189,4864.415
