番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,小平市（票）,国分寺市（票）,国立市（票）,西東京市（票）
1,,小泉　たみじ,日本共産党,36878,11235,7839,5520,12284
2,＊,山田　宏,次世代の党,30658,9180,7308,4077,10093
3,＊,末松　義規,民主党,87584,27475,18560,11271,30278
4,＊,松本　洋平,自由民主党,107608,35053,22901,14212,35442
合計,,,,262728,82943,56608,35080,88097
