令和元年7月21日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（東京都選出）議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年 7月22日 6時 10分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,自由民主党,自由民主党,立憲民主党,立憲民主党,公明党,公明党,オリーブの木,オリーブの木,日本共産党,日本共産党,国民民主党,国民民主党,幸福実現党,幸福実現党,社会民主党,社会民主党,日本維新の会,日本維新の会,安楽死制度を考える会,安楽死制度を考える会,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,日本無党派党,日本無党派党,れいわ新選組,れいわ新選組,無所属,無所属
,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率
　★都計,5751268.992,100.00,1668760.963,29.02,1184581.000,20.60,815445.000,14.18,18123.000,0.32,706532.000,12.28,186667.000,3.25,34121.000,0.59,86355.000,1.50,526575.000,9.16,50540.000,0.88,129628.000,2.25,3586.029,0.06,214438.000,3.73,125917.000,2.19
　☆区部計,3910626.994,100.00,1151096.978,29.44,771609.000,19.73,544432.000,13.92,12597.000,0.32,471853.000,12.07,129857.000,3.32,23242.000,0.59,54873.000,1.40,380326.000,9.73,35535.000,0.91,91337.000,2.34,2430.016,0.06,152738.000,3.91,88701.000,2.27
　　千代田区,28321.000,100.00,11558.000,40.81,5494.000,19.40,1893.000,6.68,84.000,0.30,2277.000,8.04,1077.000,3.80,148.000,0.52,316.000,1.12,2889.000,10.20,289.000,1.02,714.000,2.52,18.000,0.06,988.000,3.49,576.000,2.03
　　中央区,66187.000,100.00,25003.000,37.78,12054.000,18.21,5725.000,8.65,225.000,0.34,5670.000,8.57,2313.000,3.49,489.000,0.74,641.000,0.97,7747.000,11.70,599.000,0.91,1556.000,2.35,72.000,0.11,2467.000,3.73,1626.000,2.46
　　港区,95689.000,100.00,34950.000,36.52,18513.000,19.35,8668.000,9.06,338.000,0.35,8302.000,8.68,3513.000,3.67,725.000,0.76,1240.000,1.30,9950.000,10.40,768.000,0.80,1999.000,2.09,83.000,0.09,4506.000,4.71,2134.000,2.23
　　新宿区,134138.999,100.00,39992.996,29.81,27121.000,20.22,17484.000,13.03,429.000,0.32,16998.000,12.67,4584.000,3.42,733.000,0.55,2056.000,1.53,11830.000,8.82,1104.000,0.82,2889.000,2.15,81.003,0.06,6028.000,4.49,2809.000,2.09
　　文京区,105135.000,100.00,32926.000,31.32,22574.000,21.47,8590.000,8.17,352.000,0.33,14721.000,14.00,4084.000,3.88,440.000,0.42,1657.000,1.58,10233.000,9.73,1105.000,1.05,2257.000,2.15,69.000,0.07,3920.000,3.73,2207.000,2.10
　　台東区,84581.999,100.00,27415.996,32.41,15400.000,18.21,9767.000,11.55,337.000,0.40,9961.000,11.78,3307.000,3.91,477.000,0.56,848.000,1.00,8431.000,9.97,683.000,0.81,2365.000,2.80,57.003,0.07,3345.000,3.95,2188.000,2.59
　　墨田区,112307.000,100.00,34943.000,31.11,19732.000,17.57,17216.000,15.33,341.000,0.30,13223.000,11.77,4025.000,3.58,580.000,0.52,1193.000,1.06,10972.000,9.77,895.000,0.80,2734.000,2.43,116.000,0.10,3800.000,3.38,2537.000,2.26
