番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,豊島区（票）,練馬１０区（票）
1,＊,えばた　貴子,民主党,44123,27236,16887
2,＊,小池　ゆりこ,自由民主党,93610,57532,36078
3,＊,たがや　亮,生活の党,9663,6275,3388
4,,神谷　ちづ子,次世代の党,8688,5622,3066
5,,今　秀子,日本共産党,28453,18135,10318
合計,,,,184537,114800,69737
