番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,江東区（票）
1,,いの　たかし,本人届出,8759,8759
2,＊,柿沢　未途,維新の党,88507,88507
3,＊,あきもと　司,自由民主党,85714,85714
4,,吉田　としお,日本共産党,31384,31384
合計,,,,214364,214364
