開票区名,全党派計票数,全党派計率,自由民主党票数,自由民主党率,公明党票数,公明党率,日本共産党票数,日本共産党率,民進党票数,民進党率,社会民主党票数,社会民主党率,新党改革票数,新党改革率,日本のこころを大切にする党票数,日本のこころを大切にする党率,おおさか維新の会票数,おおさか維新の会率,維新政党・新風票数,維新政党・新風率,世界経済共同体党票数,世界経済共同体率,幸福実現党票数,幸福実現党率,支持政党なし票数,支持政党なし率,犬丸勝子と共和党票数,犬丸勝子と共和党率,チャレンジド日本票数,チャレンジド率,国民怒りの声票数,国民怒りの声率,地球平和党票数,地球平和党率,無所属票数,無所属率
★都計,6223546.895,100.00,1529622.000,24.58,770535.000,12.38,665835.000,10.70,1631276.000,26.21,93677.000,1.51,60431.000,0.97,102402.577,1.65,469314.000,7.54,42858.178,0.69,6114.000,0.10,20412.000,0.33,21441.983,0.34,5388.000,0.09,3296.000,0.05,82357.000,1.32,3854.000,0.06,714733.157,11.48
☆区部計,4230135.952,100.00,1057457.000,25.00,514961.000,12.17,446922.000,10.57,1067504.000,25.24,60881.000,1.44,43405.000,1.03,73372.376,1.73,330209.000,7.81,30645.969,0.72,4454.000,0.11,13836.000,0.33,14540.314,0.34,3684.000,0.09,2239.000,0.05,61436.000,1.45,2699.000,0.06,501890.293,11.86
千代田区,29129.000,100.00,9834.000,33.76,1617.000,5.55,2327.000,7.99,6965.000,23.91,324.000,1.11,303.000,1.04,577.000,1.98,2617.000,8.98,256.000,0.88,75.000,0.26,75.000,0.26,115.000,0.39,28.000,0.10,16.000,0.05,571.000,1.96,6.000,0.02,3423.000,11.75
中央区,68100.000,100.00,21274.000,31.24,4966.000,7.29,5518.000,8.10,16224.000,23.82,720.000,1.06,766.000,1.12,1520.000,2.23,6410.000,9.41,462.000,0.68,76.000,0.11,179.000,0.26,215.000,0.32,61.000,0.09,27.000,0.04,815.000,1.20,25.000,0.04,8842.000,12.98
港区,100384.997,100.00,30354.000,30.24,7375.000,7.35,7661.000,7.63,25200.000,25.10,1128.000,1.12,1044.000,1.04,2084.509,2.08,8740.000,8.71,537.389,0.54,145.000,0.14,505.000,0.50,262.101,0.26,80.000,0.08,43.000,0.04,1367.000,1.36,39.000,0.04,13819.998,13.77
新宿区,144442.998,100.00,36303.000,25.13,16455.000,11.39,16861.000,11.67,35834.000,24.81,2179.000,1.51,1597.000,1.11,2809.345,1.94,11341.000,7.85,1034.495,0.72,285.000,0.20,423.000,0.29,376.207,0.26,66.000,0.05,50.000,0.03,1665.000,1.15,39.000,0.03,17124.951,11.86
文京区,109106.997,100.00,28314.000,25.95,8242.000,7.55,13632.000,12.49,27906.000,25.58,1715.000,1.57,1121.000,1.03,2281.069,2.09,9117.000,8.36,774.702,0.71,155.000,0.14,246.000,0.23,383.089,0.35,81.000,0.07,46.000,0.04,2014.000,1.85,43.000,0.04,13036.137,11.95
台東区,87827.997,100.00,24214.000,27.57,9015.000,10.26,8404.000,9.57,22054.000,25.11,1075.000,1.22,1077.000,1.23,1917.986,2.18,7644.000,8.70,678.409,0.77,92.000,0.10,310.000,0.35,272.281,0.31,72.000,0.08,41.000,0.05,911.000,1.04,34.000,0.04,10016.321,11.40
墨田区,120068.997,100.00,32170.000,26.79,16547.000,13.78,11592.000,9.65,27937.000,23.27,1533.000,1.28,1371.000,1.14,1991.653,1.66,9972.000,8.31,1131.347,0.94,144.000,0.12,384.000,0.32,426.285,0.36,88.000,0.07,53.000,0.04,1212.000,1.01,65.000,0.05,13451.712,11.20
江東区,232532.998,100.00,59501.000,25.59,30010.000,12.91,24644.000,10.60,57671.000,24.80,2883.000,1.24,2474.000,1.06,3676.896,1.58,18850.000,8.11,1681.153,0.72,253.000,0.11,704.000,0.30,883.618,0.38,196.000,0.08,133.000,0.06,2994.000,1.29,108.000,0.05,25870.331,11.13
品川区,179128.998,100.00,44713.000,24.96,18971.000,10.59,18795.000,10.49,45588.000,25.45,2457.000,1.37,2007.000,1.12,3173.493,1.77,15429.000,8.61,1240.538,0.69,185.000,0.10,930.000,0.52,589.368,0.33,117.000,0.07,102.000,0.06,1880.000,1.05,140.000,0.08,22811.599,12.73
目黒区,128636.998,100.00,31573.000,24.54,10454.000,8.13,11313.000,8.79,34267.000,26.64,1829.000,1.42,1463.000,1.14,2281.236,1.77,10741.000,8.35,900.066,0.70,86.000,0.07,459.000,0.36,336.175,0.26,62.000,0.05,65.000,0.05,1783.000,1.39,41.000,0.03,20983.521,16.31
大田区,329130.998,100.00,82645.000,25.11,46943.000,14.26,34229.000,10.40,82010.000,24.92,4656.000,1.41,3213.000,0.98,5771.905,1.75,23992.000,7.29,2622.137,0.80,282.000,0.09,1178.000,0.36,1181.838,0.36,474.000,0.14,137.000,0.04,3538.000,1.07,272.000,0.08,35986.118,10.93
世田谷区,434654.998,100.00,105634.000,24.30,36983.000,8.51,40166.000,9.24,113594.000,26.13,7535.000,1.73,4450.000,1.02,7684.317,1.77,38875.000,8.94,2353.935,0.54,352.000,0.08,1122.000,0.26,1411.583,0.32,317.000,0.07,228.000,0.05,5929.000,1.36,157.000,0.04,67863.163,15.61
渋谷区,103717.998,100.00,25080.000,24.18,8279.000,7.98,9924.000,9.57,26911.000,25.95,1297.000,1.25,1203.000,1.16,2034.662,1.96,9069.000,8.74,771.251,0.74,99.000,0.10,259.000,0.25,254.000,0.24,75.000,0.07,28.000,0.03,1354.000,1.31,42.000,0.04,17038.085,16.43
中野区,151722.998,100.00,35585.000,23.45,16271.000,10.72,17201.000,11.34,40865.000,26.93,2208.000,1.46,1623.000,1.07,2712.315,1.79,12187.000,8.03,1049.508,0.69,193.000,0.13,402.000,0.26,520.246,0.34,86.000,0.06,66.000,0.04,2008.000,1.32,60.000,0.04,18685.929,12.32
杉並区,275195.997,100.00,65193.000,23.69,21712.000,7.89,28694.000,10.43,75788.000,27.54,4622.000,1.68,2712.000,0.99,5159.515,1.87,23074.000,8.38,1772.864,0.64,309.000,0.11,690.000,0.25,782.113,0.28,300.000,0.11,118.000,0.04,3783.000,1.37,147.000,0.05,40339.505,14.66
