区分１,２０歳（％）,２１～２４歳（％）,２５～２９歳（％）,３０～３４歳（％）,３５～３９歳（％）,４０～４４歳（％）,４５～４９歳（％）,５０～５４歳（％）,５５～５９歳（％）,６０～６４歳（％）,６５～６９歳（％）,７０代以上（％）
Ｈ２５．７今回,35.16,31.66,33.70,41.36,47.17,49.65,54.25,59.10,62.86,66.21,70.56,62.81
Ｈ２２．７前回,45.29,34.96,37.11,45.91,52.22,56.19,61.51,66.30,69.48,74.29,77.33,67.49
Ｈ１９．７前々回,37.93,33.07,36.77,45.59,51.75,56.81,61.97,66.09,69.74,74.27,77.13,67.76
