番号,重複立候補者,候補者名,候補者届出政党,得票数（票）
1,＊,えばた　貴子,民主党,44123
2,＊,小池　ゆりこ,自由民主党,93610
3,＊,たがや　亮,生活の党,9663
4,,神谷　ちづ子,次世代の党,8688
5,,今　秀子,日本共産党,28453
