開票区名,得票総数,按分の際切捨てた票数,いずれの候補者にも属さない票,有効投票数,無効投票数,投票総数,持ち帰りと思われる票,不受理と決定した票数,投票者数,無効投票率
★都計,5593630.996,0.004,0,5593631,88070,5681701,162,1,5681864,1.55
☆区部計,3823649.997,0.003,0,3823650,61608,3885258,149,1,3885408,1.59
☆市部計,1732861.999,0.001,0,1732862,25884,1758746,12,0,1758758,1.47
☆郡部計,22990.000,0.000,0,22990,290,23280,1,0,23281,1.25
☆島部計,14129.000,0.000,0,14129,288,14417,0,0,14417,2.00
☆区部計,3823649.997,0.003,0,3823650,61608,3885258,149,1,3885408,1.59
千代田区,25447.000,0.000,0,25447,552,25999,0,0,25999,2.12
中央区,60682.000,0.000,0,60682,1481,62163,1,0,62164,2.38
港区,84896.000,0.000,0,84896,1303,86199,2,0,86201,1.51
新宿区,127353.000,0.000,0,127353,1805,129158,19,0,129177,1.40
文京区,95964.000,0.000,0,95964,1862,97826,2,0,97828,1.90
台東区,79487.000,0.000,0,79487,1668,81155,1,0,81156,2.06
墨田区,111466.000,0.000,0,111466,1986,113452,1,0,113453,1.75
江東区,216871.000,0.000,0,216871,3647,220518,1,0,220519,1.65
品川区,163177.000,0.000,0,163177,2459,165636,4,0,165640,1.48
目黒区,113690.000,0.000,0,113690,1800,115490,1,0,115491,1.56
大田区,297133.998,0.002,0,297134,4826,301960,79,0,302039,1.60
世田谷区,375635.000,0.000,0,375635,5338,380973,2,0,380975,1.40
渋谷区,84182.000,0.000,0,84182,1251,85433,2,0,85435,1.46
中野区,136384.000,0.000,0,136384,2292,138676,1,0,138677,1.65
杉並区,238879.000,0.000,0,238879,3846,242725,4,0,242729,1.58
豊島区,111548.000,0.000,0,111548,1868,113416,1,0,113417,1.65
北区,158702.000,0.000,0,158702,2557,161259,3,0,161262,1.59
荒川区,86134.000,0.000,0,86134,1714,87848,1,0,87849,1.95
板橋区,232705.000,0.000,0,232705,3425,236130,6,0,236136,1.45
練馬区,305251.000,0.000,0,305251,4553,309804,4,0,309808,1.47
足立区,277697.000,0.000,0,277697,4131,281828,2,1,281831,1.47
葛飾区,182677.999,0.001,0,182678,3117,185795,6,0,185801,1.68
江戸川区,257688.000,0.000,0,257688,4127,261815,6,0,261821,1.58
☆市部計,1732861.999,0.001,0,1732862,25884,1758746,12,0,1758758,1.47
八王子市,240515.000,0.000,0,240515,2990,243505,1,0,243506,1.23
立川市,70805.000,0.000,0,70805,1005,71810,0,0,71810,1.40
武蔵野市,64451.000,0.000,0,64451,1078,65529,0,0,65529,1.65
三鷹市,78476.999,0.001,0,78477,1110,79587,0,0,79587,1.39
青梅市,56984.000,0.000,0,56984,1008,57992,0,0,57992,1.74
府中市,104539.000,0.000,0,104539,1694,106233,1,0,106234,1.59
昭島市,43080.000,0.000,0,43080,654,43734,0,0,43734,1.50
町田市,188747.000,0.000,0,188747,2328,191075,3,0,191078,1.22
小金井市,46984.000,0.000,0,46984,811,47795,0,0,47795,1.70
小平市,73071.000,0.000,0,73071,1038,74109,0,0,74109,1.40
日野市,73901.000,0.000,0,73901,962,74863,0,0,74863,1.29
西東京市,79910.000,0.000,0,79910,1139,81049,0,0,81049,1.41
☆西多摩,97234.000,0.000,0,97234,1435,98669,1,0,98670,1.45
福生市,22302.000,0.000,0,22302,341,22643,0,0,22643,1.51
羽村市,21215.000,0.000,0,21215,322,21537,0,0,21537,1.50
あきる野市,30727.000,0.000,0,30727,482,31209,0,0,31209,1.54
☆西多摩郡計,22990.000,0.000,0,22990,290,23280,1,0,23281,1.25
瑞穂町,11655.000,0.000,0,11655,157,11812,0,0,11812,1.33
日の出町,7450.000,0.000,0,7450,86,7536,1,0,7537,1.14
檜原村,1253.000,0.000,0,1253,17,1270,0,0,1270,1.34
奥多摩町,2632.000,0.000,0,2632,30,2662,0,0,2662,1.13
☆南多摩,104440.000,0.000,0,104440,1288,105728,0,0,105728,1.22
多摩市,66107.000,0.000,0,66107,861,66968,0,0,66968,1.29
稲城市,38333.000,0.000,0,38333,427,38760,0,0,38760,1.10
☆北多摩第一,130867.000,0.000,0,130867,1920,132787,2,0,132789,1.45
東村山市,65693.000,0.000,0,65693,1077,66770,2,0,66772,1.61
東大和市,37492.000,0.000,0,37492,478,37970,0,0,37970,1.26
武蔵村山市,27682.000,0.000,0,27682,365,28047,0,0,28047,1.30
☆北多摩第二,86239.000,0.000,0,86239,1544,87783,2,0,87785,1.76
国分寺市,54213.000,0.000,0,54213,1039,55252,1,0,55253,1.88
国立市,32026.000,0.000,0,32026,505,32531,1,0,32532,1.55
☆北多摩第三,134922.000,0.000,0,134922,3088,138010,2,0,138012,2.24
調布市,98458.000,0.000,0,98458,2298,100756,2,0,100758,2.28
狛江市,36464.000,0.000,0,36464,790,37254,0,0,37254,2.12
☆北多摩第四,80686.000,0.000,0,80686,1082,81768,1,0,81769,1.32
清瀬市,31813.000,0.000,0,31813,421,32234,0,0,32234,1.31
東久留米市,48873.000,0.000,0,48873,661,49534,1,0,49535,1.33
☆島部,14129.000,0.000,0,14129,288,14417,0,0,14417,2.00
大島支庁小計,7356.000,0.000,0,7356,159,7515,0,0,7515,2.12
大島町,4570.000,0.000,0,4570,124,4694,0,0,4694,2.64
利島村,205.000,0.000,0,205,7,212,0,0,212,3.30
新島村,1583.000,0.000,0,1583,20,1603,0,0,1603,1.25
神津島村,998.000,0.000,0,998,8,1006,0,0,1006,0.80
三宅支庁小計,1586.000,0.000,0,1586,24,1610,0,0,1610,1.49
三宅村,1400.000,0.000,0,1400,18,1418,0,0,1418,1.27
御蔵島村,186.000,0.000,0,186,6,192,0,0,192,3.13
八丈支庁小計,4102.000,0.000,0,4102,66,4168,0,0,4168,1.58
八丈町,4010.000,0.000,0,4010,63,4073,0,0,4073,1.55
青ヶ島村,92.000,0.000,0,92,3,95,0,0,95,3.16
小笠原支庁小計,1085.000,0.000,0,1085,39,1124,0,0,1124,3.47
小笠原村,1085.000,0.000,0,1085,39,1124,0,0,1124,3.47
ｿ}�ｼｿ��碣Gｿ滷ｸｶﾂ焚ｵpnЪ甎ｸ�掻#訒O霳ﾉ'轢�pｹG��汯�>｡L~:��W?�ﾇ��ﾃ���竫?����?ﾞ{p��<��?]褌ｹﾞ�ｲﾏﾞ爵%�ｽ憲�ｿU���N^ﾛ'zm｣>>>�㈲�}2罅cs8ｹ�]ｶ愑�?\a"ｬ�甅ﾘ|澪=藹�
甞ﾘ
