令和4年7月10日  執行,,,,,,,,,,
参議院（東京都選出）議員選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和4年 7月11日 14時 24分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思われる票数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　★都計,6298463.953,0.047,2 ,6298466 ,179122 ,6477588 ,113 ,8 ,6477709 ,2.77
　☆区部計,4333608.970,0.030,0 ,4333609 ,122726 ,4456335 ,79 ,7 ,4456421 ,2.75
　　千代田区,31991.999,0.001,0 ,31992 ,896 ,32888 ,0 ,1 ,32889 ,2.72
　　中央区,79585.998,0.002,0 ,79586 ,2471 ,82057 ,2 ,0 ,82059 ,3.01
　　港区,108735.000,0.000,0 ,108735 ,2764 ,111499 ,4 ,0 ,111503 ,2.48
　　新宿区,150018.998,0.002,0 ,150019 ,3609 ,153628 ,10 ,4 ,153642 ,2.35
　　文京区,117118.999,0.001,0 ,117119 ,3182 ,120301 ,3 ,0 ,120304 ,2.65
　　台東区,94977.999,0.001,0 ,94978 ,2762 ,97740 ,5 ,0 ,97745 ,2.83
　　墨田区,127409.998,0.002,0 ,127410 ,3663 ,131073 ,3 ,0 ,131076 ,2.79
　　江東区,239506.999,0.001,0 ,239507 ,6910 ,246417 ,7 ,0 ,246424 ,2.80
　　品川区,191361.998,0.002,0 ,191362 ,5595 ,196957 ,2 ,1 ,196960 ,2.84
　　目黒区,134598.998,0.002,0 ,134599 ,3671 ,138270 ,1 ,0 ,138271 ,2.65
　　大田区,335192.998,0.002,0 ,335193 ,9118 ,344311 ,4 ,0 ,344315 ,2.65
　　世田谷区,448654.999,0.001,0 ,448655 ,14507 ,463162 ,1 ,0 ,463163 ,3.13
　　渋谷区,105748.000,0.000,0 ,105748 ,3453 ,109201 ,2 ,0 ,109203 ,3.16
　　中野区,152618.998,0.002,0 ,152619 ,3480 ,156099 ,1 ,0 ,156100 ,2.23
　　杉並区,276313.999,0.001,0 ,276314 ,5888 ,282202 ,11 ,0 ,282213 ,2.09
　　豊島区,127230.999,0.001,0 ,127231 ,3558 ,130789 ,2 ,0 ,130791 ,2.72
　　北区,163320.998,0.002,0 ,163321 ,7094 ,170415 ,6 ,0 ,170421 ,4.16
　　荒川区,93235.999,0.001,0 ,93236 ,2608 ,95844 ,0 ,0 ,95844 ,2.72
　　板橋区,254226.998,0.002,0 ,254227 ,6350 ,260577 ,7 ,0 ,260584 ,2.44
　　練馬区,338265.999,0.001,0 ,338266 ,8429 ,346695 ,3 ,0 ,346698 ,2.43
　　足立区,285240.999,0.001,0 ,285241 ,8620 ,293861 ,0 ,0 ,293861 ,2.93
　　葛飾区,194808.999,0.001,0 ,194809 ,5405 ,200214 ,1 ,0 ,200215 ,2.70
　　江戸川区,283441.999,0.001,0 ,283442 ,8693 ,292135 ,4 ,1 ,292140 ,2.98
　☆市部計,1930192.985,0.015,0 ,1930193 ,54644 ,1984837 ,34 ,1 ,1984872 ,2.75
　　八王子市,253620.998,0.002,0 ,253621 ,7199 ,260820 ,0 ,0 ,260820 ,2.76
　　立川市,79979.000,0.000,0 ,79979 ,2065 ,82044 ,9 ,0 ,82053 ,2.52
　　武蔵野市,75199.999,0.001,0 ,75200 ,2297 ,77497 ,0 ,0 ,77497 ,2.96
　　三鷹市,93715.999,0.001,0 ,93716 ,2423 ,96139 ,2 ,0 ,96141 ,2.52
　　青梅市,56632.000,0.000,0 ,56632 ,2547 ,59179 ,3 ,0 ,59182 ,4.30
　　府中市,121251.999,0.001,0 ,121252 ,3656 ,124908 ,0 ,0 ,124908 ,2.93
　　昭島市,50050.000,0.000,0 ,50050 ,1348 ,51398 ,1 ,0 ,51399 ,2.62
　　調布市,111006.999,0.001,0 ,111007 ,2649 ,113656 ,1 ,0 ,113657 ,2.33
　　町田市,193435.997,0.003,0 ,193436 ,4442 ,197878 ,4 ,0 ,197882 ,2.24
　　小金井市,61118.000,0.000,0 ,61118 ,1599 ,62717 ,0 ,1 ,62718 ,2.55
　　小平市,91584.999,0.001,0 ,91585 ,2182 ,93767 ,2 ,0 ,93769 ,2.33
　　日野市,85023.999,0.001,0 ,85024 ,2952 ,87976 ,0 ,0 ,87976 ,3.36
　　東村山市,70205.999,0.001,0 ,70206 ,1887 ,72093 ,6 ,0 ,72099 ,2.62
　　国分寺市,63738.999,0.001,0 ,63739 ,2302 ,66041 ,0 ,0 ,66041 ,3.49
　　国立市,37862.000,0.000,0 ,37862 ,1137 ,38999 ,1 ,0 ,39000 ,2.92
　　福生市,23845.000,0.000,0 ,23845 ,756 ,24601 ,0 ,0 ,24601 ,3.07
　　狛江市,39418.000,0.000,0 ,39418 ,1402 ,40820 ,0 ,0 ,40820 ,3.43
　　東大和市,38473.000,0.000,0 ,38473 ,1024 ,39497 ,1 ,0 ,39498 ,2.59
　　清瀬市,34289.000,0.000,0 ,34289 ,856 ,35145 ,0 ,0 ,35145 ,2.44
　　東久留米市,52867.999,0.001,0 ,52868 ,1921 ,54789 ,2 ,0 ,54791 ,3.51
　　武蔵村山市,28363.000,0.000,0 ,28363 ,777 ,29140 ,0 ,0 ,29140 ,2.67
　　多摩市,70135.000,0.000,0 ,70135 ,1620 ,71755 ,1 ,0 ,71756 ,2.26
　　稲城市,43555.999,0.001,0 ,43556 ,1133 ,44689 ,0 ,0 ,44689 ,2.54
　　羽村市,23216.000,0.000,0 ,23216 ,924 ,24140 ,0 ,0 ,24140 ,3.83
　　あきる野市,34047.000,0.000,0 ,34047 ,1120 ,35167 ,0 ,0 ,35167 ,3.18
