令和元年7月21日  執行,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,
公明党,,,,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,若松,平木,新妻,山本,山本,かわの,塩田,高橋,塩崎,村中,角田,西田,国分,竹島,坂本,藤井,奈良
,,かねしげ,だいさく,ひでき,かなえ,ひろし,義博,ひろあき,次郎,剛,克也,健一郎,義光,隆作,正人,道応,伸城,直記
　★都計,50867.076,10171.000,4324.000,2315.000,8196.459,9003.178,2443.000,11081.000,381.000,321.080,281.000,201.359,306.000,226.000,425.000,228.000,375.000,589.000
　☆区部計,37245.036,6738.000,3170.000,1646.000,5846.209,6438.921,1689.000,9420.000,278.000,212.000,158.000,139.906,219.000,128.000,306.000,169.000,287.000,400.000
　　千代田区,132.031,23.000,11.000,13.000,17.016,16.015,25.000,17.000,0.000,1.000,1.000,0.000,1.000,0.000,1.000,2.000,2.000,2.000
　　中央区,334.999,49.000,53.000,26.000,71.541,60.458,38.000,17.000,4.000,3.000,2.000,5.000,1.000,0.000,1.000,2.000,0.000,2.000
　　港区,515.086,102.000,48.000,30.000,99.500,116.586,41.000,35.000,5.000,3.000,4.000,2.000,3.000,2.000,6.000,1.000,8.000,9.000
　　新宿区,918.150,207.000,94.000,68.000,157.072,171.078,62.000,104.000,10.000,4.000,5.000,1.000,7.000,3.000,0.000,1.000,8.000,16.000
　　文京区,560.052,126.000,56.000,54.000,128.029,102.023,21.000,32.000,5.000,3.000,2.000,1.000,4.000,0.000,10.000,2.000,6.000,8.000
　　台東区,414.121,89.000,53.000,42.000,70.061,69.060,24.000,39.000,4.000,1.000,1.000,3.000,6.000,1.000,4.000,5.000,1.000,2.000
　　墨田区,1034.861,233.000,111.000,49.000,203.816,261.045,54.000,49.000,15.000,3.000,3.000,2.000,7.000,2.000,13.000,7.000,6.000,16.000
　　江東区,2271.417,573.000,237.000,86.000,498.189,507.228,112.000,92.000,16.000,13.000,14.000,12.000,12.000,6.000,23.000,12.000,20.000,38.000
　　品川区,1078.304,250.000,109.000,78.000,168.581,209.723,64.000,140.000,10.000,8.000,10.000,4.000,2.000,5.000,6.000,2.000,4.000,8.000
　　目黒区,993.000,116.000,281.000,61.000,99.000,257.000,51.000,81.000,7.000,4.000,4.000,4.000,4.000,4.000,6.000,3.000,4.000,7.000
　　大田区,2624.017,637.000,255.000,128.000,539.001,547.016,139.000,160.000,21.000,14.000,12.000,13.000,20.000,9.000,18.000,14.000,64.000,34.000
　　世田谷区,9734.294,532.000,210.000,173.000,605.550,609.553,181.000,7131.000,38.000,74.000,18.000,13.191,23.000,8.000,37.000,15.000,28.000,38.000
