地　域　別,１８歳,１９歳,２０歳,２１～　２４歳,２５～　２９歳,３０～　３４歳,３５～　３９歳,４０～　４４歳,４５～　４９歳,５０～　５４歳,５５～　５９歳,６０～　６４歳,６５～　６９歳,７０～　７４歳,７５～　７９歳,８０代　以上
都　　心,60.71 ,49.38 ,46.48 ,40.29 ,43.08 ,49.87 ,54.82 ,58.81 ,62.07 ,64.18 ,66.77 ,68.83 ,70.93 ,70.39 ,68.44 ,49.73 
城　　南,57.89 ,46.37 ,43.45 ,38.59 ,43.15 ,50.51 ,54.52 ,57.63 ,60.22 ,61.88 ,63.99 ,66.27 ,68.21 ,68.38 ,66.20 ,47.96 
城　　西,60.27 ,50.25 ,47.06 ,39.36 ,43.20 ,50.81 ,54.96 ,58.66 ,62.22 ,64.52 ,67.42 ,69.29 ,71.80 ,71.52 ,69.19 ,48.14 
城　　北,55.39 ,44.78 ,43.33 ,37.80 ,42.25 ,49.58 ,53.38 ,56.63 ,59.20 ,61.26 ,63.75 ,66.45 ,69.47 ,69.27 ,67.04 ,48.52 
城　　東,50.49 ,41.35 ,39.77 ,36.03 ,40.41 ,47.44 ,50.65 ,53.58 ,55.76 ,57.30 ,59.92 ,62.78 ,65.98 ,66.25 ,64.17 ,48.01 
