番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,目黒区（票）,世田谷５区（票）
1,＊,若宮　けんじ,自由民主党,102424,46713,55711
2,,三谷　英弘,本人届出,44103,21684,22419
3,＊,手塚　よしお,民主党,66255,30090,36165
4,,ドクター・　中松,本人届出,12777,5736,7041
5,,沢井　正代,日本共産党,32140,15635,16505
合計,,,,257699,119858,137841
