令和4年7月10日  執行,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,
ごぼうの党,,,,,,,,,,,,
18時  10分  現在　確定,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11
,,奥野,川村,今吉,今西,﨑村,首藤,高崎,斎藤,鴨田,佐藤,立花
,,卓志,拓司,由泰,孝太,峰徳,昌弘,圭悟,和干,幸司,玲乃,恵理子
　　　利島村,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　　新島村,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　　神津島村,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　三宅支庁小計,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　　三宅村,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　　御蔵島村,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　八丈支庁小計,1.000,-,-,-,-,-,-,-,-,1.000,0.000,0.000
　　　八丈町,1.000,-,-,-,-,-,-,-,-,1.000,0.000,0.000
　　　青ヶ島村,0.000,-,-,-,-,-,-,-,-,0.000,0.000,0.000
　　小笠原支庁小計,1.000,-,-,-,-,-,-,-,-,1.000,0.000,0.000
　　　小笠原村,1.000,-,-,-,-,-,-,-,-,1.000,0.000,0.000
