番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,市部計（票）,青梅市（票）,福生市（票）,羽村市（票）,あきる野市（票）,西多摩町村部計（票）,瑞穂町（票）,日の出町（票）,檜原村（票）,奥多摩町（票）
1,＊,井上　信治,自由民主党,100081.929,84069.621,36049.508,14534.055,13050.162,20435.896,16012.308,8215.693,4824.195,993.510,1978.910
2,＊,山下　ようこ,民主党,32687.000,28199.000,11725.000,4660.000,4902.000,6912.000,4488.000,2349.000,1504.000,196.000,439.000
3,,井上　たかし,日本共産党,29650.063,25646.375,10060.491,4333.944,4521.837,6730.103,4003.688,2098.306,1302.804,138.489,464.089
合計,,,,162418.992,137914.996,57834.999,23527.999,22473.999,34077.999,24503.999,12662.999,7630.999,1327.999,2881.999
