令和元年7月21日  執行,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,
国民民主党,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,石上,いそざき,大島,小山田,酒井,鈴木,田中,田村,中沢,浜野,ひめい,藤川,円,山下
,,としお,哲史,九州男,つね子,リョースケ,覚,ひさや,まみ,健,よしふみ,ゆみこ,たけと,より子,ようこ
　★都計,77855.687,13621.652,7193.000,11766.000,1171.000,416.000,749.680,4078.554,14570.000,462.000,12588.788,1666.000,250.000,5457.000,3866.013
　☆区部計,48086.509,7543.868,3173.000,8080.000,832.000,275.000,528.852,2003.092,9575.000,337.000,8528.392,1152.000,168.000,3983.000,1907.305
　　千代田区,169.000,24.000,7.000,34.000,3.000,1.000,2.000,9.000,30.000,2.000,29.000,4.000,1.000,19.000,4.000
　　中央区,677.000,102.000,48.000,52.000,7.000,3.000,5.000,37.000,139.000,3.000,181.000,11.000,7.000,57.000,25.000
　　港区,830.083,165.763,54.000,83.000,22.000,8.000,18.000,24.320,115.000,4.000,165.000,33.000,5.000,101.000,32.000
　　新宿区,1087.368,161.000,88.000,148.000,30.000,8.000,17.000,46.368,182.000,9.000,200.000,23.000,7.000,121.000,47.000
　　文京区,1247.022,203.725,56.000,89.000,20.000,13.000,13.000,44.297,393.000,13.000,175.000,35.000,5.000,133.000,54.000
　　台東区,998.520,120.000,59.000,233.000,13.000,3.000,10.034,50.000,222.000,2.000,174.000,23.000,3.000,51.000,35.486
　　墨田区,1455.804,275.000,70.000,321.000,16.000,7.000,22.095,62.000,288.000,6.000,223.000,44.000,4.000,67.000,50.709
　　江東区,3146.536,552.000,135.000,357.000,61.000,15.000,48.152,149.431,717.000,39.000,638.000,89.000,12.000,194.000,139.953
　　品川区,2046.894,449.000,147.000,243.000,32.000,14.000,16.000,109.472,395.000,10.000,382.989,43.000,9.000,130.000,66.433
　　目黒区,1088.024,221.000,68.000,147.000,18.000,6.000,10.024,40.000,243.000,8.000,165.000,29.000,3.000,79.000,51.000
　　大田区,4241.344,965.000,321.000,642.000,88.000,20.000,41.091,248.000,678.000,33.000,672.000,107.000,6.000,223.000,197.253
　　世田谷区,4677.412,802.676,340.000,742.000,111.000,41.000,60.000,172.692,676.000,38.000,731.000,139.000,17.000,534.000,273.044
　　渋谷区,743.000,106.000,34.000,126.000,29.000,4.000,15.000,24.000,120.000,11.000,120.000,24.000,4.000,101.000,25.000
　　中野区,1348.000,183.000,85.000,259.000,25.000,10.000,18.000,42.000,258.000,12.000,224.000,45.000,4.000,131.000,52.000
　　杉並区,3211.201,328.000,158.000,635.000,38.000,25.000,26.000,96.352,445.000,25.000,574.000,59.000,8.000,717.000,76.849
　　豊島区,1244.841,218.000,103.000,156.000,27.000,5.000,17.000,47.000,217.000,6.000,202.403,35.000,8.000,153.000,50.438
　　北区,1427.929,251.000,84.000,89.000,22.000,8.000,16.030,81.243,324.000,12.000,296.000,60.000,10.000,112.000,62.656
　　荒川区,980.754,149.000,51.000,151.000,11.000,2.000,6.021,33.733,275.000,3.000,209.000,18.000,3.000,41.000,28.000
　　板橋区,3152.247,357.000,296.000,769.000,41.000,19.000,16.037,113.627,742.000,10.000,479.000,58.000,5.000,148.000,98.583
　　練馬区,4160.092,566.000,420.000,596.000,65.000,21.000,48.046,172.695,807.000,27.000,743.000,101.000,14.000,410.000,169.351
　　足立区,3588.746,404.000,242.000,964.000,52.000,15.000,37.040,92.859,649.000,17.000,808.000,0.000,13.000,161.000,133.847
　　葛飾区,2474.553,312.704,111.000,646.000,34.000,5.000,17.137,90.328,582.000,9.000,460.000,60.000,11.000,71.000,65.384
　　江戸川区,4090.139,628.000,196.000,598.000,67.000,22.000,50.145,216.675,1078.000,38.000,677.000,112.000,9.000,229.000,169.319
　☆市部計,29096.250,6018.784,3869.000,3589.000,335.000,137.000,218.828,2001.462,4933.000,122.000,3948.396,505.000,81.000,1465.000,1872.780
　　八王子市,3858.560,788.000,479.000,467.000,52.000,16.000,23.101,159.955,646.000,14.000,765.000,74.000,11.000,178.000,185.504
　　立川市,1581.224,266.000,157.000,211.000,10.000,9.000,11.111,141.314,228.000,5.000,265.000,19.000,2.000,53.000,203.799
　　武蔵野市,880.061,140.000,75.000,95.000,14.000,3.000,14.061,53.000,159.000,8.000,131.000,19.000,2.000,104.000,63.000
　　三鷹市,1175.060,251.000,121.000,125.000,20.000,5.000,11.000,64.000,180.000,7.000,214.575,29.000,1.000,112.000,34.485
　　青梅市,1766.025,260.040,381.000,161.000,9.000,5.000,6.000,249.730,116.000,5.000,160.437,15.000,1.000,25.000,371.818
　　府中市,2045.050,867.000,144.000,246.000,9.000,3.000,18.050,60.000,291.000,4.000,257.000,25.000,2.000,65.000,54.000
　　昭島市,982.361,139.000,109.000,90.000,9.000,5.000,6.042,190.588,204.000,2.000,120.000,8.000,0.000,28.000,71.731
　　調布市,1263.021,236.000,94.000,188.000,21.000,4.000,11.039,57.982,247.000,5.000,248.000,21.000,7.000,70.000,53.000
　　町田市,3090.260,626.000,519.000,400.000,69.000,27.000,36.107,118.181,580.000,25.000,261.000,75.000,9.000,201.000,143.972
　　小金井市,611.000,122.000,67.000,47.000,6.000,3.000,3.000,40.000,156.000,1.000,96.000,11.000,0.000,37.000,22.000
　　小平市,1164.398,268.000,115.000,164.000,20.000,3.000,5.020,56.000,231.000,5.000,131.378,23.000,8.000,65.000,70.000
　　日野市,1914.335,511.744,340.000,245.000,22.000,5.000,3.000,74.000,313.000,7.000,232.000,18.000,2.000,60.000,81.591
　　東村山市,755.628,139.000,92.000,110.000,9.000,2.000,5.000,37.000,186.000,5.000,73.000,17.000,8.000,50.000,22.628
　　国分寺市,765.568,190.000,63.000,75.000,3.000,5.000,4.025,44.000,115.000,4.000,155.543,15.000,6.000,41.000,45.000
　　国立市,479.000,128.000,50.000,64.000,3.000,2.000,2.000,24.000,50.000,0.000,63.000,10.000,2.000,32.000,49.000
　　福生市,470.285,74.000,101.000,57.000,3.000,1.000,3.000,79.681,62.000,3.000,40.000,5.000,1.000,14.000,26.604
　　狛江市,430.000,72.000,38.000,66.000,7.000,3.000,7.000,11.000,62.000,1.000,88.000,11.000,3.000,44.000,17.000
　　東大和市,539.225,62.000,58.000,83.000,5.000,2.000,3.000,39.225,141.000,1.000,56.000,12.000,5.000,30.000,42.000
　　清瀬市,317.550,29.000,55.000,41.000,3.000,1.000,4.050,23.000,72.000,3.000,39.000,11.000,2.000,26.000,8.500
　　東久留米市,629.465,83.000,70.000,83.000,6.000,9.000,10.063,37.000,144.000,6.000,79.000,20.000,2.000,43.000,37.402
　　武蔵村山市,492.133,69.000,109.000,79.000,2.000,3.000,4.133,63.000,69.000,1.000,46.000,8.000,2.000,17.000,20.000
　　多摩市,754.016,144.000,73.000,116.000,5.000,4.000,5.026,45.000,161.000,3.000,108.463,11.000,4.000,45.000,29.527
　　稲城市,649.000,220.000,74.000,52.000,6.000,3.000,4.000,26.000,153.000,4.000,62.000,12.000,0.000,16.000,17.000
　　羽村市,693.806,110.000,247.000,69.000,6.000,3.000,3.000,117.806,47.000,0.000,49.000,5.000,0.000,10.000,27.000
　　あきる野市,740.727,73.000,125.000,83.000,5.000,4.000,3.000,101.000,92.000,1.000,82.000,7.000,0.000,24.000,140.727
　　西東京市,1048.492,151.000,113.000,172.000,11.000,7.000,14.000,89.000,228.000,2.000,126.000,24.000,1.000,75.000,35.492
　☆西多摩郡計,542.928,54.000,149.000,58.000,3.000,4.000,2.000,72.000,58.000,2.000,56.000,6.000,1.000,9.000,68.928
　　瑞穂町,295.000,38.000,103.000,31.000,0.000,2.000,1.000,49.000,29.000,2.000,18.000,5.000,1.000,5.000,11.000
　　日の出町,161.000,10.000,35.000,20.000,2.000,2.000,0.000,19.000,26.000,0.000,29.000,1.000,0.000,4.000,13.000
　　檜原村,23.928,0.000,2.000,3.000,0.000,0.000,1.000,1.000,1.000,0.000,2.000,0.000,0.000,0.000,13.928
　　奥多摩町,63.000,6.000,9.000,4.000,1.000,0.000,0.000,3.000,2.000,0.000,7.000,0.000,0.000,0.000,31.000
　☆島部計,130.000,5.000,2.000,39.000,1.000,0.000,0.000,2.000,4.000,1.000,56.000,3.000,0.000,0.000,17.000
　　大島支庁小計,41.000,2.000,1.000,5.000,0.000,0.000,0.000,0.000,1.000,1.000,24.000,1.000,0.000,0.000,6.000
　　　大島町,20.000,0.000,1.000,5.000,0.000,0.000,0.000,0.000,1.000,0.000,12.000,1.000,0.000,0.000,0.000
　　　利島村,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
