番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,板橋区（票）
1,,下村　めい,本人届出,15447.152,15447.152
2,＊,下村　博文,自由民主党,129587.847,129588.847
3,,山内　金久,日本共産党,43083.000,43083.000
4,＊,くまき　美奈子,民主党,43040.000,43040.000
合計,,,,231158.000,231158.000
