番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,江戸川１６区（票）
1,＊,大西　ひでお,自由民主党,98536,98536
2,＊,初鹿　明博,維新の党,56701,56701
3,,岡本　貴士,本人届出,9334,9334
4,＊,大田　朝子,日本共産党,36976,36976
5,＊,石井　よしあき,次世代の党,11484,11484
合計,,,,213031,213031
