開票区,自由民主党（票）,新党改革（票）,次世代の党（票）,民主党（票）,公明党（票）,社会民主党（票）,維新の党（票）,幸福実現党（票）,生活の党（票）,日本共産党（票）,合計（票）
東京都計,1847986,16597,253107,939795,700127,129992,816047,17648,156170,885927,5763396
区部計,1277482,11836,179122,588646,464944,84860,578686,12214,112055,596652,3906497
千代田区,11227,62,1656,4579,1358,491,3608,56,690,3188,26915
中央区,23652,189,2929,8251,4450,980,11735,136,1665,7502,61489
港区,37188,280,5504,16302,6694,1754,14409,405,2405,11064,96005
新宿区,42444,326,7106,23959,14692,3284,16536,390,3308,21004,133049
文京区,33585,327,4447,17327,6907,2364,16032,253,2754,17507,101503
台東区,28188,293,3500,12778,8202,1567,13790,231,2375,12229,83153
墨田区,36913,390,4364,16009,15272,1982,16311,323,2835,15714,110113
江東区,71363,683,7908,24217,26938,3776,43417,639,5733,31012,215686
品川区,55330,473,6608,28688,17076,3433,23498,777,3907,24069,163859
目黒区,41350,411,5005,21071,10499,2709,18363,364,3473,17160,120405
大田区計,100525,879,16098,47364,40589,5937,41547,949,7112,46084,307084
大田３区,29814,264,3673,16525,7498,2024,12744,316,2105,11462,86425
大田４区,70711,615,12425,30839,33091,3913,28803,633,5007,34622,220659
世田谷区計,129764,1388,16289,64304,33470,11085,69319,1148,12330,55977,395074
世田谷５区,48661,551,5959,24465,10912,3458,22336,413,4566,17935,139256
世田谷６区,81103,837,10330,39839,22558,7627,46983,735,7764,38042,255818
渋谷区,31331,255,5393,18072,7205,2183,13344,250,2590,14163,94786
中野区,42971,319,8175,28637,14458,2971,16522,356,3529,22474,140412
杉並区,76314,901,14086,44945,19550,7484,34906,718,7860,41462,248226
豊島区,36707,389,6077,18458,12765,2914,15652,342,4339,18259,115902
北区,46667,406,9340,18497,23898,3523,18353,458,8131,28616,157889
荒川区,27188,300,3423,12810,12021,1493,11641,280,2153,14235,85544
板橋区,75161,706,8950,33202,31592,5295,31211,897,6623,39460,233097
練馬区計,99517,936,12568,47533,37082,7871,47157,991,9697,48877,312229
練馬９区,76301,705,9204,35708,29377,6368,37795,747,7297,38570,242072
練馬１０区,23216,231,3364,11825,7705,1503,9362,244,2400,10307,70157
足立区計,84398,669,11748,33384,46456,4287,32701,735,8046,42341,264765
足立１２区,16716,124,2829,5713,13924,992,6532,187,2913,9172,59102
足立１３区,67682,545,8919,27671,32532,3295,26169,548,5133,33169,205663
葛飾区,61807,484,6023,20133,30022,3260,27366,568,4336,28678,182677
江戸川区計,83892,770,11925,28126,43748,4217,41268,948,6164,35577,256635
江戸川１６区,70537,651,10428,23462,38075,3499,35168,797,5160,29888,217665
江戸川１７区,13355,119,1497,4664,5673,718,6100,151,1004,5689,38970
市部計,555906,4665,73116,345300,228717,44473,233601,5303,43387,284447,1818915
八王子市,74131,569,9917,44810,42396,5674,28480,679,5362,35435,247453
立川市,23338,172,2285,14158,11305,1534,8421,189,1709,12715,75826
武蔵野市,22379,209,2763,16761,4528,1908,8900,188,1755,10012,69403
三鷹市,24936,218,4351,17076,7494,2367,10576,222,2119,13278,82637
青梅市,20133,138,1564,9379,8262,1207,6801,223,1301,8590,57598
府中市,35404,356,4462,22425,12153,2715,15330,384,2839,15932,112000
昭島市,15115,112,1373,9316,7258,1153,5326,131,1032,6924,47740
調布市,31168,270,5232,18923,9547,2887,13474,276,2327,15210,99314
町田市,57537,422,5961,32876,22842,4355,31816,469,4278,27369,187925
小金井市,16866,158,2091,12783,4287,1556,6980,155,1470,8272,54618
小平市,23851,189,4913,17161,11087,2002,9522,238,1918,12901,83782
日野市,24481,212,2484,16638,8723,1914,9653,340,1882,13704,80031
東村山市,19606,208,2088,11397,9872,1534,8452,204,1735,11947,67043
国分寺市,17617,139,3707,11650,5248,1540,6557,144,1463,9056,57121
国立市,10400,79,2117,6847,3400,1165,4030,94,933,6324,35389
福生市,7945,61,809,3493,4005,458,2990,82,568,3275,23686
狛江市,11186,92,1751,6505,3681,979,4881,102,935,6480,36592
東大和市,10511,108,1019,6505,6440,815,4563,124,879,6141,37105
清瀬市,9407,95,948,5833,4383,829,3991,120,860,6929,33395
東久留米市,15425,158,1698,8688,6782,1359,6226,154,1339,9562,51391
武蔵村山市,7828,77,722,3957,6014,448,3023,87,539,4322,27017
多摩市,19495,152,2232,12873,6930,1885,11182,173,1688,12009,68619
稲城市,11919,120,1847,7140,4113,898,5206,108,865,5425,37641
羽村市,7478,67,676,4093,3245,466,2680,62,447,3420,22634
あきる野市,11674,84,909,5807,5134,683,3802,107,716,5286,34202
西東京市,26076,200,5197,18206,9588,2142,10739,248,2428,13929,88753
西多摩町村部計,9222,63,527,3795,4164,410,2570,82,438,3111,24382
瑞穂町,4504,34,299,1870,2331,182,1513,51,251,1582,12617
日の出町,2910,17,172,1279,1148,138,737,20,132,1039,7592
檜原村,549,5,13,210,289,34,81,3,16,104,1304
奥多摩町,1259,7,43,436,396,56,239,8,39,386,2869
島しょ町村部計,5376,33,342,2054,2302,249,1190,49,290,1717,13602
大島支庁,2895,14,139,928,1042,112,549,25,100,924,6728
大島町,1534,8,77,538,705,69,319,15,58,727,4050
利島村,143,0,3,22,18,4,10,0,4,15,219
新島村,809,5,33,205,130,24,145,5,26,141,1523
神津島村,409,1,26,163,189,15,75,5,12,41,936
三宅支庁,688,8,34,248,199,25,122,6,24,201,1555
三宅村,618,7,29,208,190,19,98,5,21,170,1365
御蔵島村,70,1,5,40,9,6,24,1,3,31,190
八丈支庁,1390,8,96,714,916,83,347,11,131,412,4108
八丈町,1342,8,90,701,894,83,344,11,131,404,4008
青ヶ島村,48,0,6,13,22,0,3,0,0,8,100
小笠原支庁,403,3,73,164,145,29,172,7,35,180,1211
小笠原村,403,3,73,164,145,29,172,7,35,180,1211
