令和元年7月21日 執行,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（東京都選出）議員選挙　候補者別得票数（全候補）,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年 7月22日 6時 10分 確定,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,定数　6人,,,
,,丸川,塩村,たけみ,山口,みぞぐち,森,山岸,吉良,水野,関口,佐藤,朝倉,おときた,七海,横山,野原,西野,大橋,大塚,野末,,,,
,,珠代,あやか,敬三,なつお,晃一,純,一生,よし子,もとこ,安弘,ひとし,れい子,駿,ひろこ,まさひろ,よしまさ,貞吉,まさのぶ,紀久雄,陳平,合計,残票数,開票率,受信時刻
,,自由民主党,立憲民主党,自由民主党,公明党,オリーブの木,無所属,立憲民主党,日本共産党,国民民主党,無所属,安楽死制度を考える会,社会民主党,日本維新の会,幸福実現党,安楽死制度を考える会,れいわ新選組,無所属,ＮＨＫから国民を守る党,日本無党派党,無所属,,,,
★都計,確,1143458.963,688234.000,525302.000,815445.000,18123.000,15475.000,496347.000,706532.000,186667.000,9686.000,26958.000,86355.000,526575.000,34121.000,23582.000,214438.000,9562.000,129628.000,3586.029,91194.000,5751268.992,0,100.00,
☆区部計,確,789791.978,466487.000,361305.000,544432.000,12597.000,10204.000,305122.000,471853.000,129857.000,6198.000,19256.000,54873.000,380326.000,23242.000,16279.000,152738.000,6639.000,91337.000,2430.016,65660.000,3910626.994,0,100.00,
　　千代田区,確,6864.000,2907.000,4694.000,1893.000,84.000,33.000,2587.000,2277.000,1077.000,45.000,184.000,316.000,2889.000,148.000,105.000,988.000,41.000,714.000,18.000,457.000,28321.000,0,100.00,0:54
　　中央区,確,17550.000,7092.000,7453.000,5725.000,225.000,211.000,4962.000,5670.000,2313.000,138.000,331.000,641.000,7747.000,489.000,268.000,2467.000,130.000,1556.000,72.000,1147.000,66187.000,0,100.00,2:58
　　港区,確,22295.000,11379.000,12655.000,8668.000,338.000,230.000,7134.000,8302.000,3513.000,125.000,355.000,1240.000,9950.000,725.000,413.000,4506.000,86.000,1999.000,83.000,1693.000,95689.000,0,100.00,1:05
　　新宿区,確,26847.996,16968.000,13145.000,17484.000,429.000,286.000,10153.000,16998.000,4584.000,205.000,625.000,2056.000,11830.000,733.000,479.000,6028.000,164.000,2889.000,81.003,2154.000,134138.999,0,100.00,1:40
　　文京区,確,22179.000,12503.000,10747.000,8590.000,352.000,158.000,10071.000,14721.000,4084.000,126.000,719.000,1657.000,10233.000,440.000,386.000,3920.000,113.000,2257.000,69.000,1810.000,105135.000,0,100.00,0:11
