開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
★都計,5473698,5684293,11157991,3141541,3272411,6413952,2332157,2411882,4744039,57.39,57.57,57.48,-,54.07,52.96,53.50
☆区部計,3747599,3906098,7653697,2130102,2232667,4362769,1617497,1673431,3290928,56.84,57.16,57.00,-,53.68,52.73,53.20
千代田区,23884,24344,48228,14920,15139,30059,8964,9205,18169,62.47,62.19,62.33,10,58.89,57.05,57.95
中央区,56246,63416,119662,33412,36958,70370,22834,26458,49292,59.40,58.28,58.81,32,55.86,53.75,54.74
港区,89587,105658,195245,48046,54627,102673,41541,51031,92572,53.63,51.70,52.59,59,52.79,49.67,51.11
新宿区,132290,133165,265455,73092,75801,148893,59198,57364,116562,55.25,56.92,56.09,52,52.57,53.07,52.82
文京区,82051,92163,174214,53337,59171,112508,28714,32992,61706,65.00,64.20,64.58,5,60.97,58.49,59.66
台東区,81366,76961,158327,45931,44704,90635,35435,32257,67692,56.45,58.09,57.25,39,54.10,54.21,54.15
墨田区,109710,109984,219694,61792,62215,124007,47918,47769,95687,56.32,56.57,56.45,48,53.32,52.34,52.83
江東区,200777,205788,406565,118220,121730,239950,82557,84058,166615,58.88,59.15,59.02,30,55.50,54.82,55.16
品川区,156305,164062,320367,89996,94553,184549,66309,69509,135818,57.58,57.63,57.61,37,54.00,52.71,53.34
目黒区,107684,123803,231487,62452,69756,132208,45232,54047,99279,58.00,56.34,57.11,41,55.14,52.20,53.57
大田区,299353,300935,600288,168661,170657,339318,130692,130278,260970,56.34,56.71,56.53,46,53.20,52.54,52.87
世田谷区,350616,398420,749036,211953,235706,447659,138663,162714,301377,60.45,59.16,59.76,22,56.32,53.49,54.82
渋谷区,88714,99011,187725,50405,56420,106825,38309,42591,80900,56.82,56.98,56.91,43,52.35,50.64,51.45
中野区,138853,137254,276107,77423,78636,156059,61430,58618,120048,55.76,57.29,56.52,47,52.79,53.32,53.06
杉並区,226247,249625,475872,134949,148010,282959,91298,101615,192913,59.65,59.29,59.46,25,55.86,54.17,54.98
豊島区,115266,113829,229095,63624,65298,128922,51642,48531,100173,55.20,57.36,56.27,50,51.89,52.25,52.07
北区,140948,143837,284785,83803,86641,170444,57145,57196,114341,59.46,60.24,59.85,20,56.74,56.86,56.80
荒川区,83228,84031,167259,47437,48111,95548,35791,35920,71711,57.00,57.25,57.13,40,53.37,52.61,52.99
板橋区,226683,233451,460134,127376,132882,260258,99307,100569,199876,56.19,56.92,56.56,45,52.81,52.33,52.57
練馬区,291495,308921,600416,170478,179398,349876,121017,129523,250540,58.48,58.07,58.27,36,55.27,53.80,54.52
足立区,280878,278379,559257,145233,147409,292642,135645,130970,266615,51.71,52.95,52.33,61,49.92,50.00,49.96
葛飾区,186437,186926,373363,101791,102809,204600,84646,84117,168763,54.60,55.00,54.80,56,51.63,51.08,51.35
江戸川区,278981,272135,551116,145771,146036,291807,133210,126099,259309,52.25,53.66,52.95,58,49.24,48.94,49.09
☆市部計,1690131,1742595,3432726,990927,1019574,2010501,699204,723021,1422225,58.63,58.51,58.57,-,54.92,53.45,54.17
八王子市,233590,234285,467875,131479,131540,263019,102111,102745,204856,56.29,56.15,56.22,51,53.73,52.50,53.11
立川市,74497,75357,149854,41815,42241,84056,32682,33116,65798,56.13,56.05,56.09,52,53.05,51.52,52.28
