年代別,１８歳,１９歳,２０歳,２１～　２４歳,２５～　２９歳,３０～　３４歳,３５～　３９歳,４０～　４４歳,４５～　４９歳,５０～　５４歳,５５～　５９歳,６０～　６４歳,６５～　６９歳,７０～　７４歳,７５～　７９歳,８０歳　以上
男,52.7,44.7,41.13,35.4,36.84,44.51,49.64,54.83,58.13,60.67,64.73,67.99,71.27,72.85,72.81,61.14
女,55.06,46.23,42.34,37.92,42.36,48.94,53.09,57.02,60,62.83,65.92,69.08,72.23,72.62,69.71,46.65
平　均,53.86,45.46,41.73,36.68,39.59,46.7,51.33,55.9,59.05,61.73,65.31,68.52,71.76,72.73,71.08,51.89
