区分,１８歳（％）,１９歳（％）,２０歳（％）,２１～２４歳（％）,２５～２９歳（％）,３０～３４歳（％）,３５～３９歳（％）,４０～４４歳（％）,４５～４９歳（％）,５０～５４歳（％）,５５～５９歳（％）,６０～６４歳（％）,６５～６９歳（％）,７０～７４歳（％）,７５～７９歳（％）,８０代以上（％）
男,58.74,46.17,43.35,36.92,37.83,44.78,49.14,52.9,54.31,56.15,58.65,60.33,62.81,64.23,65.36,54.38
女,62.5,49.7,47.91,41.4,45.96,51.6,55.29,58.44,60.32,62.62,64.11,64.8,66.7,66.7,63.96,40.97
平均,60.58,47.92,45.6,39.19,41.89,48.15,52.15,55.61,57.28,59.3,61.29,62.53,64.77,65.53,64.58,45.79
