年代別,１８歳,１９歳,２０歳,２１～　２４歳,２５～　２９歳,３０～　３４歳,３５～　３９歳,４０～　４４歳,４５～　４９歳,５０～　５４歳,５５～　５９歳,６０～　６４歳,６５～　６９歳,７０～　７４歳,７５～　７９歳,８０歳　以上
区　部,54.15,45.23,41.56,36.09,39.92,47.06,51.8,56.29,59.45,62.02,65.3,68.2,71.02,71.77,69.97,51.11
市　部,53.43,46,42.16,38.04,38.63,45.68,50.12,55.05,58.22,61.19,65.38,69.22,73.19,74.54,73.1,53.48
郡　部,45.87,37.04,35.46,29.88,30.31,35.37,39.63,44.46,49.79,52.77,59.26,66.46,71.66,73.4,72.84,47.65
島　部,63.16,22.22,17.82,39.68,53.1,60.74,63.22,61.56,65.11,64.94,66.91,68.33,70.65,74.08,71.15,50.1
