番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,北区（票）,足立１２区（票）
1,,太田　あきひろ,公明党,88499,60399,28100
2,＊,池内　さおり,日本共産党,44721,33810,10911
3,＊,田母神　としお,次世代の党,39233,30116,9117
4,＊,青木　愛,生活の党,40067,29885,10182
合計,,,,212520,154210,58310
