令和4年7月10日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（東京都選出）議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和4年 7月11日 14時 24分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,自由民主党,自由民主党,公明党,公明党,日本共産党,日本共産党,立憲民主党,立憲民主党,日本維新の会,日本維新の会,ＮＨＫ党,ＮＨＫ党,社会民主党,社会民主党,れいわ新選組,れいわ新選組,日本第一党,日本第一党,沖縄の米軍基地を東京へ引き取る党,沖縄の米軍基地を東京へ引き取る党,新党くにもり,新党くにもり,ファーストの会,ファーストの会,日本改革党,日本改革党,核融合党,核融合党,天命党,天命党,（略称）メタバース党,（略称）メタバース党,スマイル党,スマイル党,幸福実現党,幸福実現党,（略称）自由共和党,（略称）自由共和党,こどもの党,こどもの党,維新政党・新風,維新政党・新風,共和党,共和党,平和党,平和党,参政党,参政党,無所属,無所属
,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率
　★都計,6298463.953,100.00,1542585.000,24.49,742968.000,11.80,685224.000,10.88,1042403.000,16.55,530361.000,8.42,105558.854,1.68,59365.000,0.94,565925.000,8.99,17020.000,0.27,3043.311,0.05,20758.130,0.33,284629.000,4.52,46641.000,0.74,1913.000,0.03,3283.000,0.05,19100.000,0.30,5408.867,0.09,25209.000,0.40,14845.000,0.24,50661.614,0.80,22306.522,0.35,27110.000,0.43,3559.000,0.06,137692.000,2.19,340894.655,5.41
　☆区部計,4333608.970,100.00,1049001.000,24.21,499519.000,11.53,472131.000,10.89,689741.000,15.92,383362.000,8.85,74818.631,1.73,38457.000,0.89,388993.000,8.98,11863.000,0.27,2153.248,0.05,14736.578,0.34,204865.000,4.73,33579.000,0.77,1412.000,0.03,2227.000,0.05,13765.000,0.32,3877.420,0.09,17846.000,0.41,10696.000,0.25,36781.000,0.85,16128.362,0.37,19063.000,0.44,2370.000,0.05,96313.000,2.22,249910.731,5.77
　　千代田区,31991.999,100.00,10171.000,31.79,1656.000,5.18,2773.000,8.67,4594.000,14.36,3202.000,10.01,585.000,1.83,222.000,0.69,2557.000,7.99,92.000,0.29,16.380,0.05,143.000,0.45,2114.000,6.61,236.000,0.74,8.000,0.03,10.000,0.03,123.000,0.38,33.000,0.10,148.000,0.46,66.000,0.21,292.000,0.91,87.000,0.27,94.000,0.29,9.000,0.03,741.000,2.32,2019.619,6.31
　　中央区,79585.998,100.00,23354.000,29.34,5116.000,6.43,6183.000,7.77,12955.000,16.28,9217.000,11.58,1558.000,1.96,522.000,0.66,6427.000,8.08,194.000,0.24,40.192,0.05,333.826,0.42,3360.000,4.22,580.000,0.73,20.000,0.03,31.000,0.04,220.000,0.28,70.173,0.09,336.000,0.42,186.000,0.23,780.000,0.98,166.000,0.21,343.000,0.43,30.000,0.04,2066.000,2.60,5497.807,6.91
　　港区,108735.000,100.00,30978.000,28.49,7154.000,6.58,8888.000,8.17,16775.000,15.43,12334.000,11.34,2084.000,1.92,920.000,0.85,9635.000,8.86,260.000,0.24,37.000,0.03,417.000,0.38,4443.000,4.09,797.000,0.73,33.000,0.03,84.000,0.08,213.000,0.20,98.000,0.09,800.000,0.74,288.000,0.26,1254.000,1.15,382.000,0.35,400.000,0.37,47.000,0.04,3147.000,2.89,7267.000,6.68
　　新宿区,150018.998,100.00,35606.000,23.73,16665.000,11.11,17710.000,11.81,22333.000,14.89,13809.000,9.20,2789.444,1.86,1470.000,0.98,12917.000,8.61,393.000,0.26,74.164,0.05,581.000,0.39,7195.000,4.80,1251.000,0.83,45.000,0.03,94.000,0.06,399.000,0.27,134.000,0.09,615.000,0.41,330.000,0.22,1245.000,0.83,284.555,0.19,634.000,0.42,81.000,0.05,3591.000,2.39,9772.835,6.51
　　文京区,117118.999,100.00,29773.000,25.42,7309.000,6.24,15188.000,12.97,22199.000,18.95,12009.000,10.25,1820.000,1.55,1078.000,0.92,8622.000,7.36,329.000,0.28,55.748,0.05,419.000,0.36,5283.000,4.51,833.000,0.71,63.000,0.05,74.000,0.06,302.000,0.26,104.000,0.09,436.000,0.37,260.000,0.22,1087.000,0.93,260.000,0.22,550.000,0.47,72.000,0.06,2133.000,1.82,6860.251,5.86
　　台東区,94977.999,100.00,24303.000,25.59,8556.000,9.01,9306.000,9.80,15755.000,16.59,8876.000,9.35,1882.000,1.98,982.000,1.03,9162.000,9.65,287.000,0.30,71.578,0.08,355.000,0.37,4164.000,4.38,843.000,0.89,35.000,0.04,42.000,0.04,324.000,0.34,87.000,0.09,425.000,0.45,408.000,0.43,767.000,0.81,258.000,0.27,384.000,0.40,46.000,0.05,2234.000,2.35,5425.421,5.71
　　墨田区,127409.998,100.00,33340.000,26.17,16561.000,13.00,12425.000,9.75,17527.000,13.76,11226.000,8.81,2358.375,1.85,820.000,0.64,11910.000,9.35,330.000,0.26,86.735,0.07,474.000,0.37,6415.000,5.03,1037.000,0.81,56.000,0.04,56.000,0.04,405.000,0.32,86.000,0.07,417.000,0.33,289.000,0.23,1138.000,0.89,361.624,0.28,562.000,0.44,57.000,0.04,2768.000,2.17,6704.264,5.26
