開票区,当日有権者数（人）,投票者数（人）,棄権者数（人）,投票率（％）,前回投票率（％）
東京都計,10825678,2819687,0,26.05,31.85
区部計,7420986,1897640,0,25.57,31.44
市部計,3334038,903154,0,27.09,32.72
西多摩町村部計,48075,12262,0,25.51,31.66
島しょ町村部計,22579,6631,0,29.37,35.21
東京第１区,489553,112057,0,22.89,28.23
千代田区,45445,11750,0,25.86,30.92
港区,187403,43307,0,23.11,28.19
新宿区,256705,57000,0,22.20,27.81
東京第２区,436022,116227,0,26.66,32.17
中央区,112709,28470,0,25.26,28.72
文京区,169134,45300,0,26.78,33.22
台東区,154179,42457,0,27.54,33.43
東京第３区,484955,124898,0,25.75,32.38
東京第３区区部計,462376,118267,0,25.58,32.23
品川区,310236,76490,0,24.66,31.46
大田３区,152140,41777,0,27.46,33.82
東京第３区島しょ町村部計,22579,6631,0,29.37,35.21
大島支庁,11143,3017,0,27.08,34.01
大島町,6829,1840,0,26.94,33.89
利島村,255,132,0,51.76,49.43
新島村,2485,749,0,30.14,36.40
神津島村,1574,296,0,18.81,27.99
三宅支庁,2621,1018,0,38.84,41.71
三宅村,2382,895,0,37.57,41.15
御蔵島村,239,123,0,51.46,47.20
八丈支庁,6803,2102,0,30.90,36.24
八丈町,6660,2045,0,30.71,36.10
青ヶ島村,143,57,0,39.86,42.76
小笠原支庁,2012,494,0,24.55,29.67
小笠原村,2012,494,0,24.55,29.67
東京第４区,432035,106202,0,24.58,31.13
大田４区,432035,106202,0,24.58,31.13
東京第５区,480448,124874,0,25.99,31.11
目黒区,225802,56300,0,24.93,29.68
世田谷５区,254646,68574,0,26.93,32.47
東京第６区,469925,125187,0,26.64,32.13
世田谷６区,469925,125187,0,26.64,32.13
東京第７区,450399,109239,0,24.25,29.88
渋谷区,182028,44539,0,24.47,29.17
中野区,268371,64700,0,24.11,30.35
東京第８区,463327,116498,0,25.14,32.73
杉並区,463327,116498,0,25.14,32.73
東京第９区,451242,111995,0,24.82,31.76
練馬９区,451242,111995,0,24.82,31.76
東京第１０区,354596,94481,0,26.64,32.71
豊島区,223410,59086,0,26.45,31.93
練馬１０区,131186,35395,0,26.98,34.02
東京第１１区,445875,113523,0,25.46,31.19
板橋区,445875,113523,0,25.46,31.19
東京第１２区,397641,114310,0,28.75,33.88
北区,278565,82650,0,29.67,34.68
足立１２区,119076,31660,0,26.59,32.01
東京第１３区,421592,106930,0,25.36,31.26
足立１３区,421592,106930,0,25.36,31.26
東京第１４区,375458,98250,0,26.17,31.37
墨田区,212642,56400,0,26.52,31.69
荒川区,162816,41850,0,25.70,30.96
東京第１５区,394672,107700,0,27.29,33.75
江東区,394672,107700,0,27.29,33.75
東京第１６区,454607,112450,0,24.74,30.38
江戸川１６区,454607,112450,0,24.74,30.38
東京第１７区,441218,109450,0,24.81,29.56
葛飾区,363629,88800,0,24.42,28.88
江戸川１７区,77589,20650,0,26.61,32.73
東京第１８区,419326,117076,0,27.92,33.32
武蔵野市,118440,33200,0,28.03,34.42
府中市,204601,56680,0,27.70,33.31
小金井市,96285,27196,0,28.25,32.01
東京第１９区,469851,134072,0,28.54,33.45
小平市,149494,41530,0,27.78,32.39
国分寺市,98012,29060,0,29.65,35.73
国立市,60887,17776,0,29.20,34.88
西東京市,161458,45706,0,28.31,32.52
東京第２０区,404425,108196,0,26.75,33.39
東村山市,123307,32391,0,26.27,33.73
東大和市,69352,18701,0,26.97,32.88
清瀬市,60342,17369,0,28.78,35.04
東久留米市,94798,26695,0,28.16,34.16
武蔵村山市,56626,13040,0,23.03,30.19
東京第２１区,383073,105817,0,27.62,33.06
立川市,145552,38471,0,26.43,32.27
昭島市,91332,25021,0,27.40,30.08
日野市,146189,42325,0,28.95,35.76
東京第２２区,465743,134824,0,28.95,34.91
三鷹市,148620,44100,0,29.67,34.84
調布市,183523,53159,0,28.97,35.52
狛江市,65702,18330,0,27.90,33.22
稲城市,67898,19235,0,28.33,35.04
東京第２３区,465615,122139,0,26.23,33.22
町田市,343811,88816,0,25.83,33.02
多摩市,121804,33323,0,27.36,33.77
東京第２４区,455534,113946,0,25.01,29.80
八王子市,455534,113946,0,25.01,29.80
東京第２５区,318546,79346,0,24.91,29.75
東京第２５区市部計,270471,67084,0,24.80,29.41
青梅市,112409,27360,0,24.34,27.98
福生市,47017,12626,0,26.85,31.55
羽村市,45109,11638,0,25.80,32.29
あきる野市,65936,15460,0,23.45,28.35
東京第２５区西多摩町村部計,48075,12262,0,25.51,31.66
瑞穂町,27162,6640,0,24.45,30.35
日の出町,13814,3494,0,25.29,31.50
檜原村,2130,578,0,27.14,32.31
奥多摩町,4969,1550,0,31.19,38.53
