開票区名,計,（１）有田芳生,（２）石橋みちひろ,（３）えさきたかし,（４）大河原まさこ,（５）小野次郎,（６）かまたに一也,（７）かわいたかのり,（８）小林正夫,（９）しばた巧,（１０）たしろかおる,（１１）田中なおき,（１２）とどろき利治,（１３）なたにや正義,（１４）なんば奨二,（１５）西村まさみ,（１６）白しんくん,（１７）はまぐち誠,（１８）藤川しんいち,（１９）ふじすえ健三,（２０）前田たけし,（２１）もりやたかし,（２２）矢田わか子
★都計,251889.172,38368.000,14065.000,6016.573,36135.000,6844.000,753.000,13023.000,17713.539,2916.000,11404.000,6436.790,3319.000,2129.389,10106.000,5359.897,34222.000,7584.983,3474.131,3671.000,1828.000,12038.870,14481.000
☆区部計,156760.999,27930.000,9302.000,3365.569,19081.000,4549.000,510.000,8416.000,11658.300,2361.000,6955.000,4614.871,1698.000,1174.857,6969.000,4115.413,22925.000,3151.983,1517.131,2580.000,1388.000,4797.875,7701.000
千代田区,946.000,170.000,48.000,34.000,117.000,45.000,1.000,21.000,38.000,10.000,24.000,22.000,5.000,8.000,126.000,77.000,86.000,18.000,4.000,32.000,11.000,6.000,43.000
中央区,1925.940,364.000,238.000,29.000,157.000,66.000,9.000,112.000,175.000,25.000,50.000,47.940,46.000,15.000,62.000,52.000,178.000,50.000,18.000,62.000,24.000,25.000,121.000
港区,2741.233,506.000,166.000,87.000,252.000,154.000,4.000,78.000,223.233,29.000,57.000,91.000,23.000,18.000,139.000,130.000,313.000,49.000,18.000,120.000,59.000,52.000,173.000
新宿区,4023.133,833.000,280.000,80.000,361.000,192.000,16.000,134.000,281.000,40.000,164.000,138.929,35.000,46.000,183.000,207.204,542.000,68.000,22.000,92.000,39.000,85.000,184.000
文京区,3867.000,803.000,218.000,67.000,353.000,206.000,10.000,407.000,258.000,47.000,133.000,166.000,36.000,41.000,92.000,204.000,394.000,54.000,25.000,74.000,44.000,65.000,170.000
台東区,2817.460,463.000,200.000,42.000,133.000,71.000,14.000,229.000,294.569,37.000,135.000,114.891,26.000,19.000,111.000,104.000,478.000,37.000,27.000,42.000,26.000,83.000,131.000
墨田区,3842.837,549.000,346.000,95.000,122.000,87.000,6.000,240.000,293.074,66.000,190.000,127.763,52.000,24.000,172.000,75.000,786.000,67.000,43.000,66.000,19.000,158.000,259.000
江東区,9464.835,1395.000,675.000,234.202,555.000,240.000,26.000,648.000,905.948,944.000,547.000,276.401,137.000,54.000,423.000,135.996,1080.000,130.000,80.000,106.000,36.000,333.288,503.000
