令和元年7月21日  執行,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,
東京都選挙管理委員会,,,,,
ＮＨＫから国民を守る党,,,,,
令和元年 7月22日 13時 25分 確定,,,,,
開  票  区  名,計,1,2,3,4
,,立花,浜田,岡本,熊丸
,,孝志,聡,介伸,英治
　★都計,17343.120,15977.751,697.369,420.000,248.000
　☆区部計,12476.120,11494.751,506.369,280.000,195.000
　　千代田区,80.000,73.000,5.000,2.000,0.000
　　中央区,200.426,190.426,5.000,4.000,1.000
　　港区,299.000,269.000,11.000,9.000,10.000
　　新宿区,422.000,396.000,12.000,7.000,7.000
　　文京区,339.000,319.000,11.000,5.000,4.000
　　台東区,283.000,259.000,12.000,5.000,7.000
　　墨田区,416.000,388.000,16.000,7.000,5.000
　　江東区,847.000,776.000,46.000,15.000,10.000
　　品川区,447.000,419.000,14.000,10.000,4.000
　　目黒区,260.466,243.380,9.086,4.000,4.000
　　大田区,1034.000,945.000,44.000,31.000,14.000
　　世田谷区,1095.000,981.000,46.000,38.000,30.000
　　渋谷区,234.000,213.000,14.000,2.000,5.000
　　中野区,393.000,356.000,22.000,7.000,8.000
　　杉並区,644.000,597.000,27.000,12.000,8.000
　　豊島区,393.000,368.000,12.000,11.000,2.000
　　北区,506.000,470.000,20.000,8.000,8.000
　　荒川区,224.000,207.000,10.000,4.000,3.000
　　板橋区,729.000,677.000,30.000,12.000,10.000
　　練馬区,969.155,883.000,43.155,23.000,20.000
　　足立区,862.452,797.452,36.000,24.000,5.000
　　葛飾区,768.621,733.493,15.128,10.000,10.000
　　江戸川区,1030.000,934.000,46.000,30.000,20.000
　☆市部計,4810.000,4431.000,188.000,139.000,52.000
　　八王子市,651.000,600.000,29.000,14.000,8.000
　　立川市,231.000,220.000,5.000,3.000,3.000
　　武蔵野市,155.000,139.000,8.000,7.000,1.000
　　三鷹市,229.000,208.000,11.000,6.000,4.000
　　青梅市,201.000,190.000,5.000,6.000,0.000
　　府中市,291.000,270.000,12.000,5.000,4.000
　　昭島市,121.000,115.000,2.000,2.000,2.000
　　調布市,253.000,229.000,14.000,10.000,0.000
　　町田市,582.000,528.000,23.000,23.000,8.000
　　小金井市,116.000,105.000,6.000,4.000,1.000
　　小平市,217.000,198.000,13.000,3.000,3.000
　　日野市,229.000,213.000,6.000,7.000,3.000
　　東村山市,168.000,155.000,7.000,5.000,1.000
　　国分寺市,140.000,131.000,5.000,4.000,0.000
　　国立市,90.000,84.000,3.000,2.000,1.000
　　福生市,66.000,60.000,2.000,3.000,1.000
　　狛江市,119.000,96.000,0.000,20.000,3.000
　　東大和市,80.000,77.000,2.000,0.000,1.000
　　清瀬市,80.000,76.000,3.000,1.000,0.000
　　東久留米市,164.000,152.000,9.000,2.000,1.000
　　武蔵村山市,70.000,67.000,2.000,1.000,0.000
　　多摩市,131.000,119.000,9.000,2.000,1.000
　　稲城市,102.000,95.000,3.000,4.000,0.000
　　羽村市,44.000,39.000,3.000,1.000,1.000
　　あきる野市,56.000,52.000,0.000,2.000,2.000
　　西東京市,224.000,213.000,6.000,2.000,3.000
　☆西多摩郡計,38.000,35.000,1.000,1.000,1.000
　　瑞穂町,28.000,25.000,1.000,1.000,1.000
　　日の出町,9.000,9.000,0.000,0.000,0.000
　　檜原村,1.000,1.000,0.000,0.000,0.000
　　奥多摩町,0.000,0.000,0.000,0.000,0.000
　☆島部計,19.000,17.000,2.000,0.000,0.000
　　大島支庁小計,9.000,7.000,2.000,0.000,0.000
　　　大島町,5.000,3.000,2.000,0.000,0.000
　　　利島村,0.000,0.000,0.000,0.000,0.000
　　　新島村,0.000,0.000,0.000,0.000,0.000
　　　神津島村,4.000,4.000,0.000,0.000,0.000
　　三宅支庁小計,1.000,1.000,0.000,0.000,0.000
　　　三宅村,1.000,1.000,0.000,0.000,0.000
　　　御蔵島村,0.000,0.000,0.000,0.000,0.000
　　八丈支庁小計,5.000,5.000,0.000,0.000,0.000
　　　八丈町,4.000,4.000,0.000,0.000,0.000
　　　青ヶ島村,1.000,1.000,0.000,0.000,0.000
　　小笠原支庁小計,4.000,4.000,0.000,0.000,0.000
　　　小笠原村,4.000,4.000,0.000,0.000,0.000
