開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
国分寺市,49503,51317,100820,30927,32055,62982,18576,19262,37838,62.48,62.46,62.47,9,58.18,56.26,57.20
国立市,30566,32391,62957,19235,20245,39480,11331,12146,23477,62.93,62.50,62.71,8,58.70,56.67,57.67
福生市,24011,23936,47947,13134,12856,25990,10877,11080,21957,54.70,53.71,54.21,57,52.53,50.42,51.48
狛江市,32876,35321,68197,19386,20556,39942,13490,14765,28255,58.97,58.20,58.57,34,56.34,54.69,55.49
東大和市,35022,36032,71054,20434,21118,41552,14588,14914,29502,58.35,58.61,58.48,35,54.91,54.45,54.67
清瀬市,29653,32299,61952,17819,19231,37050,11834,13068,24902,60.09,59.54,59.80,21,56.59,55.12,55.82
東久留米市,47553,50267,97820,28063,29839,57902,19490,20428,39918,59.01,59.36,59.19,28,55.57,54.61,55.07
武蔵村山市,29180,29142,58322,15115,15419,30534,14065,13723,27788,51.80,52.91,52.35,60,48.61,49.81,49.21
多摩市,60978,64027,125005,37156,38768,75924,23822,25259,49081,60.93,60.55,60.74,15,57.30,55.81,56.54
稲城市,35580,35157,70737,21525,21229,42754,14055,13928,27983,60.50,60.38,60.44,16,56.02,54.56,55.30
羽村市,23587,22747,46334,13324,12796,26120,10263,9951,20214,56.49,56.25,56.37,49,52.03,49.40,50.74
あきる野市,33538,34012,67550,18740,18627,37367,14798,15385,30183,55.88,54.77,55.32,54,51.11,48.93,50.02
西東京市,80326,85589,165915,48379,51270,99649,31947,34319,66266,60.23,59.90,60.06,19,55.10,53.43,54.24
☆西多摩郡計,24578,24609,49187,13528,13402,26930,11050,11207,22257,55.04,54.46,54.75,-,51.56,50.09,50.82
瑞穂町,14252,13789,28041,7164,7025,14189,7088,6764,13852,50.27,50.95,50.60,62,46.56,45.56,46.07
日の出町,6869,7269,14138,4162,4231,8393,2707,3038,5745,60.59,58.21,59.36,27,56.77,53.76,55.24
檜原村,1059,1061,2120,753,705,1458,306,356,662,71.10,66.45,68.77,4,63.60,62.66,63.13
奥多摩町,2398,2490,4888,1449,1441,2890,949,1049,1998,60.43,57.87,59.12,29,59.56,57.80,58.66
☆島部計,11390,10991,22381,6988,6773,13761,4402,4218,8620,61.35,61.62,61.49,-,60.77,60.90,60.84
大島支庁小計,5466,5515,10981,3385,3401,6786,2081,2114,4195,61.93,61.67,61.80,-,61.58,60.70,61.13
大島町,3390,3395,6785,2052,2080,4132,1338,1315,2653,60.53,61.27,60.90,13,60.39,60.65,60.52
利島村,138,120,258,120,92,212,18,28,46,86.96,76.67,82.17,1,89.78,83.19,86.72
新島村,1173,1262,2435,741,745,1486,432,517,949,63.17,59.03,61.03,12,60.25,57.72,58.92
神津島村,765,738,1503,472,484,956,293,254,547,61.70,65.58,63.61,6,63.94,62.58,63.28
三宅支庁小計,1378,1173,2551,830,678,1508,548,495,1043,60.23,57.80,59.11,-,59.36,58.68,59.05
三宅村,1243,1056,2299,724,588,1312,519,468,987,58.25,55.68,57.07,42,57.48,55.41,56.53
御蔵島村,135,117,252,106,90,196,29,27,56,78.52,76.92,77.78,2,78.46,89.17,83.60
八丈支庁小計,3380,3387,6767,2087,2137,4224,1293,1250,2543,61.75,63.09,62.42,-,61.38,63.47,62.42
八丈町,3296,3331,6627,2024,2097,4121,1272,1234,2506,61.41,62.95,62.19,11,61.20,63.30,62.25
青ヶ島村,84,56,140,63,40,103,21,16,37,75.00,71.43,73.57,3,68.13,73.33,70.20
小笠原支庁小計,1166,916,2082,686,557,1243,480,359,839,58.83,60.81,59.70,-,56.81,55.20,56.12
小笠原村,1166,916,2082,686,557,1243,480,359,839,58.83,60.81,59.70,23,56.81,55.20,56.12
