年月,区分,２０歳（％）,２１～２４歳（％）,２５～２９歳（％）,３０～３４歳（％）,３５～３９歳（％）,４０～４４歳（％）,４５～４９歳（％）,５０～５４歳（％）,５５～５９歳（％）,６０～６４歳（％）,６５～６９歳（％）,７０代以上（％）
H26.2,今回,34.95,25.70,28.38,37.22,42.21,44.13,47.60,50.86,53.38,57.10,61.57,51.66
H24.12,前回,51.63,43.59,44.41,51.84,58.08,61.49,65.63,68.39,72.21,73.29,77.54,67.63
H23.4,前々回,48.44,37.37,39.12,48.64,53.26,55.80,60.10,63.33,65.10,67.46,72.44,64.65
