令和4年7月10日  執行,,,,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,
立憲民主党,,,,,,,,,,,,,,,,,,,,,
18時  10分  現在　確定,,,,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,青木,有田,石川,石橋,鬼木,要,かわの,木村,くりした,古賀,さわむら,しば,菅原,田中,つじもと,白,はた,堀越,村田,森永
,,愛,芳生,まさとし,みちひろ,まこと,友紀子,麻美,正弘,善行,ちかげ,けいこ,慎一,美香,勝一,清美,しんくん,ともこ,けいにん,きょうこ,みき
　★都計,170084.643,19273.000,11445.000,3176.211,9570.000,3738.765,4747.000,998.000,743.396,10128.000,1737.000,857.000,7555.000,624.000,596.000,68438.975,16088.000,1757.122,3788.000,3903.174,921.000
　☆区部計,115022.099,14854.000,8179.000,2126.307,6153.000,2114.000,3613.000,718.000,542.262,7191.000,1026.000,588.000,4957.000,451.000,406.000,44601.987,11082.000,1231.122,2449.000,2087.421,652.000
　　千代田区,809.000,60.000,56.000,27.000,37.000,17.000,27.000,3.000,4.000,127.000,5.000,1.000,68.000,5.000,2.000,298.000,30.000,4.000,14.000,19.000,5.000
　　中央区,1604.918,182.000,96.000,35.000,152.000,21.000,55.000,6.000,8.000,98.000,12.000,7.000,62.000,9.000,5.000,633.000,110.000,24.000,34.000,45.918,10.000
　　港区,2229.000,245.000,177.000,55.000,112.000,38.000,89.000,15.000,7.000,113.000,12.000,14.000,87.000,11.000,8.000,975.000,141.000,20.000,61.000,32.000,17.000
　　新宿区,3759.931,302.000,335.000,70.000,223.000,56.000,205.000,29.000,16.054,242.000,33.000,10.000,124.000,7.000,9.000,1640.000,299.000,23.000,74.000,43.877,19.000
　　文京区,3113.000,316.000,306.000,69.000,160.000,34.000,120.000,23.000,14.000,217.000,36.000,18.000,53.000,15.000,12.000,1295.000,224.000,38.000,70.000,69.000,24.000
　　台東区,2134.037,249.000,123.000,31.000,154.000,25.000,85.000,12.000,13.037,180.000,21.000,11.000,87.000,8.000,12.000,764.000,242.000,38.000,32.000,37.000,10.000
