開票区,当日有権者数（人）,投票者数（人）,棄権者数（人）,投票率（％）,前回投票率（％）
東京都計,10825678,1559054,0,14.40,17.50
区部計,7420986,1026943,0,13.84,16.98
市部計,3334038,519931,0,15.59,18.56
西多摩町村部計,48075,7840,0,16.31,20.48
島しょ町村部計,22579,4340,0,19.22,23.73
東京第１区,489553,55635,0,11.36,13.60
千代田区,45445,5750,0,12.65,14.68
港区,187403,21835,0,11.65,13.53
新宿区,256705,28050,0,10.93,13.47
東京第２区,436022,59570,0,13.66,16.80
中央区,112709,13410,0,11.90,14.43
文京区,169134,22400,0,13.24,16.61
台東区,154179,23760,0,15.41,18.68
東京第３区,484955,66464,0,13.71,17.23
東京第３区区部計,462376,62124,0,13.44,16.90
品川区,310236,39470,0,12.72,16.47
大田３区,152140,22654,0,14.89,17.78
東京第３区島しょ町村部計,22579,4340,0,19.22,23.73
大島支庁,11143,1938,0,17.39,22.44
大島町,6829,1191,0,17.44,22.37
利島村,255,85,0,33.33,36.50
新島村,2485,504,0,20.28,23.66
神津島村,1574,158,0,10.04,18.34
三宅支庁,2621,701,0,26.75,30.59
三宅村,2382,613,0,25.73,30.57
御蔵島村,239,88,0,36.82,30.80
八丈支庁,6803,1374,0,20.20,24.27
八丈町,6660,1346,0,20.21,24.18
青ヶ島村,143,28,0,19.58,28.28
小笠原支庁,2012,327,0,16.25,20.03
小笠原村,2012,327,0,16.25,20.03
東京第４区,432035,59128,0,13.69,17.77
大田４区,432035,59128,0,13.69,17.77
東京第５区,480448,63977,0,13.32,15.88
目黒区,225802,27400,0,12.13,14.59
世田谷５区,254646,36577,0,14.36,17.12
東京第６区,469925,67733,0,14.41,17.12
世田谷６区,469925,67733,0,14.41,17.12
東京第７区,450399,53519,0,11.88,15.00
渋谷区,182028,21869,0,12.01,14.50
中野区,268371,31650,0,11.79,15.34
東京第８区,463327,62683,0,13.53,17.81
杉並区,463327,62683,0,13.53,17.81
東京第９区,451242,62930,0,13.95,17.67
練馬９区,451242,62930,0,13.95,17.67
東京第１０区,354596,51795,0,14.61,17.81
豊島区,223410,31822,0,14.24,17.18
練馬１０区,131186,19973,0,15.22,18.87
東京第１１区,445875,63869,0,14.32,17.64
板橋区,445875,63869,0,14.32,17.64
東京第１２区,397641,65380,0,16.44,19.26
北区,278565,46550,0,16.71,19.26
足立１２区,119076,18830,0,15.81,19.27
東京第１３区,421592,61890,0,14.68,18.15
足立１３区,421592,61890,0,14.68,18.15
東京第１４区,375458,55060,0,14.66,17.10
墨田区,212642,31850,0,14.98,17.05
荒川区,162816,23210,0,14.26,17.17
東京第１５区,394672,57800,0,14.65,18.50
江東区,394672,57800,0,14.65,18.50
東京第１６区,454607,61300,0,13.48,16.33
江戸川１６区,454607,61300,0,13.48,16.33
東京第１７区,441218,62550,0,14.18,16.30
葛飾区,363629,51550,0,14.18,15.97
江戸川１７区,77589,11000,0,14.18,17.89
東京第１８区,419326,65098,0,15.52,18.31
武蔵野市,118440,17400,0,14.69,18.41
府中市,204601,32720,0,15.99,18.72
小金井市,96285,14978,0,15.56,17.29
東京第１９区,469851,75229,0,16.01,18.22
小平市,149494,24246,0,16.22,17.90
国分寺市,98012,16100,0,16.43,19.48
国立市,60887,10059,0,16.52,19.04
西東京市,161458,24824,0,15.37,17.45
東京第２０区,404425,64676,0,15.99,19.42
東村山市,123307,19323,0,15.67,19.53
東大和市,69352,10970,0,15.82,19.40
清瀬市,60342,10497,0,17.40,20.53
東久留米市,94798,15985,0,16.86,19.07
武蔵村山市,56626,7901,0,13.95,18.65
東京第２１区,383073,61769,0,16.12,18.92
立川市,145552,22031,0,15.14,18.29
昭島市,91332,14591,0,15.98,16.96
日野市,146189,25147,0,17.20,20.78
東京第２２区,465743,77954,0,16.74,19.75
三鷹市,148620,25370,0,17.07,19.69
調布市,183523,30455,0,16.59,19.80
狛江市,65702,10950,0,16.67,18.62
稲城市,67898,11179,0,16.46,20.83
東京第２３区,465615,69034,0,14.83,18.96
町田市,343811,50005,0,14.54,18.86
多摩市,121804,19029,0,15.62,19.26
東京第２４区,455534,66006,0,14.49,16.99
八王子市,455534,66006,0,14.49,16.99
東京第２５区,318546,48005,0,15.07,18.14
東京第２５区市部計,270471,40165,0,14.85,17.72
青梅市,112409,16067,0,14.29,16.55
福生市,47017,7626,0,16.22,18.78
羽村市,45109,6962,0,15.43,19.54
あきる野市,65936,9510,0,14.42,17.70
東京第２５区西多摩町村部計,48075,7840,0,16.31,20.48
瑞穂町,27162,4223,0,15.55,19.37
日の出町,13814,2129,0,15.41,19.46
檜原村,2130,395,0,18.54,24.11
奥多摩町,4969,1093,0,22.00,27.35
