番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,立川市（票）,昭島市（票）,日野市（票）
1,,長島　昭久,民主党,82351,30012,19732,32607
2,＊,小田原　きよし,自由民主党,83984,31258,20526,32200
3,＊,吉岡　正史,日本共産党,35598,13827,7165,14606
合計,,,,201933,75097,47423,79413
